,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match
0,174,177,174,142,269,177,177,177,174,174,174,174,174,True,False,True,False,False,False,False,False,True,True,True,True
1,203,203,203,192,269,203,203,203,203,203,203,203,68,False,False,False,False,False,False,False,False,False,False,False,False
2,17,167,167,167,129,167,167,167,167,17,17,17,17,True,False,False,False,False,False,False,False,False,True,True,True
3,77,119,77,119,259,119,119,119,77,77,77,77,110,False,False,False,False,False,False,False,False,False,False,False,False
4,167,167,167,167,185,167,167,167,167,167,167,167,29,False,False,False,False,False,False,False,False,False,False,False,False
5,160,154,160,160,77,160,154,154,160,160,160,160,160,True,False,True,True,False,True,False,False,True,True,True,True
6,42,248,42,42,244,42,248,248,42,42,42,42,33,False,False,False,False,False,False,False,False,False,False,False,False
7,205,205,205,205,124,205,205,205,205,205,205,205,205,True,True,True,True,False,True,True,True,True,True,True,True
8,228,129,228,228,29,228,129,129,228,228,228,228,29,False,False,False,False,True,False,False,False,False,False,False,False
9,143,221,143,143,236,143,221,221,143,143,143,143,202,False,False,False,False,False,False,False,False,False,False,False,False
10,198,129,198,129,129,129,129,129,198,198,198,198,198,True,False,True,False,False,False,False,False,True,True,True,True
11,164,259,164,259,259,259,259,259,164,164,164,164,199,False,False,False,False,False,False,False,False,False,False,False,False
12,161,30,161,0,161,161,30,30,161,161,161,161,161,True,False,True,False,True,True,False,False,True,True,True,True
13,30,30,30,30,30,30,30,30,30,30,30,30,30,True,True,True,True,True,True,True,True,True,True,True,True
14,262,262,262,80,222,262,262,262,262,262,262,262,80,False,False,False,True,False,False,False,False,False,False,False,False
15,234,94,234,94,17,94,234,94,234,234,234,234,234,True,False,True,False,False,False,True,False,True,True,True,True
16,42,89,42,176,42,42,42,89,42,42,42,42,176,False,False,False,True,False,False,False,False,False,False,False,False
17,119,154,119,119,187,119,77,154,119,119,119,119,68,False,False,False,False,False,False,False,False,False,False,False,False
18,87,94,87,94,87,87,87,94,87,87,87,87,94,False,True,False,True,False,False,False,True,False,False,False,False
19,120,46,120,120,91,120,46,46,120,120,120,120,120,True,False,True,True,False,True,False,False,True,True,True,True
20,1,253,1,1,253,1,220,253,1,1,1,1,157,False,False,False,False,False,False,False,False,False,False,False,False
21,119,253,119,119,119,119,77,253,119,119,119,119,119,True,False,True,True,True,True,False,False,True,True,True,True
22,262,262,262,1,262,262,262,262,262,262,262,262,228,False,False,False,False,False,False,False,False,False,False,False,False
23,222,253,222,222,89,222,222,253,222,222,222,222,222,True,False,True,True,False,True,True,False,True,True,True,True
24,42,42,42,42,32,42,42,42,42,42,42,42,32,False,False,False,False,True,False,False,False,False,False,False,False
25,206,206,215,206,215,206,215,206,215,206,206,206,206,True,True,False,True,False,True,False,True,False,True,True,True
26,57,259,57,259,259,259,57,259,57,57,57,57,259,False,True,False,True,True,True,False,True,False,False,False,False
27,247,247,247,247,247,247,247,247,247,247,247,247,247,True,True,True,True,True,True,True,True,True,True,True,True
28,96,96,96,96,145,96,4,96,96,96,96,96,96,True,True,True,True,False,True,False,True,True,True,True,True
29,94,94,94,94,120,94,18,94,94,94,94,94,61,False,False,False,False,False,False,False,False,False,False,False,False
30,98,167,98,119,46,98,98,98,98,98,98,98,98,True,False,True,False,False,True,True,True,True,True,True,True
31,214,155,214,228,163,214,214,214,214,214,214,214,155,False,True,False,False,False,False,False,False,False,False,False,False
32,244,248,244,244,244,244,4,244,244,244,244,244,77,False,False,False,False,False,False,False,False,False,False,False,False
33,262,262,262,119,259,262,262,262,262,262,262,262,119,False,False,False,True,False,False,False,False,False,False,False,False
34,244,95,244,244,244,244,215,244,244,244,244,244,244,True,False,True,True,True,True,False,True,True,True,True,True
35,42,120,42,120,42,42,42,42,42,42,42,42,120,False,True,False,True,False,False,False,False,False,False,False,False
36,244,95,244,244,208,244,260,244,244,244,244,244,143,False,False,False,False,False,False,False,False,False,False,False,False
37,94,94,94,94,232,94,232,94,94,94,94,94,94,True,True,True,True,False,True,False,True,True,True,True,True
38,119,119,119,119,199,119,119,119,119,119,119,119,119,True,True,True,True,False,True,True,True,True,True,True,True
39,215,215,215,0,57,215,215,215,215,215,215,215,57,False,False,False,False,True,False,False,False,False,False,False,False
40,215,92,215,92,215,92,215,215,92,215,215,215,92,False,True,False,True,False,True,False,False,True,False,False,False
41,161,161,161,161,161,161,161,161,161,161,161,161,161,True,True,True,True,True,True,True,True,True,True,True,True
0,262,262,262,262,177,262,262,262,262,262,262,262,177,False,False,False,False,True,False,False,False,False,False,False,False
1,177,177,177,209,161,177,177,177,177,98,98,98,177,True,True,True,False,False,True,True,True,True,False,False,False
2,67,142,67,142,16,142,142,142,67,107,107,107,241,False,False,False,False,False,False,False,False,False,False,False,False
3,118,253,118,120,61,253,253,253,118,118,118,118,118,True,False,True,False,False,False,False,False,True,True,True,True
4,195,53,195,110,105,53,53,53,195,195,195,195,153,False,False,False,False,False,False,False,False,False,False,False,False
5,195,6,195,42,195,42,6,6,195,195,195,195,110,False,False,False,False,False,False,False,False,False,False,False,False
6,184,6,184,18,4,184,6,6,184,184,184,184,18,False,False,False,True,False,False,False,False,False,False,False,False
7,184,6,184,184,103,184,6,6,184,184,184,184,103,False,False,False,False,True,False,False,False,False,False,False,False
8,262,262,262,262,262,262,262,262,262,262,262,262,158,False,False,False,False,False,False,False,False,False,False,False,False
9,105,167,105,167,105,105,167,167,105,105,105,105,105,True,False,True,False,True,True,False,False,True,True,True,True
10,72,154,72,167,167,72,154,154,72,72,72,72,72,True,False,True,False,False,True,False,False,True,True,True,True
11,105,105,105,61,105,105,105,105,105,105,105,105,105,True,True,True,False,True,True,True,True,True,True,True,True
12,105,105,105,72,72,105,105,105,105,105,105,105,72,False,False,False,True,True,False,False,False,False,False,False,False
