,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
0,[142 174 177],[142 174 177],[142 174 177],[228 182 142],[ 91  90 269],[142 174 177],[142 174 177],[142 174 177],[142 174 177],[142 174 177],[142 174 177],[142 174 177],174,True,True,True,False,False,True,True,True,True,True,True,True
1,[ 17 232 203],[192 203 232],[ 17 232 203],[165  68 192],[ 91  90 269],[192 203 232],[192 203 232],[192 203 232],[ 17 232 203],[ 17 232 203],[ 17 232 203],[ 17 232 203],68,False,False,False,True,False,False,False,False,False,False,False,False
2,[167 191  17],[129 105 167],[191  17 167],[ 17 105 167],[271  91 129],[129 105 167],[129 105 167],[129 105 167],[191  17 167],[167 191  17],[167 191  17],[167 191  17],17,True,False,True,True,False,False,False,False,True,True,True,True
3,[110 119  77],[220 242 119],[110 119  77],[228 119 110],[271  90 259],[220 242 119],[220 242 119],[220 242 119],[110 119  77],[110 119  77],[110 119  77],[110 119  77],110,True,False,True,True,False,False,False,False,True,True,True,True
4,[ 20 167 206],[206 167  20],[259 167 206],[206  20 167],[ 90  91 185],[206 167  20],[206 167  20],[206 167  20],[ 20 206 167],[ 20 167 206],[ 20 167 206],[ 20 167 206],29,False,False,False,False,False,False,False,False,False,False,False,False
5,[188  77 160],[188 160 154],[188  77 160],[195 154 160],[91 92 77],[154  77 160],[188 160 154],[188 160 154],[188  77 160],[188  77 160],[188  77 160],[188  77 160],160,True,True,True,True,False,True,True,True,True,True,True,True
6,[248 244  42],[253  33 248],[ 33 244  42],[ 33 244  42],[271  92 244],[248 244  42],[253  33 248],[253  33 248],[ 33 244  42],[248 244  42],[248 244  42],[248 244  42],33,False,True,True,True,False,False,True,True,True,False,False,False
7,[124 229 205],[229 124 205],[124 229 205],[ 87 229 205],[271  90 124],[124 229 205],[229 124 205],[229 124 205],[124 229 205],[124 229 205],[124 229 205],[124 229 205],205,True,True,True,True,False,True,True,True,True,True,True,True
8,[269 129 228],[236 269 129],[269 129 228],[ 91 129 228],[271  91  29],[269 129 228],[236 269 129],[236 269 129],[269 129 228],[269 129 228],[269 129 228],[269 129 228],29,False,False,False,False,True,False,False,False,False,False,False,False
9,[236 221 143],[202 143 221],[236 221 143],[ 92 271 143],[ 90  91 236],[202 221 143],[202 143 221],[202 143 221],[236 221 143],[236 221 143],[236 221 143],[236 221 143],202,False,True,False,False,False,True,True,True,False,False,False,False
10,[129  57 198],[ 57 198 129],[ 57 129 198],[271  91 129],[271  91 129],[ 57 198 129],[ 57 198 129],[ 57 198 129],[ 57 129 198],[129  57 198],[129  57 198],[129  57 198],198,True,True,True,False,False,True,True,True,True,True,True,True
11,[ 90 259 164],[ 90 164 259],[ 90 259 164],[271  90 259],[271  90 259],[ 90 164 259],[ 90 164 259],[ 90 164 259],[ 90 259 164],[ 90 259 164],[ 90 259 164],[ 90 259 164],199,False,False,False,False,False,False,False,False,False,False,False,False
