,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_21_linear_match,hard_agent_21_log10_match,hard_agent_21_ln_match
0,174,177,174,142,142,177,177,177,174,174,174,174,174,True,False,True,False,False,False,False,False,True,True,True,True
1,203,203,203,192,68,203,203,203,269,203,203,203,68,False,False,False,False,True,False,False,False,False,False,False,False
2,167,167,167,167,129,167,167,167,167,167,167,167,17,False,False,False,False,False,False,False,False,False,False,False,False
3,119,119,259,119,119,119,119,119,259,119,119,119,110,False,False,False,False,False,False,False,False,False,False,False,False
4,167,167,185,167,149,167,167,167,20,167,167,167,29,False,False,False,False,False,False,False,False,False,False,False,False
5,188,154,188,160,188,160,154,154,188,188,188,188,160,False,False,False,True,False,True,False,False,False,False,False,False
6,248,248,248,244,244,244,248,248,248,248,248,248,33,False,False,False,False,False,False,False,False,False,False,False,False
7,229,205,205,205,124,205,205,205,205,229,229,229,205,False,True,True,True,False,True,True,True,True,False,False,False
8,269,129,129,228,29,228,129,129,129,269,269,269,29,False,False,False,False,True,False,False,False,False,False,False,False
9,221,221,143,143,202,143,221,221,143,221,221,221,202,False,False,False,False,True,False,False,False,False,False,False,False
10,129,129,129,129,199,129,129,129,129,129,129,129,198,False,False,False,False,False,False,False,False,False,False,False,False
11,259,259,259,259,199,259,259,259,259,259,259,259,199,False,False,False,False,True,False,False,False,False,False,False,False
12,161,30,161,0,161,161,30,30,161,161,161,161,161,True,False,True,False,True,True,False,False,True,True,True,True
13,30,30,30,30,30,30,30,30,30,30,30,30,30,True,True,True,True,True,True,True,True,True,True,True,True
14,15,80,195,80,85,80,80,80,195,15,15,15,80,False,True,False,True,False,True,True,True,False,False,False,False
15,89,94,89,94,24,94,94,94,234,89,89,89,234,False,False,False,False,False,False,False,False,True,False,False,False
16,89,89,97,86,42,86,86,89,97,89,89,89,176,False,False,False,False,False,False,False,False,False,False,False,False
17,119,154,154,119,187,119,119,154,119,119,119,119,68,False,False,False,False,False,False,False,False,False,False,False,False
18,94,94,232,94,75,94,94,94,232,94,94,94,94,True,True,False,True,False,True,True,True,False,True,True,True
19,46,46,103,120,46,120,120,46,103,46,46,46,120,False,False,False,True,False,True,True,False,False,False,False,False
