,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match
0,174,67,174,142,182,67,67,67,174,174,174,174,174,True,False,True,False,False,False,False,False,True,True,True,True
1,17,17,17,192,236,17,17,17,17,17,17,17,68,False,False,False,False,False,False,False,False,False,False,False,False
2,17,2,167,167,258,2,2,2,167,17,17,17,17,True,False,False,False,False,False,False,False,False,True,True,True
3,77,77,77,119,242,77,77,77,77,77,77,77,110,False,False,False,False,False,False,False,False,False,False,False,False
4,167,20,167,167,10,20,20,20,167,167,167,167,29,False,False,False,False,False,False,False,False,False,False,False,False
5,160,30,160,77,160,160,30,30,160,160,160,160,160,True,False,True,False,True,True,False,False,True,True,True,True
6,244,30,244,244,42,244,30,30,244,244,244,244,33,False,False,False,False,False,False,False,False,False,False,False,False
7,205,30,205,229,57,205,30,30,205,205,205,205,205,True,False,True,False,False,True,False,False,True,True,True,True
8,129,129,129,228,228,129,129,129,129,129,129,129,29,False,False,False,False,False,False,False,False,False,False,False,False
9,143,143,143,143,202,143,143,143,143,143,143,143,202,False,False,False,False,True,False,False,False,False,False,False,False
10,198,129,129,129,57,129,129,129,129,198,198,198,198,True,False,False,False,False,False,False,False,False,True,True,True
11,164,259,259,259,199,259,259,259,259,164,164,164,199,False,False,False,False,True,False,False,False,False,False,False,False
12,161,30,161,30,161,161,30,30,161,161,161,161,161,True,False,True,False,True,True,False,False,True,True,True,True
13,30,30,30,30,30,30,30,30,30,30,30,30,30,True,True,True,True,True,True,True,True,True,True,True,True
14,222,1,222,80,199,222,1,1,222,222,222,222,80,False,False,False,True,False,False,False,False,False,False,False,False
15,17,17,17,94,222,17,17,17,17,17,17,17,234,False,False,False,False,False,False,False,False,False,False,False,False
16,4,89,4,86,89,4,4,89,4,4,4,4,176,False,False,False,False,False,False,False,False,False,False,False,False
17,77,62,157,119,68,157,157,62,157,77,77,77,68,False,False,False,False,True,False,False,False,False,False,False,False
18,232,6,232,94,168,94,232,6,232,232,232,232,94,False,False,False,True,False,True,False,False,False,False,False,False
19,120,2,120,120,120,120,46,2,120,120,120,120,120,True,False,True,True,True,True,False,False,True,True,True,True
20,157,1,157,1,220,157,157,1,157,157,157,157,157,True,False,True,False,False,True,True,False,True,True,True,True
21,119,77,119,119,253,119,77,77,119,119,119,119,119,True,False,True,True,False,True,False,False,True,True,True,True
22,1,1,1,1,1,1,1,1,1,1,1,1,228,False,False,False,False,False,False,False,False,False,False,False,False
23,222,24,222,222,89,222,222,24,222,222,222,222,222,True,False,True,True,False,True,True,False,True,True,True,True
24,236,236,236,32,236,236,236,236,236,236,236,236,32,False,False,False,True,False,False,False,False,False,False,False,False
25,215,215,215,206,215,206,215,215,215,215,215,215,206,False,False,False,True,False,True,False,False,False,False,False,False
26,57,259,57,259,259,259,57,259,57,57,57,57,259,False,True,False,True,True,True,False,True,False,False,False,False
27,247,247,247,247,247,247,247,247,247,247,247,247,247,True,True,True,True,True,True,True,True,True,True,True,True
28,96,0,96,96,140,4,4,0,96,96,96,96,96,True,False,True,True,False,False,False,False,True,True,True,True
29,94,0,94,94,259,18,18,0,94,94,94,94,61,False,False,False,False,False,False,False,False,False,False,False,False
30,157,103,157,119,98,157,46,157,157,157,157,157,98,False,False,False,False,True,False,False,False,False,False,False,False
31,214,62,214,228,54,214,214,214,214,214,214,214,155,False,False,False,False,False,False,False,False,False,False,False,False
32,244,77,244,244,143,4,4,244,244,244,244,244,77,False,True,False,False,False,False,False,False,False,False,False,False
33,119,89,119,119,10,119,119,119,119,119,119,119,119,True,False,True,True,False,True,True,True,True,True,True,True
34,244,20,244,244,134,244,215,244,244,244,244,244,244,True,False,True,True,False,True,False,True,True,True,True,True
35,120,221,120,120,144,120,120,120,120,120,120,120,120,True,False,True,True,False,True,True,True,True,True,True,True
36,244,95,244,244,140,244,260,244,244,244,244,244,143,False,False,False,False,False,False,False,False,False,False,False,False
37,94,94,94,94,271,271,271,94,94,94,94,94,94,True,True,True,True,False,False,False,True,True,True,True,True
38,119,119,119,119,259,119,119,119,119,119,119,119,119,True,True,True,True,False,True,True,True,True,True,True,True
39,215,215,215,57,215,215,215,215,215,215,215,215,57,False,False,False,True,False,False,False,False,False,False,False,False
40,215,215,215,92,92,92,215,215,92,215,215,215,92,False,False,False,True,True,True,False,False,True,False,False,False
41,161,161,161,161,161,161,161,161,161,161,161,161,161,True,True,True,True,True,True,True,True,True,True,True,True
0,17,17,17,246,21,17,17,17,17,17,17,17,177,False,False,False,False,False,False,False,False,False,False,False,False
