,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match
0,174,67,174,142,45,67,67,67,174,174,174,174,174,True,False,True,False,False,False,False,False,True,True,True,True
1,203,17,203,192,232,17,17,17,203,203,203,203,68,False,False,False,False,False,False,False,False,False,False,False,False
2,17,2,167,167,129,2,2,2,167,17,17,17,17,True,False,False,False,False,False,False,False,False,True,True,True
3,77,77,77,119,242,77,77,77,77,77,77,77,110,False,False,False,False,False,False,False,False,False,False,False,False
4,167,30,167,167,20,30,30,30,167,167,167,167,29,False,False,False,False,False,False,False,False,False,False,False,False
5,160,30,160,77,188,160,30,30,160,160,160,160,160,True,False,True,False,False,True,False,False,True,True,True,True
6,42,30,42,42,244,42,30,30,42,42,42,42,33,False,False,False,False,False,False,False,False,False,False,False,False
7,205,30,205,229,205,205,30,30,205,205,205,205,205,True,False,True,False,True,True,False,False,True,True,True,True
8,129,129,129,228,228,269,129,129,129,129,129,129,29,False,False,False,False,False,False,False,False,False,False,False,False
9,143,143,143,143,236,221,143,143,143,143,143,143,202,False,False,False,False,False,False,False,False,False,False,False,False
10,198,129,129,129,198,198,129,129,129,198,198,198,198,True,False,False,False,True,True,False,False,False,True,True,True
11,164,259,259,259,259,164,259,259,259,164,164,164,199,False,False,False,False,False,False,False,False,False,False,False,False
12,161,30,161,30,30,161,30,30,161,161,161,161,161,True,False,True,False,False,True,False,False,True,True,True,True
13,30,30,30,30,30,30,30,30,30,30,30,30,30,True,True,True,True,True,True,True,True,True,True,True,True
