,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
0,[ 67 177 174],[222 174 142],[ 67 177 174],[228 182 142],[271  91  45],[222 174 142],[222 174 142],[222 174 142],[ 67 177 174],[ 67 177 174],[ 67 177 174],[ 67 177 174],174,True,True,True,False,False,True,True,True,True,True,True,True
1,[232  17 203],[192  17 165],[232  17 203],[165 192  68],[ 90  91 232],[192  17 165],[192  17 165],[192  17 165],[232  17 203],[232 203  17],[232  17 203],[232 203  17],68,False,False,False,True,False,False,False,False,False,False,False,False
2,[191 167  17],[167 129  17],[191 167  17],[258  17 167],[271  91 129],[167 129  17],[167 129  17],[167 129  17],[191 167  17],[191 167  17],[191 167  17],[191 167  17],17,True,True,True,True,False,True,True,True,True,True,True,True
3,[110 119  77],[ 77 242 220],[110 119  77],[228 119 110],[271  91 242],[ 77 242 220],[ 77 242 220],[ 77 242 220],[110 119  77],[110 119  77],[110 119  77],[110 119  77],110,True,False,True,True,False,False,False,False,True,True,True,True
4,[149 206 167],[ 30 167 149],[149 167 206],[149 167 206],[ 90 271  20],[ 30 167 149],[ 30 167 149],[ 30 167 149],[149 167 206],[149 167 206],[149 167 206],[149 167 206],29,False,False,False,False,False,False,False,False,False,False,False,False
5,[ 92  77 160],[195 188 154],[ 92  77 160],[160  77 154],[ 90  91 188],[ 10  77 160],[195 188 154],[195 188 154],[ 92  77 160],[ 92  77 160],[ 92  77 160],[ 92  77 160],160,True,False,True,True,False,True,False,False,True,True,True,True
6,[248 244  42],[ 30 248  42],[248 244  42],[229 244  42],[271  92 244],[248 244  42],[ 30 248  42],[ 30 248  42],[248 244  42],[248 244  42],[248 244  42],[248 244  42],33,False,False,False,False,False,False,False,False,False,False,False,False
7,[124 229 205],[ 30 229 124],[124 229 205],[124 205 229],[ 89  90 205],[ 57 124 205],[ 30 229 124],[ 30 229 124],[124 229 205],[124 229 205],[124 229 205],[124 229 205],205,True,False,True,True,True,True,False,False,True,True,True,True
8,[236 269 129],[236 269 129],[236 269 129],[236 228 129],[ 90  91 228],[161 269 236],[236 269 129],[236 269 129],[236 269 129],[236 269 129],[236 269 129],[236 269 129],29,False,False,False,False,False,False,False,False,False,False,False,False
9,[202 221 143],[236 143 221],[202 221 143],[202 208 143],[ 90  91 236],[236 221 202],[236 143 221],[236 143 221],[202 221 143],[202 221 143],[202 221 143],[202 221 143],202,True,False,True,True,False,True,False,False,True,True,True,True
10,[129  57 198],[ 57 129 198],[ 57 129 198],[ 57 129 198],[ 91  92 198],[129  57 198],[ 57 129 198],[ 57 129 198],[ 57 129 198],[129  57 198],[129  57 198],[129  57 198],198,True,True,True,True,True,True,True,True,True,True,True,True
11,[199 259 164],[199 164 259],[199 164 259],[199 164 259],[271  90 259],[199 259 164],[199 164 259],[199 164 259],[199 164 259],[199 259 164],[199 259 164],[199 259 164],199,True,True,True,True,False,True,True,True,True,True,True,True
12,[ 93  30 161],[ 93 161  30],[ 93  30 161],[ 93  30 161],[92 91 30],[ 93  30 161],[ 93 161  30],[ 93 161  30],[ 93  30 161],[ 93  30 161],[ 93  30 161],[ 93  30 161],161,True,True,True,True,False,True,True,True,True,True,True,True
13,[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],30,True,True,True,True,True,True,True,True,True,True,True,True
14,[ 46 222 262],[262  80 188],[ 46 222 262],[  1  80 262],[ 92 271  75],[  1  80 262],[262  80 188],[262  80 188],[ 46 222 262],[ 46 222 262],[ 46 222 262],[ 46 222 262],80,False,True,False,True,False,True,True,True,False,False,False,False
