,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_21_linear_match,hard_agent_21_log10_match,hard_agent_21_ln_match
0,174,67,174,142,177,67,67,67,174,174,174,174,174,True,False,True,False,False,False,False,False,True,True,True,True
1,203,17,203,192,232,17,17,17,221,203,203,203,68,False,False,False,False,False,False,False,False,False,False,False,False
2,17,2,167,167,2,2,2,2,167,17,17,17,17,True,False,False,False,False,False,False,False,False,True,True,True
3,220,77,259,119,242,77,77,77,259,220,220,220,110,False,False,False,False,False,False,False,False,False,False,False,False
4,149,30,149,167,149,30,30,30,149,149,149,149,29,False,False,False,False,False,False,False,False,False,False,False,False
5,92,30,92,77,77,10,30,30,92,92,92,92,160,False,False,False,False,False,False,False,False,False,False,False,False
6,248,30,248,244,248,208,30,30,248,248,248,248,33,False,False,False,False,False,False,False,False,False,False,False,False
7,229,30,205,229,57,124,30,30,205,229,229,229,205,False,False,True,False,False,False,False,False,True,False,False,False
8,129,129,129,228,29,269,129,129,129,129,129,129,29,False,False,False,False,True,False,False,False,False,False,False,False
9,143,143,143,143,236,221,143,143,143,143,143,143,202,False,False,False,False,False,False,False,False,False,False,False,False
10,129,129,129,129,129,57,129,129,129,129,129,129,198,False,False,False,False,False,False,False,False,False,False,False,False
11,259,259,259,259,259,164,259,259,259,259,259,259,199,False,False,False,False,False,False,False,False,False,False,False,False
12,161,30,161,0,161,161,30,30,161,161,161,161,161,True,False,True,False,True,True,False,False,True,True,True,True
13,30,30,30,30,30,30,30,30,30,30,30,30,30,True,True,True,True,True,True,True,True,True,True,True,True
14,15,1,195,80,15,208,1,1,195,15,15,15,80,False,False,False,True,False,False,False,False,False,False,False,False
15,24,17,22,94,107,269,94,17,234,24,24,24,234,False,False,False,False,False,False,False,False,True,False,False,False
16,92,89,97,86,97,97,86,89,86,92,92,92,176,False,False,False,False,False,False,False,False,False,False,False,False
17,157,62,154,119,77,215,157,62,157,157,157,157,68,False,False,False,False,False,False,False,False,False,False,False,False
18,94,6,232,94,94,57,94,6,232,94,94,94,94,True,False,False,True,True,False,True,False,False,True,True,True
19,103,2,103,120,229,120,120,2,103,103,103,103,120,False,False,False,True,False,True,True,False,False,False,False,False
20,157,1,52,1,253,220,157,1,52,157,157,157,157,True,False,False,False,False,False,True,False,False,True,True,True
21,156,77,253,119,253,156,119,77,253,156,156,156,119,False,False,False,True,False,False,True,False,False,False,False,False
22,1,1,1,1,1,208,1,1,1,1,1,1,228,False,False,False,False,False,False,False,False,False,False,False,False
23,24,24,24,222,253,89,89,24,24,24,24,24,222,False,False,False,True,False,False,False,False,False,False,False,False
24,236,236,236,32,32,236,32,236,236,236,236,236,32,False,False,False,True,True,False,True,False,False,False,False,False
25,215,215,215,206,206,215,215,215,215,215,215,215,206,False,False,False,True,True,False,False,False,False,False,False,False
26,57,259,259,259,57,57,57,259,259,57,57,57,259,False,True,True,True,False,False,False,True,True,False,False,False
27,247,247,247,247,247,247,247,247,247,247,247,247,247,True,True,True,True,True,True,True,True,True,True,True,True
28,95,0,95,96,72,260,96,0,95,95,95,95,96,False,False,False,True,False,False,True,False,False,False,False,False
29,18,0,105,94,231,198,94,0,0,18,18,18,61,False,False,False,False,False,False,False,False,False,False,False,False
30,157,103,259,119,98,164,157,259,46,157,157,157,98,False,False,False,False,True,False,False,False,False,False,False,False
31,215,62,62,228,57,215,228,62,62,215,215,215,155,False,False,False,False,False,False,False,False,False,False,False,False
32,248,77,4,244,149,215,244,248,4,248,248,248,77,False,True,False,False,False,False,False,False,False,False,False,False
33,215,89,89,119,259,215,119,89,89,215,215,215,119,False,False,False,True,False,False,True,False,False,False,False,False
34,95,22,95,244,95,215,244,95,95,95,95,95,244,False,False,False,True,False,False,True,False,False,False,False,False
35,260,221,120,120,42,260,120,221,120,260,260,260,120,False,False,True,True,False,False,True,False,True,False,False,False
36,95,95,95,244,208,260,244,95,95,95,95,95,143,False,False,False,False,False,False,False,False,False,False,False,False
37,94,94,94,94,94,198,94,259,94,94,94,94,94,True,True,True,True,True,False,True,False,True,True,True,True
38,119,119,119,119,164,164,119,259,119,119,119,119,119,True,True,True,True,False,False,True,False,True,True,True,True
39,215,215,215,0,215,215,215,215,215,215,215,215,57,False,False,False,False,False,False,False,False,False,False,False,False
40,92,215,92,92,215,215,92,92,92,92,92,92,92,True,False,True,True,False,False,True,True,True,True,True,True
41,161,161,161,161,161,161,161,161,161,161,161,161,161,True,True,True,True,True,True,True,True,True,True,True,True
