,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
0,[ 67 177 174],[177 222 142],[ 67 177 174],[228 182 142],[ 92 271 177],[177 222 142],[177 222 142],[177 222 142],[ 67 177 174],[ 67 177 174],[ 67 177 174],[ 67 177 174],174,True,False,True,False,False,False,False,False,True,True,True,True
1,[ 17 192 203],[192  17 165],[232  17 203],[165  68 192],[ 90  91 232],[192  17 165],[192  17 165],[192  17 165],[202 269 221],[ 17 192 203],[ 17 192 203],[ 17 192 203],68,False,False,False,True,False,False,False,False,False,False,False,False
2,[158 167  17],[167 129  17],[ 57 198 167],[258  17 167],[ 92   2 271],[167 129  17],[167 129  17],[167 129  17],[ 57 198 167],[158 167  17],[158 167  17],[158 167  17],17,True,True,False,True,False,True,True,True,False,True,True,True
3,[119 242 220],[ 77 242 220],[119 242 259],[228 110 119],[271  91 242],[ 77 242 220],[ 77 242 220],[ 77 242 220],[119 242 259],[119 242 220],[119 242 220],[119 242 220],110,False,False,False,True,False,False,False,False,False,False,False,False
4,[ 20 167 149],[ 30 167 149],[259 185 149],[149 206 167],[ 90 271 149],[ 30 167 149],[ 30 167 149],[ 30 167 149],[185  20 149],[ 20 167 149],[ 20 167 149],[ 20 167 149],29,False,False,False,False,False,False,False,False,False,False,False,False
5,[188 154  92],[195 188 154],[188 154  92],[160  77 154],[91 92 77],[92 30 10],[195 188 154],[195 188 154],[188 154  92],[188 154  92],[188 154  92],[188 154  92],160,False,False,False,True,False,False,False,False,False,False,False,False
6,[253 248 229],[248  30 253],[253 248 229],[248 229 244],[ 91 271 248],[248 208  30],[248  30 253],[248  30 253],[253 248 229],[253 248 229],[253 248 229],[253 248 229],33,False,False,False,False,False,False,False,False,False,False,False,False
7,[205 124 229],[ 30 229 124],[124 229 205],[ 87 205 229],[ 91 271  57],[ 30  57 124],[ 30 229 124],[ 30 229 124],[124 229 205],[205 124 229],[205 124 229],[205 124 229],205,True,False,True,True,False,False,False,False,True,True,True,True
8,[236 269 129],[236 269 129],[236 269 129],[ 91 129 228],[271  91  29],[161 236 269],[236 269 129],[236 269 129],[236 269 129],[236 269 129],[236 269 129],[236 269 129],29,False,False,False,False,True,False,False,False,False,False,False,False
9,[202 221 143],[236 143 221],[202 221 143],[ 92 271 143],[ 90  91 236],[236 221 202],[236 143 221],[236 143 221],[202 221 143],[202 221 143],[202 221 143],[202 221 143],202,True,False,True,False,False,True,False,False,True,True,True,True
10,[ 57 129 198],[ 57 129 198],[ 57 129 198],[271 199 129],[271  91 129],[129 198  57],[ 57 129 198],[ 57 129 198],[ 57 129 198],[ 57 129 198],[ 57 129 198],[ 57 129 198],198,True,True,True,False,False,True,True,True,True,True,True,True
