,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
0,[ 92  45 269],[ 45 177 174],[ 92  45 269],[269 142  45],[271  92 142],[ 45 177 174],[ 45 177 174],[ 45 177 174],[ 92  45 269],[ 92  45 269],[ 92  45 269],[ 92  45 269],174,False,True,False,False,False,True,True,True,False,False,False,False
1,[ 17 203 232],[208 192 269],[ 17 232 203],[ 91 192 269],[ 90  91 202],[208 192 269],[208 192 269],[208 192 269],[ 17 232 203],[ 17 232 203],[ 17 203 232],[ 17 203 232],68,False,False,False,False,False,False,False,False,False,False,False,False
2,[199  17 191],[258 199   7],[ 17 199 191],[ 93  94 271],[ 90  91 191],[258 199   7],[258 199   7],[258 199   7],[ 17 199 191],[258  17 191],[258  17 191],[258  17 191],17,True,False,True,False,False,False,False,False,True,True,True,True
3,[228 199  77],[119  77 199],[228 199  77],[ 90  91 119],[ 92  91 173],[119  77 199],[119  77 199],[119  77 199],[228 199  77],[228 199  77],[228 199  77],[228 199  77],110,False,False,False,False,False,False,False,False,False,False,False,False
4,[167 206  29],[ 10 206  20],[167 206  29],[ 93  94 271],[92 91 30],[ 10 206  20],[ 10 206  20],[ 10 206  20],[167 206  29],[167 206  29],[167 206  29],[167 206  29],29,True,False,True,False,False,False,False,False,True,True,True,True
5,[ 77 160 199],[195  77 199],[ 77 160 199],[ 93  94 271],[90 91 92],[ 77 160 199],[195  77 199],[195  77 199],[ 77 160 199],[ 77 160 199],[ 77 160 199],[ 77 160 199],160,True,False,True,False,False,True,False,False,True,True,True,True
6,[ 42  33 244],[248 208  33],[ 42  33 244],[ 92  93 248],[91 92 33],[ 42  33 244],[248 208  33],[248 208  33],[ 42  33 244],[ 42  33 244],[ 42  33 244],[ 42  33 244],33,True,True,True,False,True,True,True,True,True,True,True,True
7,[ 30  54 205],[ 54  57 124],[ 30  54 205],[ 92  93 271],[271  92 163],[ 30 205  54],[ 54  57 124],[ 54  57 124],[ 30  54 205],[ 30  54 205],[ 30  54 205],[ 30  54 205],205,True,False,True,False,False,True,False,False,True,True,True,True
8,[161 228  29],[ 91 236 269],[161 228  29],[ 92  91 269],[271  91 129],[161 228  29],[ 91 236 269],[ 91 236 269],[161 228  29],[161 228  29],[161 228  29],[161 228  29],29,True,False,True,False,False,True,False,False,True,True,True,True
9,[221 208 236],[202 208 236],[221 208 236],[ 90  91 271],[ 89  90 221],[221 208 236],[202 208 236],[202 208 236],[221 208 236],[221 208 236],[221 208 236],[221 208 236],202,False,True,False,False,False,False,True,True,False,False,False,False
