,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
0,[ 67 174 177],[ 67 177 174],[ 67 174 177],[ 67 142 177],[271  91  45],[ 67 177 174],[ 67 177 174],[ 67 177 174],[ 67 174 177],[ 67 174 177],[ 67 174 177],[ 67 174 177],174,True,True,True,False,False,True,True,True,True,True,True,True
1,[269 203 232],[208 192 269],[269 232 203],[232 192 203],[ 90  91 232],[208 192 269],[208 192 269],[208 192 269],[269 232 203],[232 269 203],[269 232 203],[269 232 203],68,False,False,False,False,False,False,False,False,False,False,False,False
2,[199  57 258],[258 199   7],[ 57 158 105],[ 93 105 271],[271  91 129],[258 199   7],[258 199   7],[258 199   7],[ 57 158 105],[105   7 258],[105 258   7],[105   7 258],17,False,False,False,False,False,False,False,False,False,False,False,False
3,[220  77 199],[119  77 199],[242 220  77],[ 91 242 119],[ 91  92 164],[119  77 199],[119  77 199],[119  77 199],[242 220  77],[119 220  77],[228 220  77],[119 220  77],110,False,False,False,False,False,False,False,False,False,False,False,False
4,[259 167 185],[ 10 206  20],[ 91 161  20],[ 91 206 271],[271  90 259],[ 10 206  20],[ 10 206  20],[ 10 206  20],[ 91 161  20],[ 94 206 167],[271  93 167],[ 94 206 167],29,False,False,False,False,False,False,False,False,False,False,False,False
5,[195  77 199],[195 199  77],[93 10 77],[ 91  93 195],[ 91  92 160],[195  77 199],[195 199  77],[195 199  77],[93 10 77],[195  77 199],[195  77 199],[195  77 199],160,False,False,False,False,True,False,False,False,False,False,False,False
6,[229 244 253],[248 208  33],[271 248 208],[ 92 248  33],[92 91 30],[208 244 253],[248 208  33],[248 208  33],[271 248 208],[248  33 244],[248  33 244],[248  33 244],33,False,True,False,True,False,False,True,True,False,True,True,True
7,[ 57 163  54],[ 54  57 124],[ 57 124 205],[ 90  91 271],[ 91 271  57],[163  57  54],[ 54  57 124],[ 54  57 124],[ 57 124 205],[ 57 124 163],[ 57 163  54],[ 57 124 163],205,False,False,True,False,False,False,False,False,True,False,False,False
8,[129 269 228],[ 91 236 269],[ 98 236 161],[ 90  91 271],[ 91  90 269],[129 269 228],[ 91 236 269],[ 91 236 269],[ 98 236 161],[129 269 228],[129 269 228],[129 269 228],29,False,False,False,False,False,False,False,False,False,False,False,False
9,[202 143 236],[202 208 236],[236 208 202],[ 90  91 271],[ 89  90 221],[202 208 236],[202 208 236],[202 208 236],[221 208 202],[202 143 236],[202 143 236],[202 143 236],202,True,True,True,False,False,True,True,True,True,True,True,True
10,[129  57 199],[198 199  57],[ 91  92 271],[ 90  91 271],[ 91 271  57],[129  57 199],[198 199  57],[198 199  57],[ 91  92 271],[129  57 199],[129  57 199],[129  57 199],198,False,True,False,False,False,False,True,True,False,False,False,False
11,[164 259 199],[271  91 199],[ 90  91 271],[ 90  91 271],[271  90 259],[ 90 259 199],[271  91 199],[271  91 199],[ 90  91 271],[164 259 199],[164 259 199],[164 259 199],199,True,True,False,False,False,True,True,True,False,True,True,True
12,[ 93 161  30],[ 90  91 271],[ 91  92 271],[ 90  91 271],[ 92  87 161],[ 91  92 271],[ 90  91 271],[ 90  91 271],[ 91  92 271],[ 93 161  30],[ 93 161  30],[ 93 161  30],161,True,False,False,False,True,False,False,False,False,True,True,True
13,[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],30,True,True,True,True,True,True,True,True,True,True,True,True
14,[228  32 199],[208 199  75],[195  46  75],[ 93  75 195],[ 90  91 188],[ 46  32 199],[208 199  75],[208 199  75],[195  46  75],[228  32 199],[228  32 199],[228  32 199],80,False,False,False,False,False,False,False,False,False,False,False,False
15,[ 22 253 122],[269 256 234],[107 195 234],[195  24  94],[90 91 89],[269 195 234],[ 22 253 122],[269 256 234],[107 195 234],[ 22 253 122],[ 22 253 122],[ 22 253 122],234,False,True,True,False,False,True,False,True,True,False,False,False
16,[86 44 32],[  4 176  97],[176 158   4],[271  56 176],[271  91 158],[97 32  4],[86 44 32],[  4 176  97],[158   4 236],[86 44 32],[86 44 32],[86 44 32],176,False,True,True,True,False,False,False,True,False,False,False,False
17,[157 154  62],[206 119  77],[ 68 119  77],[187 206 119],[90 91 84],[ 68 157  77],[157  62  68],[206 119  77],[215 119  77],[157 154  62],[157 154  62],[157 154  62],68,False,False,True,False,False,True,True,False,False,False,False,False
18,[259  57 122],[232  94  75],[271 232  75],[206  75  94],[ 91 271  94],[ 57  75 232],[259 122  57],[232  94  75],[271 232  75],[259  57 122],[259  57 122],[259  57 122],94,False,True,False,True,True,False,False,True,False,False,False,False
19,[ 46 229 120],[268 247  46],[103 247  46],[247 268 103],[271  90 268],[268 247  46],[ 46 229 120],[268 247  46],[103 247  46],[ 46 229 120],[ 46 229 120],[ 46 229 120],120,True,False,False,False,False,False,True,False,False,True,True,True
20,[253 157 236],[181  52 220],[ 90 181  52],[90 91 52],[271  91 181],[181 220 157],[  1 157 236],[181  52 220],[ 90 181  52],[253 157 236],[253 157 236],[253 157 236],157,True,False,False,False,False,True,True,False,False,True,True,True
21,[253 200 246],[119  77  28],[90 28 77],[ 92  28 119],[ 90 271 156],[156 246  77],[253 200 246],[119  77  28],[90 28 77],[253 200 246],[253 200 246],[253 200 246],119,False,True,False,True,False,False,False,True,False,False,False,False
22,[208 228 199],[208  75 199],[ 92 271  75],[ 92 271  75],[ 90  91 228],[ 75 228 199],[208 228 199],[208  75 199],[ 92 271  75],[208 228 199],[208 228 199],[208 228 199],228,True,False,False,False,True,True,True,False,False,True,True,True
23,[ 24 253 122],[222 253  24],[ 91 222  24],[91 92 24],[ 89  90 222],[253 122  24],[ 24 253 122],[222 253  24],[ 91 222  24],[ 24 253 122],[ 24 253 122],[ 24 253 122],222,False,True,True,False,True,False,False,True,True,False,False,False
24,[236  32  44],[ 90  91 236],[ 92  93 271],[ 92  93 271],[91 92 32],[ 93  32 236],[236  32  44],[ 90  91 236],[ 92  93 271],[236  32  44],[236  32  44],[236  32  44],32,True,False,False,False,True,True,True,False,False,True,True,True
25,[ 90 215  84],[271 206 215],[ 90  91 206],[ 90  91 206],[90 91 84],[ 90  91 206],[ 90 215  84],[271 206 215],[ 90  91 206],[ 90 215  84],[ 90 215  84],[ 90 215  84],206,False,True,True,True,False,True,False,True,True,False,False,False
26,[271  57 259],[ 91 271  57],[ 91  92 271],[ 90  91 271],[ 91 271  57],[271 259  57],[271 259  57],[ 91 271  57],[ 91  92 271],[271  57 259],[271  57 259],[271  57 259],259,True,False,False,False,False,True,True,False,False,True,True,True
27,[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],247,True,True,True,True,True,True,True,True,True,True,True,True
28,[244 143 145],[  0 212 170],[ 95  72 212],[ 95 212  96],[90 91 96],[  4 212 260],[140 244 145],[  0 212 170],[ 95  72 212],[244 143 145],[244 143 145],[244 143 145],96,False,False,False,True,True,False,False,False,False,False,False,False
