,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match
0,231,29,231,269,129,29,29,29,231,231,231,231,174,False,False,False,False,False,False,False,False,False,False,False,False
1,192,192,192,269,221,192,192,192,192,192,192,192,68,False,False,False,False,False,False,False,False,False,False,False,False
2,105,2,105,57,198,2,2,2,105,105,105,105,17,False,False,False,False,False,False,False,False,False,False,False,False
3,220,119,220,220,144,119,119,119,220,220,220,220,110,False,False,False,False,False,False,False,False,False,False,False,False
4,29,10,29,30,206,10,10,10,29,29,29,29,29,True,False,True,False,False,False,False,False,True,True,True,True
5,195,10,195,195,92,195,10,10,195,195,195,195,160,False,False,False,False,False,False,False,False,False,False,False,False
6,248,248,248,248,253,248,248,248,248,248,248,248,33,False,False,False,False,False,False,False,False,False,False,False,False
7,30,30,30,30,57,30,30,30,30,30,30,30,205,False,False,False,False,False,False,False,False,False,False,False,False
8,29,29,29,269,269,29,29,29,29,29,29,29,29,True,True,True,False,False,True,True,True,True,True,True,True
9,221,202,202,221,143,221,202,202,202,221,221,221,202,False,True,True,False,False,False,True,True,True,False,False,False
10,57,57,57,57,198,198,57,57,57,57,57,57,198,False,False,False,False,True,True,False,False,False,False,False,False
11,164,164,164,164,199,164,164,164,164,164,164,164,199,False,False,False,False,True,False,False,False,False,False,False,False
12,30,30,30,30,30,30,30,30,30,30,30,30,161,False,False,False,False,False,False,False,False,False,False,False,False
13,30,30,30,30,30,30,30,30,30,30,30,30,30,True,True,True,True,True,True,True,True,True,True,True,True
14,195,15,195,85,208,195,15,15,195,195,195,195,80,False,False,False,False,False,False,False,False,False,False,False,False
15,107,107,107,107,256,107,107,107,107,107,107,107,234,False,False,False,False,False,False,False,False,False,False,False,False
16,4,4,4,56,56,4,56,4,4,4,4,4,176,False,False,False,False,False,False,False,False,False,False,False,False
17,187,119,187,84,187,187,187,119,187,187,187,187,68,False,False,False,False,False,False,False,False,False,False,False,False
18,168,57,168,168,168,168,168,57,168,168,168,168,94,False,False,False,False,False,False,False,False,False,False,False,False
19,247,2,247,247,229,247,247,2,247,247,247,247,120,False,False,False,False,False,False,False,False,False,False,False,False
20,220,52,220,220,181,220,220,52,220,220,220,220,157,False,False,False,False,False,False,False,False,False,False,False,False
21,28,119,28,119,119,28,28,119,28,28,28,28,119,False,True,False,True,True,False,False,True,False,False,False,False
22,262,1,262,1,199,262,262,1,262,262,262,262,228,False,False,False,False,False,False,False,False,False,False,False,False
23,24,24,24,24,122,24,24,24,24,24,24,24,222,False,False,False,False,False,False,False,False,False,False,False,False
24,32,44,32,236,44,42,32,44,32,32,32,32,32,True,False,True,False,False,False,True,False,True,True,True,True
25,84,215,84,84,206,84,84,215,84,84,84,84,206,False,False,False,False,True,False,False,False,False,False,False,False
26,57,57,57,57,57,57,57,57,57,57,57,57,259,False,False,False,False,False,False,False,False,False,False,False,False
27,247,247,247,247,247,247,247,247,247,247,247,247,247,True,True,True,True,True,True,True,True,True,True,True,True
28,4,0,4,95,260,4,4,0,4,4,4,4,96,False,False,False,False,False,False,False,False,False,False,False,False
29,18,0,18,231,120,18,18,0,18,18,18,18,61,False,False,False,False,False,False,False,False,False,False,False,False
30,105,119,105,103,119,105,105,105,105,105,105,105,98,False,False,False,False,False,False,False,False,False,False,False,False
31,214,215,214,221,54,214,214,214,214,214,214,214,155,False,False,False,False,False,False,False,False,False,False,False,False
32,248,215,248,221,242,248,248,248,248,248,248,248,77,False,False,False,False,False,False,False,False,False,False,False,False
33,25,119,25,206,119,25,25,25,25,25,25,25,119,False,True,False,False,True,False,False,False,False,False,False,False
34,107,107,107,107,229,107,107,107,107,107,107,107,244,False,False,False,False,False,False,False,False,False,False,False,False
35,120,120,120,221,120,120,120,120,120,120,120,120,120,True,True,True,False,True,True,True,True,True,True,True,True
