,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
0,[ 29 174 231],[174 177  45],[ 29 174 231],[142 231 269],[271  91 129],[174 177  45],[174 177  45],[174 177  45],[ 29 174 231],[ 29 174 231],[ 29 174 231],[ 29 174 231],174,True,True,True,False,False,True,True,True,True,True,True,True
1,[203  17 192],[243 165 192],[ 17 192 203],[221 192 269],[ 89  90 221],[243 165 192],[243 165 192],[243 165 192],[ 17 192 203],[203  17 192],[203  17 192],[203  17 192],68,False,False,False,False,False,False,False,False,False,False,False,False
2,[ 17   2 105],[105 258   7],[ 17   2 105],[  2 198  57],[ 91  92 198],[105 258   7],[105 258   7],[105 258   7],[ 17   2 105],[258   2 105],[ 17   2 105],[ 17   2 105],17,True,False,True,False,False,False,False,False,True,False,True,True
3,[164 110 220],[164 110 119],[164 110 220],[242 119 220],[ 92  87 144],[164 110 119],[164 110 119],[164 110 119],[164 110 220],[164 110 220],[164 110 220],[164 110 220],110,True,True,True,False,False,True,True,True,True,True,True,True
4,[206  30  29],[206  30  10],[206  30  29],[ 10 206  30],[ 91 206 271],[206  30  10],[206  30  10],[206  30  10],[206  30  29],[206  30  29],[206  30  29],[206  30  29],29,True,False,True,False,False,False,False,False,True,True,True,True
5,[188  30 195],[195 188 154],[188  30 195],[ 10  30 195],[90 91 92],[188  30 195],[195 188 154],[195 188 154],[188  30 195],[188  30 195],[188  30 195],[188  30 195],160,False,False,False,False,False,False,False,False,False,False,False,False
6,[ 33  30 248],[ 30 244 248],[ 33  30 248],[208  30 248],[ 90  91 253],[ 33  30 248],[ 30 244 248],[ 30 244 248],[ 33  30 248],[ 33  30 248],[ 33  30 248],[ 33  30 248],33,True,False,True,False,False,True,False,False,True,True,True,True
7,[ 57 124  30],[229  57 124],[ 57 124  30],[163  57  30],[ 91 271  57],[ 57 124  30],[229  57 124],[229  57 124],[ 57 124  30],[124  57  30],[ 57 124  30],[124  57  30],205,False,False,False,False,False,False,False,False,False,False,False,False
8,[161 269  29],[129  29 269],[161 269  29],[236  29 269],[ 91  90 269],[161 269  29],[129  29 269],[129  29 269],[161 269  29],[161 269  29],[161 269  29],[161 269  29],29,True,True,True,True,False,True,True,True,True,True,True,True
9,[208 202 221],[221 208 202],[208 221 202],[202 208 221],[ 92 271 143],[208 202 221],[221 208 202],[221 208 202],[208 221 202],[208 202 221],[208 202 221],[208 202 221],202,True,True,True,True,False,True,True,True,True,True,True,True
10,[199 198  57],[ 57 129 198],[199 198  57],[129 198  57],[ 91  92 198],[199  57 198],[ 57 129 198],[ 57 129 198],[199 198  57],[199 198  57],[199 198  57],[199 198  57],198,True,True,True,True,True,True,True,True,True,True,True,True
11,[259 199 164],[259 199 164],[259 199 164],[259 199 164],[271  91 199],[259 199 164],[259 199 164],[259 199 164],[259 199 164],[259 199 164],[259 199 164],[259 199 164],199,True,True,True,True,True,True,True,True,True,True,True,True
12,[ 93 161  30],[ 93 161  30],[ 93 161  30],[ 93 161  30],[92 91 30],[ 93 161  30],[ 93 161  30],[ 93 161  30],[ 93 161  30],[ 93 161  30],[ 93 161  30],[ 93 161  30],161,True,True,True,True,False,True,True,True,True,True,True,True
13,[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],30,True,True,True,True,True,True,True,True,True,True,True,True
14,[222  85 195],[ 85 208  15],[262  85 195],[  1 195  85],[271  90 208],[262  85 195],[ 85 208  15],[ 85 208  15],[262  85 195],[222  85 195],[222  85 195],[222  85 195],80,False,False,False,False,False,False,False,False,False,False,False,False
15,[ 17 195 107],[ 89 234 107],[ 17 195 107],[195 269 107],[ 90  91 256],[ 17 195 107],[ 17 195 107],[ 89 234 107],[ 17 195 107],[ 17 195 107],[ 17 195 107],[ 17 195 107],234,False,True,False,False,False,False,False,True,False,False,False,False
16,[86 56  4],[ 44 158 176],[86 56  4],[236  56  97],[271  91  56],[86 56  4],[86  4 56],[ 44 158 176],[86 56  4],[86 56  4],[86 56  4],[86 56  4],176,False,True,False,False,False,False,False,True,False,False,False,False
17,[206  84 187],[ 84 119 215],[206  84 187],[187  84 206],[ 90  91 187],[206  84 187],[206  84 187],[ 84 119 215],[206  84 187],[206  84 187],[206  84 187],[206  84 187],68,False,False,False,False,False,False,False,False,False,False,False,False
18,[ 87 168 206],[122  87  75],[206 168  87],[ 57 206 168],[ 91  92 168],[206 168  87],[206 168  87],[122  87  75],[206 168  87],[ 87 168 206],[ 87 168 206],[ 87 168 206],94,False,False,False,False,False,False,False,False,False,False,False,False
19,[120   2 247],[229 247  91],[120   2 247],[  2 103 247],[ 91  86 229],[103   2 247],[120   2 247],[229 247  91],[120   2 247],[120   2 247],[120   2 247],[120   2 247],120,True,False,True,False,False,False,True,False,True,True,True,True
20,[ 52   1 220],[220   1  52],[ 52   1 220],[ 23   1 220],[271  91 181],[157   1 220],[ 52   1 220],[220   1  52],[ 52   1 220],[ 52   1 220],[ 52   1 220],[ 52   1 220],157,False,False,False,False,False,True,False,False,False,False,False,False
21,[246  28 253],[156  28 119],[246  28 253],[200  28 119],[ 89  90 119],[246  28 253],[246  28 253],[156  28 119],[246  28 253],[246  28 253],[246  28 253],[246  28 253],119,False,True,False,True,True,False,False,True,False,False,False,False
22,[208   1 262],[ 75 208   1],[ 75   1 262],[262 208   1],[271  91 199],[ 75   1 262],[208   1 262],[ 75 208   1],[ 75   1 262],[208   1 262],[208   1 262],[208   1 262],228,False,False,False,False,False,False,False,False,False,False,False,False
23,[ 89 222  24],[ 89  24 122],[ 89 222  24],[ 89 222  24],[ 89 271 122],[ 89 222  24],[ 89 222  24],[ 89  24 122],[ 89 222  24],[ 89 222  24],[ 89 222  24],[ 89 222  24],222,True,False,True,True,False,True,True,False,True,True,True,True
24,[236  32  42],[42 32 44],[236  32  42],[ 42  44 236],[ 91 271  44],[236  32  42],[236  32  42],[42 32 44],[236  32  42],[236  32  42],[236  32  42],[236  32  42],32,True,True,True,False,False,True,True,True,True,True,True,True
25,[215 206  84],[ 84 206 215],[215 206  84],[215 206  84],[ 91 206 271],[215 206  84],[215 206  84],[ 84 206 215],[215 206  84],[215 206  84],[215 206  84],[215 206  84],206,True,True,True,True,True,True,True,True,True,True,True,True
26,[271 259  57],[271 259  57],[271 259  57],[271 259  57],[ 91 271  57],[271 259  57],[271 259  57],[271 259  57],[271 259  57],[271 259  57],[271 259  57],[271 259  57],259,True,True,True,True,False,True,True,True,True,True,True,True
