,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match
0,45,45,45,269,161,45,45,45,45,45,45,45,174,False,False,False,False,False,False,False,False,False,False,False,False
1,269,192,269,269,221,192,192,192,269,269,269,269,68,False,False,False,False,False,False,False,False,False,False,False,False
2,57,2,57,167,167,2,2,2,57,57,57,57,17,False,False,False,False,False,False,False,False,False,False,False,False
3,220,119,220,220,242,119,119,119,220,220,220,220,110,False,False,False,False,False,False,False,False,False,False,False,False
4,30,161,30,167,20,161,161,161,30,30,30,30,29,False,False,False,False,False,False,False,False,False,False,False,False
5,30,188,30,30,199,30,188,188,30,30,30,30,160,False,False,False,False,False,False,False,False,False,False,False,False
6,248,248,248,248,244,248,248,248,248,248,248,248,33,False,False,False,False,False,False,False,False,False,False,False,False
7,124,124,124,124,30,124,124,124,124,124,124,124,205,False,False,False,False,False,False,False,False,False,False,False,False
8,269,269,269,269,129,269,269,269,269,269,269,269,29,False,False,False,False,False,False,False,False,False,False,False,False
9,202,221,202,202,208,202,221,221,202,202,202,202,202,True,False,True,True,False,True,False,False,True,True,True,True
10,57,129,57,57,199,57,129,129,57,57,57,57,198,False,False,False,False,False,False,False,False,False,False,False,False
11,164,199,164,164,199,164,199,199,164,164,164,164,199,False,True,False,False,True,False,True,True,False,False,False,False
12,30,161,30,30,30,30,161,161,30,30,30,30,161,False,True,False,False,False,False,True,True,False,False,False,False
13,30,30,30,30,30,30,30,30,30,30,30,30,30,True,True,True,True,True,True,True,True,True,True,True,True
14,15,15,15,262,80,15,15,15,15,15,15,15,80,False,False,False,False,True,False,False,False,False,False,False,False
