,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
0,[129 269  45],[177 142  45],[129 269  45],[142  45 269],[ 92 271 177],[177 142  45],[177 142  45],[177 142  45],[129 269  45],[129 269  45],[129 269  45],[129 269  45],174,False,False,False,False,False,False,False,False,False,False,False,False
1,[221 202 269],[269 192 203],[221 202 269],[202 192 269],[ 91  90 269],[269 192 203],[269 192 203],[269 192 203],[221 202 269],[221 202 269],[221 202 269],[221 202 269],68,False,False,False,False,False,False,False,False,False,False,False,False
2,[198 129  57],[258   2   7],[198 129  57],[198 167  57],[ 91  90 258],[258   2   7],[258   2   7],[258   2   7],[198 129  57],[198 129  57],[198 129  57],[198 129  57],17,False,False,False,False,False,False,False,False,False,False,False,False
3,[259 164 220],[199 119 220],[259 164 220],[110 119 220],[271  90 259],[199 119 220],[199 119 220],[199 119 220],[259 164 220],[259 164 220],[259 164 220],[259 164 220],110,False,False,False,True,False,False,False,False,False,False,False,False
4,[149  30 161],[ 30 206 161],[149  30 161],[149  30 167],[ 92 167 271],[ 30 206 161],[ 30 206 161],[ 30 206 161],[149  30 161],[149  30 161],[149  30 161],[149  30 161],29,False,False,False,False,False,False,False,False,False,False,False,False
5,[ 92 188  30],[160 199 188],[ 92 188  30],[ 10 188  30],[271  91 199],[ 92 188  30],[160 199 188],[160 199 188],[ 92 188  30],[ 92 188  30],[ 92 188  30],[ 92 188  30],160,False,True,False,False,False,False,True,True,False,False,False,False
6,[229  30 248],[244  33 248],[229 248  30],[ 30 248 244],[ 91 271 248],[229  30 248],[244  33 248],[244  33 248],[229 248  30],[229  30 248],[229  30 248],[229  30 248],33,False,True,False,False,False,False,True,True,False,False,False,False
7,[ 30  57 124],[205  30 124],[ 30  57 124],[ 57  30 124],[ 90 271  54],[ 30  57 124],[205  30 124],[205  30 124],[ 30  57 124],[ 30  57 124],[ 30  57 124],[ 30  57 124],205,False,True,False,False,False,False,True,True,False,False,False,False
8,[161 129 269],[161 129 269],[161 129 269],[228 129 269],[ 91  90 269],[161 129 269],[161 129 269],[161 129 269],[161 129 269],[161 129 269],[161 129 269],[161 129 269],29,False,False,False,False,False,False,False,False,False,False,False,False
9,[143 221 202],[202 208 221],[143 221 202],[143 221 202],[ 92 271 143],[143 221 202],[202 208 221],[202 208 221],[143 221 202],[143 221 202],[143 221 202],[143 221 202],202,True,True,True,True,False,True,True,True,True,True,True,True
