,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_21_linear_match,hard_agent_21_log10_match,hard_agent_21_ln_match
0,174,67,174,142,161,67,67,67,174,174,174,174,174,True,False,True,False,False,False,False,False,True,True,True,True
1,203,192,203,192,17,192,192,192,192,203,203,203,68,False,False,False,False,False,False,False,False,False,False,False,False
2,258,2,198,167,167,2,2,2,167,258,258,258,17,False,False,False,False,False,False,False,False,False,False,False,False
3,220,119,242,119,164,119,119,119,242,220,220,220,110,False,False,False,False,False,False,False,False,False,False,False,False
4,161,161,161,167,185,161,161,161,161,161,161,161,29,False,False,False,False,False,False,False,False,False,False,False,False
5,160,188,188,199,188,30,188,188,188,160,160,160,160,True,False,False,False,False,False,False,False,False,True,True,True
6,248,248,248,244,229,30,248,248,248,248,248,248,33,False,False,False,False,False,False,False,False,False,False,False,False
7,124,124,205,229,229,124,124,124,205,124,124,124,205,False,False,True,False,False,False,False,False,True,False,False,False
8,161,269,129,228,161,161,269,269,129,161,161,161,29,False,False,False,False,False,False,False,False,False,False,False,False
9,202,221,202,143,208,202,221,221,202,202,202,202,202,True,False,True,False,False,True,False,False,True,True,True,True
10,198,129,129,199,57,198,129,129,129,198,198,198,198,True,False,False,False,False,True,False,False,False,True,True,True
11,164,199,259,199,259,164,199,199,259,164,164,164,199,False,True,False,True,False,False,True,True,False,False,False,False
12,161,161,161,0,30,161,161,161,161,161,161,161,161,True,True,True,False,False,True,True,True,True,True,True,True
13,30,30,30,30,30,30,30,30,30,30,30,30,30,True,True,True,True,True,True,True,True,True,True,True,True
