,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
0,[231 174  67],[ 67 174 142],[231 174  67],[228 182 142],[ 92  87 161],[ 67 174 142],[ 67 174 142],[ 67 174 142],[231 174  67],[231 174  67],[231 174  67],[231 174  67],174,True,True,True,False,False,True,True,True,True,True,True,True
1,[269 192 203],[269 192 203],[269 203 192],[165  68 192],[90 91 17],[269 192 203],[269 192 203],[269 192 203],[203 269 192],[269 192 203],[269 192 203],[269 192 203],68,False,False,False,True,False,False,False,False,False,False,False,False
2,[167 105 258],[258   2   7],[ 57 167 198],[105 199 167],[ 92 167 271],[258   2   7],[258   2   7],[258   2   7],[258 167 198],[167 105 258],[167 105 258],[167 105 258],17,False,False,False,False,False,False,False,False,False,False,False,False
3,[242 119 220],[199 119 220],[220 242 119],[173 110 119],[ 91  92 164],[199 119 220],[199 119 220],[199 119 220],[110 242 119],[242 119 220],[242 119 220],[242 119 220],110,False,False,False,True,False,False,False,False,True,False,False,False
4,[ 30 167 161],[ 30 206 161],[ 20 167 161],[149 206 167],[ 90  91 185],[ 30 206 161],[ 30 206 161],[ 30 206 161],[167  20 161],[ 30 167 161],[ 30 167 161],[ 30 167 161],29,False,False,False,False,False,False,False,False,False,False,False,False
5,[ 77  30 160],[160 199 188],[154 188 160],[ 77 160 199],[ 90  91 188],[77 10 30],[160 199 188],[160 199 188],[160  30 188],[ 77  30 160],[ 77  30 160],[ 77  30 160],160,True,True,True,True,False,False,True,True,True,True,True,True
6,[ 30 229 248],[244  33 248],[253 248 229],[ 33 248 244],[ 91  86 229],[248 208  30],[244  33 248],[244  33 248],[253 248 229],[ 30 229 248],[ 30 229 248],[ 30 229 248],33,False,True,False,True,False,False,True,True,False,False,False,False
7,[ 30 229 124],[205  30 124],[ 30 205 124],[ 87 205 229],[ 91  86 229],[ 57  30 124],[205  30 124],[205  30 124],[229 124 205],[ 30 229 124],[ 30 229 124],[ 30 229 124],205,False,True,True,True,False,False,True,True,True,False,False,False
8,[129 161 269],[161 129 269],[269 161 129],[ 91 129 228],[ 92  87 161],[236 161 269],[161 129 269],[161 129 269],[269 161 129],[129 161 269],[129 161 269],[129 161 269],29,False,False,False,False,False,False,False,False,False,False,False,False
9,[143 208 202],[202 208 221],[221 208 202],[ 92 271 143],[271  90 208],[221 208 202],[202 208 221],[202 208 221],[221 208 202],[143 208 202],[143 208 202],[143 208 202],202,True,True,True,False,False,True,True,True,True,True,True,True
