,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
0,[ 92  45 269],[ 67 174 177],[ 92  45 269],[269 142  45],[ 92 271 177],[ 67 174 177],[ 67 174 177],[ 67 174 177],[ 92  45 269],[ 92  45 269],[ 92  45 269],[ 92  45 269],174,False,True,False,False,False,True,True,True,False,False,False,False
1,[ 17 232 203],[203 208 269],[ 17 232 203],[ 91 192 269],[ 90  91 203],[203 208 269],[203 208 269],[203 208 269],[ 17 232 203],[ 17 232 203],[ 17 203 232],[ 17 203 232],68,False,False,False,False,False,False,False,False,False,False,False,False
2,[ 17 199 191],[105 258   7],[ 17 199 191],[ 93  94 271],[ 92 271   7],[105 258   7],[105 258   7],[105 258   7],[ 17 199 191],[258  17 191],[ 17 199 191],[ 17 199 191],17,True,False,True,False,False,False,False,False,True,True,True,True
3,[144 199  77],[ 77 220 119],[144 199  77],[ 90  91 119],[271  90 259],[ 77 220 119],[ 77 220 119],[ 77 220 119],[144 199  77],[144 199  77],[144 199  77],[144 199  77],110,False,False,False,False,False,False,False,False,False,False,False,False
4,[167 206  29],[ 20 167 206],[167 206  29],[ 93  94 271],[ 92 167 271],[ 20 167 206],[ 20 167 206],[ 20 167 206],[167 206  29],[167 206  29],[167 206  29],[167 206  29],29,True,False,True,False,False,False,False,False,True,True,True,True
5,[ 77 199 160],[160  77 195],[ 77 199 160],[ 93  94 271],[92 91 30],[ 77 199 160],[160  77 195],[160  77 195],[ 77 199 160],[ 77 199 160],[ 77 199 160],[ 77 199 160],160,True,True,True,False,False,True,True,True,True,True,True,True
6,[ 42  33 244],[248 208  33],[ 42  33 244],[271 244 248],[92 91 30],[ 42  33 244],[248 208  33],[248 208  33],[ 42  33 244],[ 42  33 244],[ 42  33 244],[ 42  33 244],33,True,True,True,False,False,True,True,True,True,True,True,True
7,[ 30 205  54],[ 57 124  54],[ 30 205  54],[ 92  93 271],[ 91  86 229],[ 30 205  54],[ 57 124  54],[ 57 124  54],[ 30 205  54],[ 30 205  54],[ 30 205  54],[ 30 205  54],205,True,False,True,False,False,True,False,False,True,True,True,True
8,[161 228  29],[ 91 236 269],[161 228  29],[ 92  91 269],[271  91  29],[161 228  29],[ 91 236 269],[ 91 236 269],[161 228  29],[161 228  29],[161 228  29],[161 228  29],29,True,False,True,False,True,True,False,False,True,True,True,True
9,[143 221 236],[236 208 202],[143 221 236],[ 90  91 271],[ 92 271 143],[143 221 236],[236 208 202],[236 208 202],[143 221 236],[143 221 236],[143 221 236],[143 221 236],202,False,True,False,False,False,False,True,True,False,False,False,False
10,[129  57 199],[ 88 198  57],[129  57 199],[ 91  92 271],[ 91 271  57],[129  57 199],[ 88 198  57],[ 88 198  57],[129  57 199],[129  57 199],[129  57 199],[129  57 199],198,False,True,False,False,False,False,True,True,False,False,False,False
11,[164 259 199],[ 90  91 271],[164 259 199],[ 90  91 271],[ 91  92 164],[164 259 199],[ 90  91 271],[ 90  91 271],[164 259 199],[164 259 199],[164 259 199],[164 259 199],199,True,False,True,False,False,True,False,False,True,True,True,True
12,[ 93 161  30],[ 91  92 271],[ 93  30 161],[ 91  92 271],[92 91 30],[ 93 161  30],[ 91  92 271],[ 91  92 271],[ 93  30 161],[ 93 161  30],[ 93 161  30],[ 93 161  30],161,True,False,True,False,False,True,False,False,True,True,True,True
13,[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],30,True,True,True,True,True,True,True,True,True,True,True,True
14,[222  32 199],[262 208  75],[ 75  32 199],[93 94 15],[271  90 208],[228  32 199],[262 208  75],[262 208  75],[ 75  32 199],[222  32 199],[222  32 199],[222  32 199],80,False,False,False,False,False,False,False,False,False,False,False,False
15,[ 17 222 256],[256  94 234],[ 17 222 256],[ 89 269  94],[ 90  91 107],[ 17 222 256],[ 17 222 256],[256  94 234],[ 17 222 256],[ 17 222 256],[ 17 222 256],[ 17 222 256],234,False,True,False,False,False,False,False,True,False,False,False,False
16,[56 32 44],[ 89 176  97],[56 32 44],[ 96  89 176],[271  91   4],[86 32 44],[86 32 44],[ 89 176  97],[56 32 44],[56 32 44],[56 32 44],[56 32 44],176,False,True,False,True,False,False,False,True,False,False,False,False
17,[206 157  68],[206  77 119],[ 77 157  68],[271  93 119],[ 90  91 157],[206 157  68],[157 206  68],[206  77 119],[ 77 157  68],[206 157  68],[206 157  68],[206 157  68],68,True,False,True,False,False,True,True,False,True,True,True,True
18,[232 206  75],[57 75 94],[232 206  75],[ 93 271  94],[ 91  92 168],[232 206  75],[232 206  75],[57 75 94],[232 206  75],[232 206  75],[232 206  75],[232 206  75],94,False,True,False,True,False,False,False,True,False,False,False,False
19,[120 224  91],[ 46 247 268],[120 224  91],[ 92  93 271],[ 90 271  91],[224 120  91],[268 224  91],[ 46 247 268],[268 224  91],[120 224  91],[120 224  91],[120 224  91],120,True,False,True,False,False,True,False,False,False,True,True,True
20,[181   1 157],[ 52 220  23],[ 52   1 157],[ 92  93 271],[90 91 52],[181   1 157],[181   1 157],[ 52 220  23],[ 52   1 157],[181   1 157],[181   1 157],[181   1 157],157,True,False,True,False,False,True,True,False,True,True,True,True
