,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
0,[ 67 174 177],[ 67 177 174],[ 67 174 177],[177 142  67],[ 91  90 269],[ 67 177 174],[ 67 177 174],[ 67 177 174],[ 67 174 177],[ 67 174 177],[ 67 174 177],[ 67 174 177],174,True,True,True,False,False,True,True,True,True,True,True,True
1,[192 269 203],[203 208 269],[143 203 165],[232 192 203],[ 89  90 221],[203 208 269],[203 208 269],[203 208 269],[236 143 165],[192 269 203],[192 269 203],[192 269 203],68,False,False,False,False,False,False,False,False,False,False,False,False
2,[105   7 258],[105 258   7],[198 129 199],[271   2 105],[ 92   2 271],[105 258   7],[105 258   7],[105 258   7],[ 57 129 199],[105   7 258],[105   7 258],[105   7 258],17,False,False,False,False,False,False,False,False,False,False,False,False
3,[ 77 220 119],[ 77 220 119],[ 77 259 119],[ 77 242 119],[271  91 199],[ 77 220 119],[ 77 220 119],[ 77 220 119],[ 77 259 119],[ 77 220 119],[ 77 220 119],[ 77 220 119],110,False,False,False,False,False,False,False,False,False,False,False,False
4,[ 93  94 271],[ 20 206 167],[149 185 259],[ 90 206  20],[ 92  87 161],[ 20 206 167],[ 20 206 167],[ 20 206 167],[149 185 259],[ 93  94 271],[ 93  94 271],[ 93  94 271],29,False,False,False,False,False,False,False,False,False,False,False,False
5,[ 94  77 195],[ 10  77 195],[ 92 188 154],[ 77 160 195],[ 91  92 160],[188 154 195],[ 10  77 195],[ 10  77 195],[ 92 188 154],[ 94  77 195],[ 94  77 195],[ 94  77 195],160,False,False,False,True,True,False,False,False,False,False,False,False
6,[ 92  33 248],[248 208  33],[253 229 244],[244 248  33],[ 91  86 229],[ 93  33 244],[248 208  33],[248 208  33],[253 229 244],[ 92  33 248],[ 92  33 248],[ 92  33 248],33,True,True,False,True,False,True,True,True,False,True,True,True
7,[ 92 271 124],[ 57 124  54],[ 57 229  54],[ 90  91 271],[ 91 271  57],[ 91  54 124],[ 57 124  54],[ 57 124  54],[ 57 229  54],[ 92 271 124],[ 92 271 124],[ 92 271 124],205,False,False,False,False,False,False,False,False,False,False,False,False
8,[ 91  90 269],[ 91 236 269],[236 161 129],[ 90  91 271],[ 91  90 269],[ 90 129 269],[ 91 236 269],[ 91 236 269],[236 161 129],[ 91  90 269],[ 91  90 269],[ 91  90 269],29,False,False,False,False,False,False,False,False,False,False,False,False
9,[ 90  91 271],[236 208 202],[221 236 143],[ 90  91 271],[ 90  91 236],[ 90  91 271],[236 208 202],[236 208 202],[221 236 143],[ 90  91 271],[ 90  91 271],[ 90  91 271],202,False,True,False,False,False,False,True,True,False,False,False,False
10,[271  92 198],[ 90 198  57],[ 57 129 199],[ 90  91 271],[271  91 129],[ 92 271 129],[ 90 198  57],[ 90 198  57],[ 57 129 199],[271  92 198],[271  92 198],[271  92 198],198,True,True,False,False,False,False,True,True,False,True,True,True
11,[ 90  91 271],[ 90  91 271],[164 199 259],[ 90  91 271],[271  91 199],[ 90  91 271],[ 90  91 271],[ 90  91 271],[164 199 259],[ 90  91 271],[ 90  91 271],[ 90  91 271],199,False,False,True,False,True,False,False,False,True,False,False,False
12,[ 91  92 271],[ 90  91 271],[ 91  92 161],[ 90  91 271],[92 91 30],[ 91  92 271],[ 90  91 271],[ 90  91 271],[ 91  92 161],[ 91  92 271],[ 91  92 271],[ 91  92 271],161,False,False,True,False,False,False,False,False,True,False,False,False
13,[ 91  92 271],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[ 91  92 271],[ 91  92 271],[ 91  92 271],30,False,True,True,True,True,True,True,True,True,False,False,False
14,[ 85  46 195],[195 208  75],[208 188 195],[ 93  75 195],[ 92 271  75],[ 32 195  80],[195 208  75],[195 208  75],[208 188 195],[ 85  46 195],[ 85  46 195],[ 85  46 195],80,False,False,False,False,False,True,False,False,False,False,False,False
15,[269 234  24],[269 256 234],[107  22 122],[195  24  94],[271  91  22],[234  94  24],[195 107 234],[269 256 234],[107  24 122],[269 234  24],[269 234  24],[269 234  24],234,True,True,False,False,False,True,True,True,False,True,True,True
16,[  4 176  97],[  4 176  97],[32 97 44],[271  56 176],[90 91 92],[ 32  97 176],[ 92  44 158],[  4 176  97],[176  44  97],[  4 176  97],[  4 176  97],[  4 176  97],176,True,True,False,True,False,True,False,True,True,True,True,True
17,[ 94  77 119],[206  77 119],[ 84  62 119],[187 119 206],[90 91 84],[ 77 119 154],[ 60  84 187],[206  77 119],[ 77  62 119],[ 94  77 119],[ 94  77 119],[ 94  77 119],68,False,False,False,False,False,False,False,False,False,False,False,False
18,[ 93 232  94],[57 75 94],[ 94 122 259],[206  75  94],[ 91 206 271],[232 122  94],[ 57 259  75],[57 75 94],[ 94 122 259],[ 93 232  94],[ 93 232  94],[ 93 232  94],94,True,True,True,True,False,True,False,True,True,True,True,True
19,[ 46 247 268],[ 46 247 268],[120 247 229],[247 268 103],[ 91  92 247],[120 268 247],[ 46 103   2],[ 46 247 268],[ 46 247 229],[ 46 247 268],[ 46 247 268],[ 46 247 268],120,False,False,True,False,False,True,False,False,False,False,False,False
20,[ 90  91 220],[181  52 220],[253  52 236],[90 91 52],[271  91 181],[ 52 220   1],[236  52 181],[181  52 220],[253  52 236],[ 90  91 220],[ 90  91 220],[ 90  91 220],157,False,False,False,False,False,False,False,False,False,False,False,False
21,[156 119  28],[156 119  28],[119 200 253],[ 77  28 119],[ 89  90 119],[156 119 246],[ 77 200 156],[156 119  28],[119 200 253],[156 119  28],[156 119  28],[156 119  28],119,True,True,True,True,True,True,False,True,True,True,True,True
22,[ 91  92 271],[  1 208  75],[  1 199  75],[ 92 271  75],[ 92 271  75],[91 92  1],[ 92 271  75],[  1 208  75],[  1 199  75],[ 91  92 271],[ 91  92 271],[ 91  92 271],228,False,False,False,False,False,False,False,False,False,False,False,False
23,[91 92 24],[222 253  24],[ 24 253 122],[91 92 24],[ 90  91 253],[ 89 122  24],[ 92 253 122],[222 253  24],[ 24 253 122],[91 92 24],[91 92 24],[91 92 24],222,False,True,False,False,False,False,False,True,False,False,False,False
24,[ 92  93 271],[ 90  91 236],[236  32  44],[ 92  93 271],[ 90  91 236],[92 93 32],[ 98 236  44],[ 90  91 236],[236  32  44],[ 92  93 271],[ 92  93 271],[ 92  93 271],32,False,False,True,False,False,True,False,False,True,False,False,False
25,[ 91  92 271],[ 91 206 271],[ 90 215  84],[ 90  91 206],[90 91 84],[ 91  92 271],[90 91 84],[ 91 206 271],[ 90 215  84],[ 91  92 271],[ 91  92 271],[ 91  92 271],206,False,True,False,True,False,False,False,True,False,False,False,False
26,[ 91  92 271],[ 91 271  57],[271  57 259],[ 90  91 271],[271  90 259],[ 91  92 271],[271  57 259],[ 91 271  57],[271  57 259],[ 91  92 271],[ 91  92 271],[ 91  92 271],259,False,False,True,False,True,False,True,False,True,False,False,False
27,[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],247,True,True,True,True,True,True,True,True,True,True,True,True
28,[170  95   0],[260 212 170],[140 143 145],[ 95 212  96],[271  91  72],[  0 244  96],[181  72 212],[260 212 170],[140 143 145],[170  95   0],[170  95   0],[170  95   0],96,False,False,False,True,False,True,False,False,False,False,False,False
29,[231  18   0],[94  0 18],[154  18 259],[105  94  18],[271  92  61],[ 0 18 94],[231 259  18],[94  0 18],[154 259  18],[231  18   0],[231  18   0],[231  18   0],61,False,False,False,False,True,False,False,False,False,False,False,False
30,[105   7  46],[ 46 119   7],[164 199 259],[103 105 119],[ 90  91 157],[  7 119 167],[164 103 259],[105 103  46],[164 259 199],[105   7  46],[105   7  46],[105   7  46],98,False,False,False,False,False,False,False,False,False,False,False,False
31,[ 92  93 155],[ 57  54 155],[221  62  54],[242 206 155],[ 91 271  57],[ 91 271  54],[163  57 242],[ 54 242 155],[221  62  54],[ 92  93 155],[ 92  93 155],[ 92  93 155],155,True,True,False,True,False,False,False,True,False,True,True,True
32,[ 77 248   4],[244 248   4],[ 92 143 149],[244 242 248],[ 91 271 248],[ 77 244   4],[143  92 242],[248  77   4],[ 92 143 149],[ 77 248   4],[ 77 248   4],[ 77 248   4],77,True,False,False,False,False,True,False,True,False,True,True,True
33,[ 92  93 119],[ 89 206 119],[161 119 259],[ 99 206 119],[92 87 25],[ 91  89 119],[119 259  25],[271  92  89],[161 119 259],[ 92  93 119],[ 92  93 119],[ 92  93 119],119,True,True,True,True,False,True,True,False,True,True,True,True
34,[ 93 107  95],[244 107  95],[244 107 134],[ 20  95 107],[ 91  86 229],[107  95 244],[ 20 107 134],[ 93  95 107],[244 107 134],[ 93 107  95],[ 93 107  95],[ 93 107  95],244,False,True,True,False,False,True,False,False,True,False,False,False
35,[ 89  90 260],[236 120 260],[221 144 260],[ 90  91 271],[ 92  87 144],[ 87 120 260],[ 88 236 144],[ 89  90 260],[221 260 144],[ 89  90 260],[ 89  90 260],[ 89  90 260],120,False,True,False,False,False,True,False,False,False,False,False,False
36,[ 90 260  95],[208  95 260],[260 143 140],[271 244  95],[271  91 140],[260  95 244],[271 143 140],[ 90  95 260],[244 143 140],[ 90 260  95],[ 90 260  95],[ 90 260  95],143,False,False,True,False,False,False,True,False,True,False,False,False
37,[271 232  94],[198  94 271],[271  94 259],[ 90 232  94],[ 91  92 198],[271  94 232],[ 94 271 259],[ 94 271 232],[271 259  94],[271 232  94],[271 232  94],[271 232  94],94,True,True,True,True,False,True,True,True,True,True,True,True
38,[ 89  90 119],[ 89  90 119],[ 90 119 259],[ 89  90 119],[271  90 259],[ 89  90 119],[119 164 259],[ 90  91 271],[199 119 259],[ 89  90 119],[ 89  90 119],[ 89  90 119],119,True,True,True,True,False,True,True,False,True,True,True,True
39,[ 91  92 271],[ 91 271  57],[271 163  57],[ 90  91 271],[271  92 163],[ 91  92 271],[271 163  57],[ 91  92 271],[271 163  57],[ 91  92 271],[ 91  92 271],[ 91  92 271],57,False,True,True,False,False,False,True,False,True,False,False,False
40,[ 90  91 271],[ 90  91 271],[90 91 92],[ 90  91 271],[90 91 92],[ 90  91 271],[90 91 92],[ 90  91 271],[90 91 92],[ 90  91 271],[ 90  91 271],[ 90  91 271],92,False,False,True,False,True,False,True,False,True,False,False,False
41,[ 90  91 271],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 90  91 271],[ 90  91 271],[ 90  91 271],161,False,True,True,True,True,True,True,True,True,False,False,False
