,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match
0,142,29,142,269,231,29,29,29,142,142,142,142,174,False,False,False,False,False,False,False,False,False,False,False,False
1,192,203,192,192,165,203,203,203,192,192,192,192,68,False,False,False,False,False,False,False,False,False,False,False,False
2,191,258,191,7,57,258,258,258,191,191,191,191,17,False,False,False,False,False,False,False,False,False,False,False,False
3,220,77,220,220,199,77,77,77,220,220,220,220,110,False,False,False,False,False,False,False,False,False,False,False,False
4,10,10,10,10,185,10,10,10,10,10,10,10,29,False,False,False,False,False,False,False,False,False,False,False,False
5,10,10,10,10,10,10,10,10,10,10,10,10,160,False,False,False,False,False,False,False,False,False,False,False,False
6,248,30,248,248,42,248,30,30,248,248,248,248,33,False,False,False,False,False,False,False,False,False,False,False,False
7,30,30,30,30,54,30,30,30,30,30,30,30,205,False,False,False,False,False,False,False,False,False,False,False,False
8,269,29,269,269,161,269,29,29,269,269,269,269,29,False,True,False,False,False,False,True,True,False,False,False,False
9,202,202,202,221,221,221,202,202,202,202,202,202,202,True,True,True,False,False,False,True,True,True,True,True,True
10,57,57,57,198,198,57,57,57,57,57,57,57,198,False,False,False,True,True,False,False,False,False,False,False,False
11,164,164,164,164,164,164,164,164,164,164,164,164,199,False,False,False,False,False,False,False,False,False,False,False,False
12,30,30,30,30,30,30,30,30,30,30,30,30,161,False,False,False,False,False,False,False,False,False,False,False,False
13,30,30,30,30,30,30,30,30,30,30,30,30,30,True,True,True,True,True,True,True,True,True,True,True,True
14,85,80,85,85,208,85,80,80,85,85,85,85,80,False,True,False,False,False,False,True,True,False,False,False,False
15,107,17,107,107,122,107,107,17,107,107,107,107,234,False,False,False,False,False,False,False,False,False,False,False,False
16,4,4,4,56,176,4,4,4,4,4,4,4,176,False,False,False,False,True,False,False,False,False,False,False,False
17,187,62,187,84,215,187,187,62,187,187,187,187,68,False,False,False,False,False,False,False,False,False,False,False,False
18,6,6,6,168,232,6,6,6,6,6,6,6,94,False,False,False,False,False,False,False,False,False,False,False,False
19,247,2,247,247,46,247,247,2,247,247,247,247,120,False,False,False,False,False,False,False,False,False,False,False,False
20,220,1,220,220,23,220,220,1,220,220,220,220,157,False,False,False,False,False,False,False,False,False,False,False,False
21,28,28,28,28,119,28,28,28,28,28,28,28,119,False,False,False,False,True,False,False,False,False,False,False,False
22,1,1,1,1,228,1,1,1,1,1,1,1,228,False,False,False,False,True,False,False,False,False,False,False,False
23,24,24,24,24,24,24,24,24,24,24,24,24,222,False,False,False,False,False,False,False,False,False,False,False,False
24,42,44,42,42,42,42,42,44,42,42,42,42,32,False,False,False,False,False,False,False,False,False,False,False,False
25,84,84,84,84,206,84,84,84,84,84,84,84,206,False,False,False,False,True,False,False,False,False,False,False,False
26,57,57,57,57,259,57,57,57,57,57,57,57,259,False,False,False,False,True,False,False,False,False,False,False,False
27,247,247,247,247,247,247,247,247,247,247,247,247,247,True,True,True,True,True,True,True,True,True,True,True,True
28,4,0,4,95,244,4,4,0,4,4,4,4,96,False,False,False,False,False,False,False,False,False,False,False,False
29,18,0,18,231,61,18,18,0,18,18,18,18,61,False,False,False,False,True,False,False,False,False,False,False,False
30,105,7,167,103,98,105,167,167,167,105,105,105,98,False,False,False,False,True,False,False,False,False,False,False,False
31,214,54,214,221,242,221,214,214,214,214,214,214,155,False,False,False,False,False,False,False,False,False,False,False,False
32,248,4,248,221,4,248,248,248,248,248,248,248,77,False,False,False,False,False,False,False,False,False,False,False,False
