,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
0,[231 142 174],[174 142 161],[231 142 174],[142 269 231],[271  91 231],[174 142 161],[174 142 161],[174 142 161],[231 142 174],[231 142 174],[231 142 174],[231 142 174],174,True,True,True,False,False,True,True,True,True,True,True,True
1,[203 243 192],[221 203 165],[202 243 192],[221 269 192],[271  91 165],[221 203 165],[221 203 165],[221 203 165],[202 243 192],[269 243 192],[203 243 192],[269 243 192],68,False,False,False,False,False,False,False,False,False,False,False,False
2,[105 258 191],[105  57 258],[258 105 191],[ 57 198   7],[ 91 271  57],[105  57 258],[105  57 258],[105  57 258],[258 105 191],[105 258 191],[105 258 191],[105 258 191],17,False,False,False,False,False,False,False,False,False,False,False,False
3,[110 173 220],[164  77 220],[110 173 220],[164  77 220],[271  91 199],[164  77 220],[164  77 220],[164  77 220],[110 173 220],[110 173 220],[110 173 220],[110 173 220],110,True,False,True,False,False,False,False,False,True,True,True,True
4,[167  30  10],[206  29 161],[167  30  10],[206  30  10],[ 90  91 185],[206  29 161],[206  29 161],[206  29 161],[167  30  10],[29 30 10],[29 30 10],[29 30 10],29,False,True,False,False,False,True,True,True,False,True,True,True
5,[195  10  30],[188  77 154],[195  10  30],[195  10  30],[ 91 271  10],[ 30  10 195],[188  77 154],[188  77 154],[195  10  30],[195  10  30],[195  10  30],[195  10  30],160,False,False,False,False,False,False,False,False,False,False,False,False
6,[ 30  33 248],[ 30 229 253],[ 30  33 248],[ 42  30 248],[92 87 42],[ 30  33 248],[ 30 229 253],[ 30 229 253],[ 30  33 248],[ 30  33 248],[ 30  33 248],[ 30  33 248],33,True,False,True,False,False,True,False,False,True,True,True,True
7,[205  57  30],[229  57 124],[205  57  30],[ 57 205  30],[ 90 271  54],[205  57  30],[229  57 124],[229  57 124],[205  57  30],[205  57  30],[205  57  30],[205  57  30],205,True,False,True,True,False,True,False,False,True,True,True,True
8,[161  29 269],[129  29 161],[161  29 269],[236  29 269],[ 92  87 161],[161  29 269],[129  29 161],[129  29 161],[161  29 269],[161  29 269],[161  29 269],[161  29 269],29,True,True,True,True,False,True,True,True,True,True,True,True
9,[208 221 202],[221 208 202],[208 221 202],[202 208 221],[ 89  90 221],[208 202 221],[221 208 202],[221 208 202],[208 221 202],[208 221 202],[208 221 202],[208 221 202],202,True,True,True,True,False,True,True,True,True,True,True,True
10,[129 198  57],[ 57 129 198],[129 198  57],[129  57 198],[ 91  92 198],[129 198  57],[ 57 129 198],[ 57 129 198],[129 198  57],[129 198  57],[129 198  57],[129 198  57],198,True,True,True,True,True,True,True,True,True,True,True,True
11,[259 199 164],[199 259 164],[259 199 164],[199 259 164],[ 91  92 164],[259 199 164],[199 259 164],[199 259 164],[259 199 164],[259 199 164],[259 199 164],[259 199 164],199,True,True,True,True,False,True,True,True,True,True,True,True
12,[ 93 161  30],[ 93  30 161],[ 93 161  30],[ 93 161  30],[92 91 30],[ 93 161  30],[ 93  30 161],[ 93  30 161],[ 93 161  30],[ 93 161  30],[ 93 161  30],[ 93 161  30],161,True,True,True,True,False,True,True,True,True,True,True,True
13,[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],30,True,True,True,True,True,True,True,True,True,True,True,True
14,[ 1 80 85],[262  75  80],[ 1 80 85],[262   1  85],[271  90 208],[ 1 80 85],[262  75  80],[262  75  80],[ 1 80 85],[ 1 80 85],[ 1 80 85],[ 1 80 85],80,True,True,True,False,False,True,True,True,True,True,True,True
15,[234 256 107],[ 24  89 107],[195 234 107],[ 24 269 107],[ 89 271 122],[195  24 107],[234 256 107],[ 24  89 107],[234 195 107],[234 256 107],[234 256 107],[234 256 107],234,True,False,True,False,False,False,True,False,True,True,True,True
16,[86 56  4],[ 44  86 176],[86 56  4],[42 56  4],[271  92 176],[86 56  4],[86 56  4],[ 44  86 176],[86 56  4],[86 56  4],[86 56  4],[86 56  4],176,False,True,False,False,True,False,False,True,False,False,False,False
17,[119  84 187],[119  84  77],[119  84 187],[ 77 187  84],[271  90 215],[206  84 187],[119  84 187],[119  84  77],[119  84 187],[119  84 187],[119  84 187],[119  84 187],68,False,False,False,False,False,False,False,False,False,False,False,False
18,[ 57 232   6],[  6 122  75],[ 57 232   6],[ 57 168 206],[ 90  91 232],[ 57 232   6],[ 57 232   6],[  6 122  75],[ 57 232   6],[ 57 232   6],[ 57 232   6],[ 57 232   6],94,False,False,False,False,False,False,False,False,False,False,False,False
19,[ 91 247 224],[229 247  91],[ 91 247 224],[103 247 224],[90 91 46],[ 91 247 224],[ 91 247 224],[229 247  91],[ 91 247 224],[ 91 247 224],[ 91 247 224],[ 91 247 224],120,False,False,False,False,False,False,False,False,False,False,False,False
20,[253   1 220],[220   1 253],[253   1 220],[253   1 220],[ 91 271  23],[253   1 220],[253   1 220],[220   1 253],[253   1 220],[253   1 220],[253   1 220],[253   1 220],157,False,False,False,False,False,False,False,False,False,False,False,False
21,[200 253  28],[ 28  77 253],[200 253  28],[ 77 253  28],[ 89  90 119],[200 253  28],[200 253  28],[ 28  77 253],[200 253  28],[200 253  28],[200 253  28],[200 253  28],119,False,False,False,False,True,False,False,False,False,False,False,False
22,[208 262   1],[ 75 208   1],[208 262   1],[208 262   1],[ 90  91 228],[208 262   1],[208 262   1],[ 75 208   1],[208 262   1],[208 262   1],[208 262   1],[208 262   1],228,False,False,False,False,True,False,False,False,False,False,False,False
23,[ 89 253  24],[ 89  24 253],[ 89 253  24],[222 253  24],[91 92 24],[ 89 253  24],[ 89 253  24],[ 89  24 253],[ 89 253  24],[ 89 253  24],[ 89 253  24],[ 89 253  24],222,False,False,False,True,False,False,False,False,False,False,False,False
24,[32 44 42],[32 42 44],[32 44 42],[ 44 236  42],[92 87 42],[32 44 42],[32 44 42],[32 42 44],[32 44 42],[32 44 42],[32 44 42],[32 44 42],32,True,True,True,False,False,True,True,True,True,True,True,True
25,[215 206  84],[215 206  84],[215 206  84],[215 206  84],[ 91 206 271],[215 206  84],[215 206  84],[215 206  84],[215 206  84],[215 206  84],[215 206  84],[215 206  84],206,True,True,True,True,True,True,True,True,True,True,True,True
26,[271 259  57],[271 259  57],[271 259  57],[271 259  57],[271  90 259],[271 259  57],[271 259  57],[271 259  57],[271 259  57],[271 259  57],[271 259  57],[271 259  57],259,True,True,True,True,True,True,True,True,True,True,True,True
27,[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],247,True,True,True,True,True,True,True,True,True,True,True,True
28,[170  95   4],[181 208   0],[96 95  4],[  4 212  95],[271  92 244],[96 95  4],[96 95  4],[181 208   0],[96 95  4],[170  95   4],[170  95   4],[170  95   4],96,False,False,True,False,False,True,True,False,True,False,False,False
29,[105  18 231],[231 198 271],[105  18 231],[198  18 231],[271  92  61],[105  18 231],[232  18 231],[231 198 271],[105  18 231],[105  18 231],[105  18 231],[105  18 231],61,False,False,False,False,True,False,False,False,False,False,False,False
30,[  7 167 105],[103   7  98],[  7 105 167],[164   7 103],[91 90 98],[  7 167 105],[  7 167 105],[  7 105 167],[  7 105 167],[  7 167 105],[  7 167 105],[  7 167 105],98,False,True,False,False,True,False,False,False,False,False,False,False
31,[ 57 221 214],[206 221  57],[ 57 221 214],[206 214 221],[271  91 242],[ 57 214 221],[ 57 221 214],[ 57 221 214],[ 57 221 214],[ 57 221 214],[ 57 221 214],[ 57 221 214],155,False,False,False,False,False,False,False,False,False,False,False,False
