,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_21_linear_match,hard_agent_21_log10_match,hard_agent_21_ln_match
0,45,142,45,269,269,142,142,142,45,45,45,45,174,False,False,False,False,False,False,False,False,False,False,False,False
1,269,203,269,269,68,203,203,203,269,269,269,269,68,False,False,False,False,True,False,False,False,False,False,False,False
2,198,7,198,129,158,7,7,7,198,198,198,198,17,False,False,False,False,False,False,False,False,False,False,False,False
3,220,119,220,119,259,119,119,119,220,220,220,220,110,False,False,False,False,False,False,False,False,False,False,False,False
4,10,30,10,167,185,30,30,30,10,10,10,10,29,False,False,False,False,False,False,False,False,False,False,False,False
5,10,188,10,92,188,10,188,188,10,10,10,10,160,False,False,False,False,False,False,False,False,False,False,False,False
6,248,33,248,248,208,248,33,33,248,248,248,248,33,False,True,False,False,False,False,True,True,False,False,False,False
7,124,124,124,124,163,124,124,124,124,124,124,124,205,False,False,False,False,False,False,False,False,False,False,False,False
8,269,269,269,269,228,269,269,269,269,269,269,269,29,False,False,False,False,False,False,False,False,False,False,False,False
9,202,208,202,202,236,202,208,208,202,202,202,202,202,True,False,True,True,False,True,False,False,True,True,True,True
10,198,57,198,129,199,198,57,57,198,198,198,198,198,True,False,True,False,False,True,False,False,True,True,True,True
11,259,164,259,164,259,259,164,164,259,259,259,259,199,False,False,False,False,False,False,False,False,False,False,False,False
12,30,30,30,30,30,30,30,30,30,30,30,30,161,False,False,False,False,False,False,False,False,False,False,False,False
13,30,30,30,30,30,30,30,30,30,30,30,30,30,True,True,True,True,True,True,True,True,True,True,True,True
14,15,262,15,80,188,15,262,262,15,15,15,15,80,False,False,False,True,False,False,False,False,False,False,False,False
15,269,89,269,269,107,269,269,89,269,269,269,269,234,False,False,False,False,False,False,False,False,False,False,False,False
16,89,89,89,89,92,89,89,89,89,89,89,89,176,False,False,False,False,False,False,False,False,False,False,False,False
17,84,187,84,84,68,84,84,187,84,84,84,84,68,False,False,False,False,True,False,False,False,False,False,False,False
18,94,94,94,94,6,94,94,94,94,94,94,94,94,True,True,True,True,False,True,True,True,True,True,True,True
19,229,247,229,120,224,229,229,247,229,229,229,229,120,False,False,False,True,False,False,False,False,False,False,False,False
20,220,52,220,220,157,220,220,52,220,220,220,220,157,False,False,False,False,True,False,False,False,False,False,False,False
21,156,28,156,119,119,156,156,28,156,156,156,156,119,False,False,False,True,True,False,False,False,False,False,False,False
22,262,262,262,262,1,262,262,262,262,262,262,262,228,False,False,False,False,False,False,False,False,False,False,False,False
23,89,89,89,89,24,89,89,89,89,89,89,89,222,False,False,False,False,False,False,False,False,False,False,False,False
24,42,42,42,42,44,42,42,42,42,42,42,42,32,False,False,False,False,False,False,False,False,False,False,False,False
25,84,215,84,84,206,84,84,215,84,84,84,84,206,False,False,False,False,True,False,False,False,False,False,False,False
26,57,57,57,57,57,57,57,57,57,57,57,57,259,False,False,False,False,False,False,False,False,False,False,False,False
27,247,247,247,247,247,247,247,247,247,247,247,247,247,True,True,True,True,True,True,True,True,True,True,True,True
28,95,0,95,95,208,95,95,0,95,95,95,95,96,False,False,False,False,False,False,False,False,False,False,False,False
29,0,0,0,0,271,0,0,0,0,0,0,0,61,False,False,False,False,False,False,False,False,False,False,False,False
30,123,7,123,119,119,123,123,123,123,123,123,123,98,False,False,False,False,False,False,False,False,False,False,False,False
31,215,215,215,155,62,215,215,215,215,215,215,215,155,False,False,False,True,False,False,False,False,False,False,False,False
32,248,215,248,248,221,248,248,248,248,248,248,248,77,False,False,False,False,False,False,False,False,False,False,False,False
33,89,89,89,119,215,89,262,262,89,89,89,89,119,False,False,False,True,False,False,False,False,False,False,False,False
34,95,215,95,95,244,95,95,95,95,95,95,95,244,False,False,False,False,True,False,False,False,False,False,False,False
35,260,260,260,260,42,260,260,260,260,260,260,260,120,False,False,False,False,False,False,False,False,False,False,False,False
36,95,95,95,95,208,95,95,95,95,95,95,95,143,False,False,False,False,False,False,False,False,False,False,False,False
37,94,94,94,94,259,94,94,94,94,94,94,94,94,True,True,True,True,False,True,True,True,True,True,True,True
38,259,119,259,119,119,259,259,259,259,259,259,259,119,False,True,False,True,True,False,False,False,False,False,False,False
39,215,215,215,215,57,215,215,215,215,215,215,215,57,False,False,False,False,True,False,False,False,False,False,False,False
40,215,215,215,215,92,215,215,215,215,215,215,215,92,False,False,False,False,True,False,False,False,False,False,False,False
41,161,161,161,161,161,161,161,161,161,161,161,161,161,True,True,True,True,True,True,True,True,True,True,True,True
0,84,215,84,84,17,215,215,215,84,84,84,84,177,False,False,False,False,False,False,False,False,False,False,False,False
1,84,203,84,84,98,203,203,203,84,84,84,84,177,False,False,False,False,False,False,False,False,False,False,False,False
2,95,142,95,95,95,142,142,142,95,95,95,95,241,False,False,False,False,False,False,False,False,False,False,False,False
3,31,31,31,31,253,31,31,31,31,31,31,31,118,False,False,False,False,False,False,False,False,False,False,False,False
4,57,153,57,92,92,153,153,153,57,57,57,57,153,False,True,False,False,False,True,True,True,False,False,False,False
5,6,195,6,6,149,6,195,195,6,6,6,6,110,False,False,False,False,False,False,False,False,False,False,False,False
