,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
0,[129 269  45],[269 177 142],[129 269  45],[142  45 269],[ 91  90 269],[269 177 142],[269 177 142],[269 177 142],[129 269  45],[129 269  45],[129 269  45],[129 269  45],174,False,False,False,False,False,False,False,False,False,False,False,False
1,[143 202 269],[269 192 203],[143 202 269],[202 192 269],[90 91 68],[269 192 203],[269 192 203],[269 192 203],[143 202 269],[143 202 269],[143 202 269],[143 202 269],68,False,False,False,False,True,False,False,False,False,False,False,False
2,[129  57 198],[ 57 258   7],[ 57 129 198],[198 167 129],[271  91 158],[ 57 258   7],[ 57 258   7],[ 57 258   7],[ 57 129 198],[129  57 198],[129  57 198],[129  57 198],17,False,False,False,False,False,False,False,False,False,False,False,False
3,[164 259 220],[173 119 220],[164 259 220],[164 119 220],[271  90 259],[173 119 220],[173 119 220],[173 119 220],[164 259 220],[164 259 220],[164 259 220],[164 259 220],110,False,False,False,False,False,False,False,False,False,False,False,False
4,[ 30 259  10],[206  30 161],[185 259  10],[185  10 167],[ 90  91 185],[206  30 161],[206  30 161],[206  30 161],[185 259  10],[ 30 259  10],[ 30 259  10],[ 30 259  10],29,False,False,False,False,False,False,False,False,False,False,False,False
5,[188  10  92],[160  30 188],[188  10  92],[154  10  92],[ 90  91 188],[188  10  92],[160  30 188],[160  30 188],[188  10  92],[188  10  92],[188  10  92],[188  10  92],160,False,True,False,False,False,False,True,True,False,False,False,False
6,[208 229 248],[ 30  33 248],[208 229 248],[ 42 248 244],[271  90 208],[229 208 248],[ 30  33 248],[ 30  33 248],[208 229 248],[208 229 248],[208 229 248],[208 229 248],33,False,True,False,False,False,False,True,True,False,False,False,False
7,[229  57 124],[ 54  57 124],[229  57 124],[229  57 124],[271  92 163],[229  57 124],[ 54  57 124],[ 54  57 124],[229  57 124],[229  57 124],[229  57 124],[229  57 124],205,False,False,False,False,False,False,False,False,False,False,False,False
8,[161 129 269],[129 161 269],[161 129 269],[228 129 269],[ 90  91 228],[161 129 269],[129 161 269],[129 161 269],[161 129 269],[161 129 269],[161 129 269],[161 129 269],29,False,False,False,False,False,False,False,False,False,False,False,False
9,[208 143 202],[221 208 202],[208 143 202],[221 143 202],[ 90  91 236],[143 208 202],[221 208 202],[221 208 202],[208 143 202],[208 143 202],[208 143 202],[208 143 202],202,True,True,True,True,False,True,True,True,True,True,True,True
