,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_21_linear_match,hard_agent_21_log10_match,hard_agent_21_ln_match
0,174,142,174,142,129,142,142,142,174,174,174,174,174,True,False,True,False,False,False,False,False,True,True,True,True
1,203,203,203,192,269,203,203,203,192,203,203,203,68,False,False,False,False,False,False,False,False,False,False,False,False
2,258,7,198,167,129,7,7,7,167,258,258,258,17,False,False,False,False,False,False,False,False,False,False,False,False
3,220,119,119,119,110,119,119,119,119,220,220,220,110,False,False,False,False,True,False,False,False,False,False,False,False
4,10,30,20,167,10,30,30,30,20,10,10,10,29,False,False,False,False,False,False,False,False,False,False,False,False
5,10,188,188,160,10,10,188,188,188,10,10,10,160,False,False,False,True,False,False,False,False,False,False,False,False
6,248,33,248,244,33,208,33,33,248,248,248,248,33,False,True,False,False,True,False,True,True,False,False,False,False
7,124,124,205,229,229,124,124,124,205,124,124,124,205,False,False,True,False,False,False,False,False,True,False,False,False
8,269,269,269,228,161,269,269,269,269,269,269,269,29,False,False,False,False,False,False,False,False,False,False,False,False
9,202,208,202,143,143,202,208,208,202,202,202,202,202,True,False,True,False,False,True,False,False,True,True,True,True
10,57,57,57,199,199,198,57,57,57,57,57,57,198,False,False,False,False,False,True,False,False,False,False,False,False
11,259,259,259,199,164,164,259,259,259,259,259,259,199,False,False,False,True,False,False,False,False,False,False,False,False
12,161,30,161,0,30,161,30,30,161,161,161,161,161,True,False,True,False,False,True,False,False,True,True,True,True
13,30,30,30,30,30,30,30,30,30,30,30,30,30,True,True,True,True,True,True,True,True,True,True,True,True
14,80,15,80,80,228,208,15,15,80,80,80,80,80,True,False,True,True,False,False,False,False,True,True,True,True
15,24,24,24,94,22,269,89,24,24,24,24,24,234,False,False,False,False,False,False,False,False,False,False,False,False
16,97,56,97,86,97,97,89,56,97,97,97,97,176,False,False,False,False,False,False,False,False,False,False,False,False
17,119,187,119,119,62,215,84,187,119,119,119,119,68,False,False,False,False,False,False,False,False,False,False,False,False
18,232,232,232,94,232,57,6,232,232,232,232,232,94,False,False,False,True,False,False,False,False,False,False,False,False
19,247,247,247,120,229,247,229,247,247,247,247,247,120,False,False,False,True,False,False,False,False,False,False,False,False
20,220,52,52,1,157,220,253,52,52,220,220,220,157,False,False,False,False,True,False,False,False,False,False,False,False
21,119,28,119,119,253,156,28,28,119,119,119,119,119,True,False,True,True,False,False,False,False,True,True,True,True
22,208,208,1,1,199,208,208,208,1,208,208,208,228,False,False,False,False,False,False,False,False,False,False,False,False
23,24,24,24,24,253,24,89,24,24,24,24,24,222,False,False,False,False,False,False,False,False,False,False,False,False
24,236,236,236,32,32,236,236,236,236,236,236,236,32,False,False,False,True,True,False,False,False,False,False,False,False
25,215,215,215,206,215,215,84,215,215,215,215,215,206,False,False,False,True,False,False,False,False,False,False,False,False
26,57,57,57,259,57,57,259,57,57,57,57,57,259,False,False,False,True,False,False,True,False,False,False,False,False
27,247,247,247,247,247,247,247,247,247,247,247,247,247,True,True,True,True,True,True,True,True,True,True,True,True
28,95,0,95,96,96,260,95,0,95,95,95,95,96,False,False,False,True,True,False,False,False,False,False,False,False
29,18,0,18,94,0,198,0,0,18,18,18,18,61,False,False,False,False,False,False,False,False,False,False,False,False
30,119,7,119,119,46,164,259,259,119,119,119,119,98,False,False,False,False,False,False,False,False,False,False,False,False
31,215,215,206,228,57,215,62,62,215,215,215,215,155,False,False,False,False,False,False,False,False,False,False,False,False
32,248,215,248,244,92,215,248,248,248,248,248,248,77,False,False,False,False,False,False,False,False,False,False,False,False
33,119,215,119,119,119,215,89,89,215,119,119,119,119,True,False,True,True,True,False,False,False,False,True,True,True
34,95,215,95,244,215,215,95,95,95,95,95,95,244,False,False,False,True,False,False,False,False,False,False,False,False
35,260,260,260,120,120,260,260,260,260,260,260,260,120,False,False,False,True,True,False,False,False,False,False,False,False
36,95,95,95,244,140,260,95,95,95,95,95,95,143,False,False,False,False,False,False,False,False,False,False,False,False
37,232,232,232,94,271,198,259,259,232,232,232,232,94,False,False,False,True,False,False,False,False,False,False,False,False
38,119,119,119,119,119,164,259,259,119,119,119,119,119,True,True,True,True,True,False,False,False,True,True,True,True
39,215,215,215,0,57,215,215,215,215,215,215,215,57,False,False,False,False,True,False,False,False,False,False,False,False
40,215,215,215,92,215,215,92,92,215,215,215,215,92,False,False,False,True,False,False,True,True,False,False,False,False
41,161,161,161,161,161,161,161,161,161,161,161,161,161,True,True,True,True,True,True,True,True,True,True,True,True
