,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match
0,177,45,177,142,269,45,45,45,177,177,177,177,174,False,False,False,False,False,False,False,False,False,False,False,False
1,17,17,17,192,202,17,17,17,17,17,17,17,68,False,False,False,False,False,False,False,False,False,False,False,False
2,17,2,17,167,129,2,2,2,17,17,17,17,17,True,False,True,False,False,False,False,False,True,True,True,True
3,242,173,242,119,164,173,173,173,242,242,242,242,110,False,False,False,False,False,False,False,False,False,False,False,False
4,20,20,20,167,185,20,20,20,20,20,20,20,29,False,False,False,False,False,False,False,False,False,False,False,False
5,160,160,160,154,199,160,160,160,160,160,160,160,160,True,True,True,False,False,True,True,True,True,True,True,True
6,248,229,248,244,30,248,229,229,248,248,248,248,33,False,False,False,False,False,False,False,False,False,False,False,False
7,124,229,124,229,54,124,229,229,124,124,124,124,205,False,False,False,False,False,False,False,False,False,False,False,False
8,269,129,269,129,228,269,129,129,269,269,269,269,29,False,False,False,False,False,False,False,False,False,False,False,False
9,143,143,143,143,208,143,143,143,143,143,143,143,202,False,False,False,False,False,False,False,False,False,False,False,False
10,129,129,129,129,198,129,129,129,129,129,129,129,198,False,False,False,False,True,False,False,False,False,False,False,False
11,259,259,259,259,259,259,259,259,259,259,259,259,199,False,False,False,False,False,False,False,False,False,False,False,False
12,161,161,161,30,161,161,161,161,161,161,161,161,161,True,True,True,False,True,True,True,True,True,True,True,True
13,30,30,30,30,30,30,30,30,30,30,30,30,30,True,True,True,True,True,True,True,True,True,True,True,True
14,15,1,15,80,32,15,1,1,15,15,15,15,80,False,False,False,True,False,False,False,False,False,False,False,False
