,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
0,[269 177 174],[177  45 174],[269 177 174],[177 142 174],[ 91  90 269],[177  45 174],[177  45 174],[177  45 174],[269 177 174],[269 177 174],[269 177 174],[269 177 174],174,True,True,True,True,False,True,True,True,True,True,True,True
1,[ 68 192 269],[ 68 269 192],[ 68 192 269],[203  68 192],[271  91 165],[ 68 269 192],[ 68 269 192],[ 68 269 192],[ 68 192 269],[ 68 192 269],[ 68 192 269],[ 68 192 269],68,True,True,True,True,False,True,True,True,True,True,True,True
2,[191 105   7],[191 105   7],[191 105   7],[ 17 105 167],[ 91 271  57],[191 105   7],[191 105   7],[191 105   7],[191 105   7],[191 105   7],[191 105   7],[191 105   7],17,False,False,False,True,False,False,False,False,False,False,False,False
3,[110 119 220],[110 220 119],[110 119 220],[242 110 119],[ 89  90 220],[110 220 119],[110 220 119],[110 220 119],[110 119 220],[110 119 220],[110 119 220],[110 119 220],110,True,True,True,True,False,True,True,True,True,True,True,True
4,[167  10  20],[ 10 167  20],[167  10  20],[149  20 167],[ 91 206 271],[ 10 167  20],[ 10 167  20],[ 10 167  20],[167  10  20],[167  10  20],[167  10  20],[167  10  20],29,False,False,False,False,False,False,False,False,False,False,False,False
5,[ 92 188 160],[188 154 160],[ 92 188 160],[ 92 188 160],[ 91 271  10],[ 92 188 160],[188 154 160],[188 154 160],[ 92 188 160],[ 92 188 160],[ 92 188 160],[ 92 188 160],160,True,True,True,True,False,True,True,True,True,True,True,True
6,[248 253  33],[253  33 248],[248 253  33],[253  33  42],[ 90  91 253],[248  33 253],[253  33 248],[253  33 248],[248 253  33],[248 253  33],[248 253  33],[248 253  33],33,True,True,True,True,False,True,True,True,True,True,True,True
7,[205 229 124],[205 229 124],[205 229 124],[124 205 229],[ 90 271  54],[205 229 124],[205 229 124],[205 229 124],[205 229 124],[205 229 124],[205 229 124],[205 229 124],205,True,True,True,True,False,True,True,True,True,True,True,True
8,[129 236 269],[236 129 269],[129 236 269],[ 29 228 129],[ 92  87 161],[129 236 269],[236 129 269],[236 129 269],[129 236 269],[129 236 269],[129 236 269],[129 236 269],29,False,False,False,True,False,False,False,False,False,False,False,False
9,[236 221 202],[202 221 236],[236 221 202],[236 143 202],[ 90  91 202],[236 221 202],[202 221 236],[202 221 236],[236 221 202],[236 221 202],[236 221 202],[236 221 202],202,True,True,True,True,True,True,True,True,True,True,True,True
10,[ 57 129 198],[ 57 129 198],[ 57 129 198],[198 129 199],[271  91 199],[ 57 129 198],[ 57 129 198],[ 57 129 198],[ 57 129 198],[ 57 129 198],[ 57 129 198],[ 57 129 198],198,True,True,True,True,False,True,True,True,True,True,True,True
11,[199 164 259],[199 164 259],[199 164 259],[164 199 259],[271  90 259],[199 164 259],[199 164 259],[199 164 259],[199 164 259],[199 164 259],[199 164 259],[199 164 259],199,True,True,True,True,False,True,True,True,True,True,True,True
12,[ 93  30 161],[ 93  30 161],[ 93  30 161],[ 93  30 161],[92 91 30],[ 93  30 161],[ 93  30 161],[ 93  30 161],[ 93  30 161],[ 93  30 161],[ 93  30 161],[ 93  30 161],161,True,True,True,True,False,True,True,True,True,True,True,True
13,[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],30,True,True,True,True,True,True,True,True,True,True,True,True
14,[80 85 15],[80 15 85],[80 85 15],[ 1 15 80],[90 91  1],[80 85 15],[80 15 85],[80 15 85],[80 85 15],[80 85 15],[80 85 15],[80 85 15],80,True,True,True,True,False,True,True,True,True,True,True,True
15,[269 234  94],[269 234 256],[269 234  94],[ 89 234  94],[ 90  91 256],[269 234  94],[ 89 234 256],[269 234 256],[269 234  94],[269 234  94],[269 234  94],[269 234  94],234,True,True,True,True,False,True,True,True,True,True,True,True
16,[ 97  89 176],[ 97  89 176],[ 97  89 176],[ 42  89 176],[271  90  97],[ 97  89 176],[ 56 176  89],[ 97  89 176],[ 97  89 176],[ 97  89 176],[ 97  89 176],[ 97  89 176],176,True,True,True,True,False,True,True,True,True,True,True,True
17,[187 119  68],[119 154  68],[154 119  68],[157 119  68],[ 89  90 119],[187 119  68],[154 119  68],[119 154  68],[187 119  68],[187 119  68],[187 119  68],[187 119  68],68,True,True,True,True,False,True,True,True,True,True,True,True
