,id,t1_sum,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match,t3_sum,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
0,aea51b3b64294e07bd00c6f5d1c82991,30,19,13,17,20,10,17,8,12,18,19,19,19,39,30,28,32,32,10,32,24,30,32,30,30,30
1,d4acd0639a54445f803c015e1f7fa55b,25,15,12,15,7,12,14,11,11,15,14,14,14,37,33,30,31,28,12,32,27,30,31,33,33,33
2,d5b64aba6893447b987b29ac081e970d,23,17,3,16,5,11,14,12,7,17,17,17,17,37,31,20,31,11,11,31,32,27,31,31,31,31
3,40f1b91abc764b9eaf423b871ae47a10,31,17,19,17,20,11,14,16,20,17,16,17,17,40,32,33,32,35,12,26,30,31,32,32,32,32
4,eb91bb001aec49caacee7ef7d6c6c2a1,29,15,13,15,9,12,17,16,16,15,15,15,15,39,36,30,35,22,12,37,35,33,35,36,36,36
5,42eb2bfe54504f9e9ab962eb7218f64e,27,18,15,18,18,10,16,19,17,18,18,18,18,41,37,29,36,31,10,32,37,33,36,37,37,37
6,4ba3fa7f94564e9faf55b445558e8040,32,21,16,20,12,14,17,21,16,20,21,21,21,41,34,33,36,26,15,34,34,31,36,34,34,34
7,2f742c47d16741cf97b5a520f9650211,30,11,12,14,6,13,15,11,12,14,11,11,11,40,29,26,31,16,13,27,24,25,31,29,29,29
8,5d8cdae6df1441e89e606420770a16c1,21,17,9,16,7,7,12,12,11,16,17,17,17,35,30,24,30,12,8,29,26,23,30,30,30,30
9,60c0129463c344e98aaccd384dea701e,33,21,10,22,11,10,19,19,15,20,21,21,21,40,31,27,31,16,10,26,30,29,31,31,31,31
10,720c180d3ae344369ecdce7146716e84,34,22,20,21,9,13,22,13,20,21,22,22,22,40,30,37,30,29,13,34,32,35,30,30,30,30
11,15ae0d9539654893a86fa9654c698cc0,26,16,9,14,16,11,14,10,13,15,16,16,16,37,33,19,28,24,12,27,26,24,28,33,33,33
12,166f728b971d498e990b743fdcf071dc,31,22,13,21,18,10,20,18,16,21,22,22,22,38,36,25,37,27,10,33,32,29,37,36,36,36
13,c63cee1f7a7943ae9023dc7a3d65bb42,24,21,7,21,8,8,18,15,11,21,21,21,21,38,37,18,35,17,9,34,30,24,35,37,37,37
14,ddf0296ad9664afebbe1a5ea45d442a1,30,20,19,21,22,10,16,15,19,21,20,20,20,42,38,31,37,38,10,32,28,32,36,38,38,38
15,4646d5091426436d81159130217f1958,25,14,13,14,8,11,13,12,13,14,14,14,14,39,33,31,32,27,11,31,34,33,33,33,33,33
16,a3c9fbfcc0824a9d8f7019e04e044a33,28,21,11,21,7,8,19,20,17,21,21,21,21,37,35,26,34,20,9,33,30,29,34,35,35,35
17,eb9156f0bd354bdfa695f84ad8d97c2e,29,16,11,15,16,11,14,16,12,16,16,16,16,42,30,29,31,23,11,30,32,29,30,30,30,30
18,347a57446bc64d729d8da7db7bc7e68a,31,17,13,16,7,14,17,17,18,17,17,17,17,41,34,31,32,17,14,37,33,31,32,34,34,34
19,5a0a6c173b5d455d9122c056720f07cb,31,21,15,21,18,14,19,17,17,21,21,21,21,40,29,28,28,30,14,31,27,29,28,29,29,29
