,id,t1_sum,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match,t3_sum,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
0,aea51b3b64294e07bd00c6f5d1c82991,26,20,14,18,20,7,20,10,14,18,20,20,20,37,31,27,31,31,7,31,29,28,31,30,30,30
1,d4acd0639a54445f803c015e1f7fa55b,28,16,13,15,7,12,15,12,13,15,16,16,16,39,32,28,30,27,13,30,25,29,30,32,32,32
2,d5b64aba6893447b987b29ac081e970d,27,19,5,20,5,10,17,17,10,21,19,19,19,40,35,20,34,10,10,34,31,27,35,35,35,35
3,40f1b91abc764b9eaf423b871ae47a10,33,26,24,26,26,7,19,21,24,26,26,26,26,40,34,32,36,37,8,30,32,31,36,34,34,34
4,eb91bb001aec49caacee7ef7d6c6c2a1,28,17,12,15,8,9,18,16,16,15,17,17,17,38,36,29,36,21,9,34,33,32,36,36,36,36
5,42eb2bfe54504f9e9ab962eb7218f64e,26,19,15,17,17,8,16,18,16,18,19,19,19,40,36,29,34,32,8,30,35,32,34,36,36,36
6,4ba3fa7f94564e9faf55b445558e8040,32,21,16,21,9,13,18,20,16,21,21,21,21,39,32,31,32,24,13,32,33,30,32,32,32,32
7,2f742c47d16741cf97b5a520f9650211,26,9,11,12,5,8,14,9,11,14,9,9,9,35,27,24,29,14,8,29,24,23,29,27,27,27
8,5d8cdae6df1441e89e606420770a16c1,27,22,11,21,7,9,19,16,14,21,22,22,22,38,29,23,30,11,9,28,24,22,30,29,29,29
9,60c0129463c344e98aaccd384dea701e,33,20,11,22,10,8,18,19,16,20,20,20,20,40,29,27,29,16,8,24,29,28,29,29,29,29
10,720c180d3ae344369ecdce7146716e84,30,22,18,21,9,12,11,12,21,21,22,22,22,38,27,33,27,27,13,30,29,31,27,27,27,27
11,15ae0d9539654893a86fa9654c698cc0,23,15,8,13,14,9,14,8,12,14,15,15,15,34,30,17,26,20,10,24,23,24,26,30,30,30
12,166f728b971d498e990b743fdcf071dc,31,24,13,23,17,12,22,20,16,23,24,24,24,37,35,25,35,27,12,32,31,28,35,35,35,35
13,c63cee1f7a7943ae9023dc7a3d65bb42,23,19,7,19,6,9,15,14,12,19,19,19,19,34,33,15,32,13,12,30,25,21,32,33,33,33
14,ddf0296ad9664afebbe1a5ea45d442a1,30,21,21,23,22,9,17,17,21,23,21,21,21,41,37,30,36,37,9,32,27,31,36,37,37,37
15,4646d5091426436d81159130217f1958,24,15,14,15,6,11,16,15,16,15,15,15,15,37,34,31,34,26,11,30,32,33,34,34,34,34
