,id,t1_sum,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match,t3_sum,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
0,aea51b3b64294e07bd00c6f5d1c82991,31,19,7,17,19,12,18,8,9,18,19,19,19,37,32,24,32,34,12,32,27,25,32,32,32,32
1,d4acd0639a54445f803c015e1f7fa55b,22,16,10,15,8,9,16,14,13,15,16,16,16,38,33,21,31,23,9,33,26,25,32,33,33,33
2,d5b64aba6893447b987b29ac081e970d,28,16,8,17,6,8,15,12,11,17,16,16,16,37,32,20,32,16,8,29,29,23,31,32,32,32
3,40f1b91abc764b9eaf423b871ae47a10,30,26,11,26,23,11,20,17,15,26,26,26,26,39,34,29,35,35,12,30,29,30,36,34,34,34
4,eb91bb001aec49caacee7ef7d6c6c2a1,21,12,9,12,9,10,12,11,10,12,12,12,12,38,34,20,33,21,10,32,30,27,34,34,34,34
5,42eb2bfe54504f9e9ab962eb7218f64e,29,22,14,22,19,7,18,15,14,21,22,22,22,39,36,29,35,32,7,31,32,31,34,36,36,36
6,4ba3fa7f94564e9faf55b445558e8040,28,19,10,19,10,10,21,17,10,19,19,19,19,37,31,27,32,23,11,30,31,28,32,31,31,31
7,2f742c47d16741cf97b5a520f9650211,22,10,10,13,5,8,13,6,8,13,10,10,10,37,29,23,29,16,9,28,22,23,30,29,29,29
8,5d8cdae6df1441e89e606420770a16c1,25,20,6,20,6,8,18,13,8,20,20,20,20,37,30,24,30,16,9,26,24,22,30,30,30,30
9,60c0129463c344e98aaccd384dea701e,26,16,7,17,10,9,12,15,12,17,16,16,16,36,30,27,30,20,9,25,26,27,29,30,30,30
10,720c180d3ae344369ecdce7146716e84,24,20,6,19,7,6,8,8,10,19,20,20,20,36,30,27,30,24,7,24,29,29,30,30,30,30
11,15ae0d9539654893a86fa9654c698cc0,24,15,9,13,13,9,14,5,11,13,15,15,15,36,30,18,27,24,10,24,21,22,27,30,30,30
12,166f728b971d498e990b743fdcf071dc,30,22,12,21,19,11,18,18,16,21,22,22,22,36,35,24,34,29,11,32,31,26,34,35,35,35
13,c63cee1f7a7943ae9023dc7a3d65bb42,26,19,9,19,10,11,17,15,16,19,19,19,19,35,32,16,31,16,12,31,26,22,31,32,32,32
14,ddf0296ad9664afebbe1a5ea45d442a1,31,21,9,21,21,14,21,12,12,22,21,21,21,41,37,27,38,38,14,34,27,31,37,37,37,37
15,4646d5091426436d81159130217f1958,32,22,14,19,10,10,18,20,19,19,22,22,22,37,34,24,32,27,10,31,32,29,33,34,34,34
16,a3c9fbfcc0824a9d8f7019e04e044a33,26,19,10,18,7,9,17,14,11,18,18,18,18,33,33,24,31,17,9,32,29,26,32,33,33,33
17,eb9156f0bd354bdfa695f84ad8d97c2e,30,21,11,18,14,11,16,15,12,19,21,21,21,39,29,26,29,26,11,32,32,28,30,29,29,29
18,347a57446bc64d729d8da7db7bc7e68a,28,16,9,19,7,8,16,15,10,19,16,16,16,37,34,26,33,19,8,31,32,29,32,34,34,34
19,5a0a6c173b5d455d9122c056720f07cb,29,16,12,16,15,12,16,13,14,16,16,16,16,36,28,26,27,32,12,28,23,29,28,28,28,28
20,40a7600df224431e9fd071c4658b909c,25,15,15,15,6,10,9,15,15,14,15,15,15,36,28,30,28,16,11,24,26,30,28,28,28,28
21,af2df0a264e54acbb38551acbefc72ed,30,20,12,17,8,11,14,14,15,18,20,20,20,39,32,24,32,16,11,28,28,27,32,32,32,32
22,ac056d1c17bb42dfbc70552d220b12cc,31,23,15,23,5,9,27,24,18,23,23,23,23,39,36,27,35,23,9,35,31,29,35,36,36,36
23,1d4d2163bf9b4e17953acc73ce485996,31,19,10,18,12,7,15,16,14,20,19,19,19,38,34,27,35,29,9,27,33,27,35,34,34,34
24,49fd1bce6ecc4bc6a2d86718c95b10ea,26,16,14,15,11,7,16,16,15,15,16,16,16,39,32,30,31,28,7,27,29,30,31,32,32,32
25,d03800b35afb46d9a40fb3f1524c5b53,34,24,9,24,17,10,11,20,15,24,24,24,24,42,37,26,38,31,10,28,37,30,38,37,37,37
26,adb6ed53516c49f6afa97b9e273d27a6,28,15,17,17,8,10,13,12,16,17,15,15,15,37,30,32,31,16,10,29,25,32,31,30,30,30
27,1aad4a6c0f494adfbcfeab1a33a5332e,23,18,7,19,9,11,17,15,10,19,18,18,18,40,37,24,36,24,11,36,26,26,37,37,37,37
28,ab7e1fea6b7d40d780a4f7a4e192495c,31,25,14,25,23,7,14,22,17,25,25,25,25,39,34,27,34,32,7,21,31,28,34,34,34,34
29,1cf676f39baf4b72920bb7116c1871db,29,19,12,19,4,7,18,15,17,19,20,20,20,38,34,25,35,19,8,36,28,30,34,34,34,34
30,476066ca638a4296b60c856b5c3b6442,29,19,11,19,16,8,16,17,14,19,19,19,19,38,37,29,37,25,8,33,32,30,37,36,36,36
31,6f952873d4804cf58deddd1bd18f37df,28,23,8,22,18,12,7,14,11,22,23,23,23,37,33,20,32,31,13,21,30,24,31,32,32,32
32,c1b96117a34243ab87d1caf4df3ee6b9,34,19,15,19,26,10,20,18,15,18,19,19,19,38,32,25,31,33,10,31,29,25,31,32,32,32
33,5e6986b8c60040d581b9d09603f53623,31,19,9,21,16,9,18,18,13,21,19,19,19,37,32,21,32,24,9,32,29,23,32,32,32,32
