,id,t1_sum,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match,t3_sum,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
0,aea51b3b64294e07bd00c6f5d1c82991,28,18,8,16,17,12,17,7,8,17,18,18,18,38,32,24,33,34,12,34,27,26,33,32,32,32
1,d4acd0639a54445f803c015e1f7fa55b,22,13,12,14,9,12,14,13,13,14,13,13,13,41,35,20,33,22,12,32,23,24,33,35,35,35
2,d5b64aba6893447b987b29ac081e970d,21,14,7,14,5,9,13,9,8,15,14,14,14,36,32,18,32,14,9,28,27,21,32,32,32,32
3,40f1b91abc764b9eaf423b871ae47a10,27,16,11,17,17,7,13,13,14,17,16,16,16,38,32,28,33,35,9,29,29,29,32,32,32,32
4,eb91bb001aec49caacee7ef7d6c6c2a1,19,13,10,14,10,8,13,12,11,14,13,13,13,38,34,21,34,19,8,33,31,27,35,34,34,34
5,42eb2bfe54504f9e9ab962eb7218f64e,28,20,14,20,19,11,15,16,14,20,20,20,20,40,35,29,34,30,11,32,33,31,34,35,35,35
6,4ba3fa7f94564e9faf55b445558e8040,33,19,10,18,14,10,23,15,10,19,19,19,19,40,32,30,33,25,11,35,33,30,33,32,32,32
7,2f742c47d16741cf97b5a520f9650211,25,11,13,12,5,9,15,10,10,12,11,11,11,38,28,21,30,16,9,26,20,19,30,28,28,28
8,5d8cdae6df1441e89e606420770a16c1,23,17,7,17,5,11,15,12,9,17,17,17,17,37,30,25,31,17,13,28,26,23,31,30,30,30
9,60c0129463c344e98aaccd384dea701e,27,17,6,18,10,11,13,15,11,18,17,17,17,36,30,24,30,21,11,25,26,25,30,30,30,30
