,id,t1_sum,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_21_linear_match,hard_agent_21_log10_match,hard_agent_21_ln_match,t3_sum,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
0,aea51b3b64294e07bd00c6f5d1c82991,27,11,7,11,18,10,5,15,5,12,11,11,11,39,27,24,22,30,10,22,25,22,23,27,27,27
1,d4acd0639a54445f803c015e1f7fa55b,22,11,11,8,8,5,13,9,10,8,11,11,11,37,24,19,22,20,5,29,23,18,20,24,24,24
2,d5b64aba6893447b987b29ac081e970d,18,6,8,7,6,10,6,4,6,7,6,6,6,27,18,18,15,9,10,12,14,15,17,18,18,18
3,40f1b91abc764b9eaf423b871ae47a10,33,19,11,11,24,9,24,12,13,12,19,19,19,39,30,29,29,35,9,32,25,28,28,30,30,30
4,eb91bb001aec49caacee7ef7d6c6c2a1,21,9,9,9,9,8,13,7,8,8,9,9,9,39,24,21,23,19,8,32,19,19,25,24,24,24
5,42eb2bfe54504f9e9ab962eb7218f64e,31,18,13,19,18,12,17,8,17,18,18,18,18,38,26,24,26,29,12,29,26,26,26,26,26,26
6,4ba3fa7f94564e9faf55b445558e8040,27,14,10,13,10,12,13,15,8,13,14,14,14,36,28,28,25,24,13,25,28,26,25,28,28,28
7,2f742c47d16741cf97b5a520f9650211,30,12,12,10,5,12,9,15,11,14,12,12,12,34,22,21,25,14,12,23,22,23,25,22,22,22
8,5d8cdae6df1441e89e606420770a16c1,25,15,6,10,5,12,7,6,8,10,15,15,15,36,25,24,24,14,13,23,22,25,23,25,25,25
9,60c0129463c344e98aaccd384dea701e,21,11,6,6,10,9,6,6,6,7,11,11,11,31,23,24,17,14,9,18,22,22,16,23,23,23
10,720c180d3ae344369ecdce7146716e84,23,12,7,12,7,8,7,7,5,12,12,12,12,32,29,23,23,20,10,19,21,20,20,29,29,29
11,15ae0d9539654893a86fa9654c698cc0,20,8,9,7,13,9,6,5,10,7,8,8,8,31,20,19,18,21,9,13,12,18,19,20,20,20
12,166f728b971d498e990b743fdcf071dc,31,15,12,12,17,9,19,9,10,12,15,15,15,37,27,22,23,28,9,31,20,19,23,27,27,27
13,c63cee1f7a7943ae9023dc7a3d65bb42,21,8,8,8,8,11,15,7,8,8,8,8,8,31,19,17,18,14,11,22,15,16,17,19,19,19
14,ddf0296ad9664afebbe1a5ea45d442a1,32,20,9,16,21,11,21,13,9,16,20,20,20,42,30,25,27,38,11,35,27,27,28,30,30,30
15,4646d5091426436d81159130217f1958,29,14,15,11,10,16,12,15,16,11,14,14,14,37,29,22,30,25,16,30,30,27,29,29,29,29
16,a3c9fbfcc0824a9d8f7019e04e044a33,26,9,9,11,6,7,6,13,7,13,9,9,9,32,24,21,21,13,7,18,24,18,23,24,24,24
17,eb9156f0bd354bdfa695f84ad8d97c2e,27,11,11,11,14,12,13,9,10,13,11,11,11,40,23,25,21,23,12,24,28,23,23,23,23,23
18,347a57446bc64d729d8da7db7bc7e68a,33,18,9,17,7,15,17,12,9,16,18,18,18,38,31,27,29,15,15,31,26,25,29,31,31,31
19,5a0a6c173b5d455d9122c056720f07cb,24,12,12,12,13,6,11,10,10,11,12,12,12,39,24,25,24,29,6,25,22,24,24,24,24,24
20,40a7600df224431e9fd071c4658b909c,22,14,14,12,4,8,9,13,13,11,14,14,14,32,26,29,21,6,8,19,26,26,21,26,26,26
21,af2df0a264e54acbb38551acbefc72ed,21,10,11,10,8,9,11,10,10,10,10,10,10,32,22,27,20,15,9,22,20,26,20,22,22,22
22,ac056d1c17bb42dfbc70552d220b12cc,31,25,16,18,4,8,25,22,19,19,25,25,25,39,35,29,28,25,8,33,31,32,28,35,35,35
23,1d4d2163bf9b4e17953acc73ce485996,27,14,9,11,10,10,3,7,8,10,14,14,14,37,31,26,31,27,10,15,28,26,29,31,31,31
24,49fd1bce6ecc4bc6a2d86718c95b10ea,30,14,12,14,11,9,15,12,14,11,14,14,14,37,26,24,25,27,9,26,25,23,23,26,26,26
25,d03800b35afb46d9a40fb3f1524c5b53,34,16,10,11,14,11,8,11,15,10,16,16,16,41,34,27,27,28,11,22,32,30,28,34,34,34
26,adb6ed53516c49f6afa97b9e273d27a6,27,11,17,12,7,10,7,7,13,11,11,11,11,39,28,34,27,14,10,28,29,30,27,28,28,28
27,1aad4a6c0f494adfbcfeab1a33a5332e,24,17,7,11,8,7,7,7,7,10,17,17,17,37,32,23,30,21,7,22,22,22,29,32,32,32
28,ab7e1fea6b7d40d780a4f7a4e192495c,31,17,14,14,22,10,16,16,13,12,17,17,17,36,27,27,22,26,10,27,29,25,19,27,27,27
29,1cf676f39baf4b72920bb7116c1871db,32,12,12,7,4,15,18,9,13,8,12,12,12,37,26,25,21,15,16,29,27,22,23,26,26,26
30,476066ca638a4296b60c856b5c3b6442,24,8,11,6,15,10,13,7,7,5,8,8,8,36,24,24,24,18,10,21,21,21,24,24,24,24
31,6f952873d4804cf58deddd1bd18f37df,28,12,8,13,19,11,6,9,11,13,12,12,12,38,23,21,19,31,12,20,27,25,20,23,23,23
32,c1b96117a34243ab87d1caf4df3ee6b9,31,13,13,9,20,9,12,13,18,10,13,13,13,36,24,25,23,28,9,27,27,26,23,24,24,24
33,5e6986b8c60040d581b9d09603f53623,29,11,9,10,16,14,17,10,10,11,11,11,11,35,26,21,22,23,14,26,19,20,24,26,26,26
34,ba1021f3bf334bfeb93e60b320819a24,32,11,8,11,20,14,4,7,7,11,11,11,11,40,26,24,22,30,15,23,21,23,20,26,26,26
35,fee0d75f83794d6383798110a64f7764,27,11,8,13,7,12,14,10,9,11,11,11,11,34,21,22,24,14,13,25,20,20,23,21,21,21
36,673aafa20cbf4183806ee724605957c3,16,8,6,9,5,7,5,5,7,9,8,8,8,32,22,20,23,9,7,18,18,22,22,22,22,22
37,cad618c98fda480ba06d51ebbcce6770,29,14,12,15,6,8,7,15,13,14,14,14,14,36,26,26,27,16,8,17,25,25,26,26,26,26
38,b269b8d85ee740ed9d4974d059ebf00f,30,17,11,13,11,8,16,15,13,13,17,17,17,35,25,26,27,24,10,24,25,26,27,25,25,25
39,3cee0085f10d4161990d5d79b2452ac3,23,11,8,12,3,10,11,9,9,12,11,11,11,31,22,20,22,10,10,20,18,19,23,22,22,22
