,id,t1_sum,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match,t3_sum,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
0,aea51b3b64294e07bd00c6f5d1c82991,30,17,13,17,10,12,16,15,12,16,17,17,17,38,28,21,27,11,12,25,23,21,26,28,28,28
1,d4acd0639a54445f803c015e1f7fa55b,26,11,17,10,3,10,14,13,14,10,11,11,11,38,27,29,28,3,10,29,26,29,28,27,27,27
2,d5b64aba6893447b987b29ac081e970d,26,10,11,10,6,11,13,11,11,10,10,10,10,37,22,24,21,8,11,26,23,23,21,23,23,23
3,40f1b91abc764b9eaf423b871ae47a10,31,14,14,16,10,8,18,13,12,16,14,14,14,39,29,24,27,12,10,30,30,27,27,29,29,29
4,eb91bb001aec49caacee7ef7d6c6c2a1,24,14,12,14,6,9,9,16,12,14,14,14,14,34,26,23,26,8,9,24,24,24,26,26,26,26
5,42eb2bfe54504f9e9ab962eb7218f64e,28,13,14,11,12,9,8,14,14,11,14,13,14,38,28,28,29,12,9,20,31,32,29,29,29,29
6,4ba3fa7f94564e9faf55b445558e8040,25,13,14,12,5,7,14,12,12,12,13,13,13,35,26,27,26,6,7,28,30,27,26,26,26,26
7,2f742c47d16741cf97b5a520f9650211,24,13,15,13,7,8,13,13,14,13,13,13,13,30,20,21,19,9,8,24,22,20,19,20,20,20
8,5d8cdae6df1441e89e606420770a16c1,22,8,14,8,12,12,6,7,9,8,8,8,8,29,13,21,13,13,12,15,17,18,13,13,13,13
9,60c0129463c344e98aaccd384dea701e,29,9,18,9,13,10,5,9,15,9,9,9,9,38,17,32,18,16,10,13,22,25,17,18,18,18
10,720c180d3ae344369ecdce7146716e84,33,19,16,21,5,11,21,27,20,21,19,19,19,41,31,31,30,6,13,28,36,33,30,30,30,30
11,15ae0d9539654893a86fa9654c698cc0,27,9,10,9,7,11,12,11,11,9,10,10,10,32,19,17,19,13,12,20,22,20,19,19,19,19
12,166f728b971d498e990b743fdcf071dc,31,16,13,15,10,16,20,13,16,15,16,16,16,38,32,28,29,12,16,33,27,30,29,33,33,33
13,c63cee1f7a7943ae9023dc7a3d65bb42,26,17,8,18,6,12,17,12,13,18,17,17,17,35,28,16,28,6,13,27,24,22,29,28,28,28
14,ddf0296ad9664afebbe1a5ea45d442a1,25,11,11,10,10,7,10,11,11,10,13,13,13,36,29,21,27,12,7,26,25,23,27,29,29,29
15,4646d5091426436d81159130217f1958,29,17,11,14,7,11,12,13,12,14,17,17,17,38,27,24,27,9,11,27,25,25,27,27,27,27
16,a3c9fbfcc0824a9d8f7019e04e044a33,14,7,10,7,8,8,5,7,8,7,7,7,7,28,15,16,14,10,9,9,14,14,15,15,15,15
17,eb9156f0bd354bdfa695f84ad8d97c2e,25,14,12,14,5,12,16,15,16,14,14,14,14,38,26,25,26,5,12,30,29,28,26,27,26,27
