,id,t1_sum,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match,t3_sum,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
0,aea51b3b64294e07bd00c6f5d1c82991,33,11,13,8,13,14,11,12,9,7,11,11,11,35,18,21,13,13,14,20,20,19,11,19,19,19
1,d4acd0639a54445f803c015e1f7fa55b,28,18,16,19,15,12,17,20,16,19,18,18,18,37,30,28,30,23,12,29,29,29,30,29,29,29
2,d5b64aba6893447b987b29ac081e970d,22,14,13,11,10,8,13,14,12,11,15,14,14,33,27,26,21,14,8,24,26,26,20,27,27,27
3,40f1b91abc764b9eaf423b871ae47a10,26,17,14,18,17,10,14,12,15,16,17,17,17,35,24,26,25,19,12,24,22,25,24,24,24,24
4,eb91bb001aec49caacee7ef7d6c6c2a1,29,16,12,11,11,13,11,15,17,10,17,16,17,39,28,22,21,25,13,17,24,25,20,28,28,28
5,42eb2bfe54504f9e9ab962eb7218f64e,27,21,13,16,16,10,13,16,15,14,21,21,21,35,26,27,23,19,10,23,27,27,20,27,27,27
6,4ba3fa7f94564e9faf55b445558e8040,28,12,13,14,11,9,12,14,11,15,12,12,12,37,19,25,23,17,10,20,20,22,23,19,18,19
7,2f742c47d16741cf97b5a520f9650211,25,19,14,12,5,7,16,16,16,12,19,19,19,33,25,19,18,8,7,17,22,23,19,25,25,25
8,5d8cdae6df1441e89e606420770a16c1,30,14,13,11,6,13,6,16,13,11,15,15,15,40,27,21,17,7,14,16,31,26,16,28,27,28
9,60c0129463c344e98aaccd384dea701e,28,18,19,16,9,7,18,17,16,16,19,19,19,37,29,32,22,10,7,23,29,29,24,29,29,29
10,720c180d3ae344369ecdce7146716e84,29,15,13,15,10,13,13,16,14,15,15,15,15,38,25,29,23,18,14,23,28,27,23,25,25,25
11,15ae0d9539654893a86fa9654c698cc0,23,5,8,8,7,9,12,7,6,8,6,6,6,31,17,15,9,7,10,20,18,16,9,17,17,17
12,166f728b971d498e990b743fdcf071dc,25,17,13,18,15,11,14,12,15,17,17,17,17,37,26,27,21,22,11,23,26,27,20,26,26,26
13,c63cee1f7a7943ae9023dc7a3d65bb42,22,12,8,10,5,12,8,12,12,10,12,12,12,31,20,16,15,5,13,14,20,20,16,20,20,20
14,ddf0296ad9664afebbe1a5ea45d442a1,31,13,13,10,13,10,10,16,10,10,14,15,15,39,30,21,15,16,10,20,29,23,17,31,31,31
15,4646d5091426436d81159130217f1958,26,11,12,9,6,8,15,11,10,9,10,10,10,34,19,26,19,12,8,18,22,24,19,19,19,19
16,a3c9fbfcc0824a9d8f7019e04e044a33,23,13,7,5,6,10,6,9,10,5,12,12,12,33,21,16,13,8,10,10,18,20,11,20,20,20
17,eb9156f0bd354bdfa695f84ad8d97c2e,27,18,14,17,11,11,17,17,16,17,18,18,18,35,26,27,25,18,11,25,24,24,25,26,26,26
18,347a57446bc64d729d8da7db7bc7e68a,26,18,14,18,15,11,16,15,16,18,18,18,18,33,23,25,20,23,11,22,23,26,21,23,23,23
19,5a0a6c173b5d455d9122c056720f07cb,24,8,12,8,12,10,11,9,10,9,8,8,8,35,20,19,20,15,10,21,21,18,22,20,20,20
20,40a7600df224431e9fd071c4658b909c,29,13,14,10,8,10,12,16,11,11,12,13,12,38,24,27,18,12,10,24,25,24,19,25,25,25
21,af2df0a264e54acbb38551acbefc72ed,30,14,12,11,6,12,7,12,12,11,13,14,13,41,27,23,19,7,12,18,22,25,19,27,27,27
22,ac056d1c17bb42dfbc70552d220b12cc,25,16,14,14,9,9,14,16,15,14,16,16,16,31,23,26,17,15,9,21,26,25,16,23,23,23
