,id,t1_sum,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match,t3_sum,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
0,aea51b3b64294e07bd00c6f5d1c82991,16,8,9,9,7,11,7,8,8,9,8,8,8,30,22,22,22,18,11,20,19,20,22,21,22,22
1,d4acd0639a54445f803c015e1f7fa55b,29,18,11,17,13,14,16,15,11,17,18,18,18,37,31,26,33,23,14,30,30,28,31,31,31,31
2,d5b64aba6893447b987b29ac081e970d,25,11,8,11,16,12,8,10,9,11,11,11,11,36,28,21,28,30,12,25,23,23,28,28,28,28
3,40f1b91abc764b9eaf423b871ae47a10,16,8,10,7,10,6,7,7,8,7,8,8,8,37,26,24,26,28,7,25,26,26,26,26,26,26
4,eb91bb001aec49caacee7ef7d6c6c2a1,19,9,9,10,11,7,11,9,7,9,9,9,9,35,28,22,27,23,7,27,27,26,27,28,28,28
5,42eb2bfe54504f9e9ab962eb7218f64e,24,11,14,11,8,11,10,10,11,11,11,11,11,33,20,27,20,25,11,22,23,25,20,20,20,20
6,4ba3fa7f94564e9faf55b445558e8040,26,10,8,11,11,17,12,11,9,11,10,10,10,35,25,24,25,25,17,26,29,25,25,25,25,25
7,2f742c47d16741cf97b5a520f9650211,18,9,8,9,6,10,9,6,9,9,9,9,9,28,18,20,18,17,10,18,17,18,18,17,17,17
8,5d8cdae6df1441e89e606420770a16c1,27,12,9,13,14,13,14,13,9,13,12,12,12,35,24,24,24,27,14,25,26,22,24,24,24,24
9,60c0129463c344e98aaccd384dea701e,24,12,8,12,17,11,11,9,11,12,12,12,12,36,28,24,26,29,11,25,24,25,26,27,27,27
10,720c180d3ae344369ecdce7146716e84,18,11,5,12,11,6,11,9,7,12,11,11,11,32,28,22,28,23,9,28,27,24,28,28,28,28
11,15ae0d9539654893a86fa9654c698cc0,18,9,11,9,11,8,7,9,10,9,9,9,9,30,23,22,21,21,8,22,23,23,21,23,23,23
12,166f728b971d498e990b743fdcf071dc,26,14,14,14,15,6,14,15,16,13,14,14,14,36,27,26,29,27,6,29,28,26,29,27,27,27
13,c63cee1f7a7943ae9023dc7a3d65bb42,17,11,6,11,7,10,8,8,6,11,11,11,11,29,20,18,20,24,11,21,19,17,20,20,20,20
14,ddf0296ad9664afebbe1a5ea45d442a1,19,12,10,12,15,8,12,12,10,12,12,12,12,31,22,25,21,25,8,24,24,24,21,22,22,22
15,4646d5091426436d81159130217f1958,24,17,13,18,10,9,16,16,13,18,17,17,17,36,26,20,25,26,9,23,23,19,25,26,26,26
16,a3c9fbfcc0824a9d8f7019e04e044a33,23,6,13,6,5,12,8,8,10,6,5,5,5,30,16,17,15,18,13,16,18,18,15,16,16,16
17,eb9156f0bd354bdfa695f84ad8d97c2e,20,12,10,12,12,11,11,8,10,12,12,12,12,36,27,22,29,25,11,26,24,25,29,27,27,27
18,347a57446bc64d729d8da7db7bc7e68a,26,19,13,17,16,9,17,16,15,17,19,19,19,35,30,25,29,22,10,29,29,27,29,30,30,30
19,5a0a6c173b5d455d9122c056720f07cb,24,8,12,8,11,12,7,8,11,8,8,8,8,34,24,23,24,23,12,25,24,23,24,24,24,24
20,40a7600df224431e9fd071c4658b909c,27,13,15,14,11,8,17,16,15,14,13,13,13,35,27,24,27,25,8,28,25,24,28,27,27,27
21,af2df0a264e54acbb38551acbefc72ed,25,10,11,11,17,9,13,11,13,11,10,10,10,31,20,22,21,22,10,22,23,22,21,20,20,20
22,ac056d1c17bb42dfbc70552d220b12cc,22,11,16,10,9,7,10,11,15,10,11,11,11,33,22,25,22,24,7,20,19,24,22,22,22,22
23,1d4d2163bf9b4e17953acc73ce485996,22,10,12,12,10,9,9,11,10,11,11,10,10,37,32,26,29,27,10,31,30,27,29,32,32,32
24,49fd1bce6ecc4bc6a2d86718c95b10ea,24,14,17,14,15,10,14,14,13,14,14,14,14,34,26,27,26,26,10,29,31,26,26,26,26,26
25,d03800b35afb46d9a40fb3f1524c5b53,27,16,9,15,12,12,17,14,13,15,16,16,16,38,29,21,29,25,12,29,29,24,29,29,29,29
26,adb6ed53516c49f6afa97b9e273d27a6,24,8,13,8,13,8,7,11,14,8,8,8,8,29,20,21,20,23,8,19,21,22,20,20,20,20
27,1aad4a6c0f494adfbcfeab1a33a5332e,21,14,11,14,9,6,16,13,10,14,14,14,14,33,26,19,25,20,7,24,22,16,25,26,26,26
28,ab7e1fea6b7d40d780a4f7a4e192495c,27,11,13,12,11,13,11,12,13,12,11,11,11,38,24,27,23,21,13,22,24,26,23,24,24,24
29,1cf676f39baf4b72920bb7116c1871db,26,9,11,10,12,12,10,10,12,10,9,9,9,38,26,20,26,23,12,23,22,22,26,26,26,26
30,476066ca638a4296b60c856b5c3b6442,24,15,15,15,11,8,14,15,16,15,15,15,15,36,28,26,28,26,8,27,29,26,29,28,28,28
31,6f952873d4804cf58deddd1bd18f37df,24,11,13,12,6,12,10,12,13,12,11,11,11,33,21,22,21,21,12,18,23,23,21,21,21,21
32,c1b96117a34243ab87d1caf4df3ee6b9,23,9,10,10,10,13,8,10,11,10,9,9,9,37,25,23,25,24,13,25,22,23,25,25,25,25
33,5e6986b8c60040d581b9d09603f53623,20,6,9,6,9,12,7,6,7,6,6,6,6,30,19,18,19,22,12,19,18,17,19,19,19,19
34,ba1021f3bf334bfeb93e60b320819a24,25,13,8,12,12,10,12,12,10,12,13,13,13,35,25,23,25,22,11,27,26,26,26,25,25,25
35,fee0d75f83794d6383798110a64f7764,19,10,9,10,10,8,7,7,8,10,9,10,9,32,22,25,22,19,8,19,22,23,22,22,22,22
36,673aafa20cbf4183806ee724605957c3,26,11,10,12,15,11,12,10,7,11,11,11,11,37,27,26,28,28,11,27,27,25,28,27,27,27
37,cad618c98fda480ba06d51ebbcce6770,22,8,12,8,10,9,8,10,11,8,8,8,8,34,24,25,23,24,9,24,24,23,22,24,24,24
38,b269b8d85ee740ed9d4974d059ebf00f,20,8,11,7,5,9,9,9,11,7,8,8,8,31,21,22,21,20,13,22,23,23,21,22,22,22
39,3cee0085f10d4161990d5d79b2452ac3,21,9,10,9,11,9,9,9,10,9,9,9,9,33,21,21,21,24,9,20,18,19,21,21,21,21
40,1e1560bf3241464aaa1131736f4fe141,28,14,13,12,16,8,13,14,11,12,14,14,14,37,27,22,26,31,8,27,27,22,26,28,27,27
41,c95f0320507e4905abc268571409ae40,27,14,10,15,12,10,15,13,13,15,14,14,14,37,27,22,27,26,10,28,26,26,27,27,27,27
42,327481965f0b4056bc1b3414484726b3,18,11,9,12,11,7,9,9,9,12,11,11,11,36,23,27,23,25,7,25,23,23,23,23,23,23
43,cf1b6ded54834ac2ba23a390cec38104,23,13,15,13,10,9,13,15,17,12,13,13,13,33,24,22,24,23,9,23,21,23,24,23,24,23
44,e0242bfd5aad459e997e8af1d05dba4d,23,12,9,13,9,10,11,10,7,13,12,12,12,35,25,20,26,20,11,25,24,22,26,25,25,25
45,00250a4028184369b1e36c609e6a33d2,25,18,9,17,11,8,17,16,11,17,18,18,18,39,28,23,30,27,9,24,23,23,30,28,28,28
46,ace85dddb7684bf3b3175c95e3da221b,25,12,8,13,16,8,10,8,10,12,12,12,12,36,26,27,25,27,10,26,26,28,26,26,26,26
47,eb8276be1b684bc182fa25ca9d9a308c,18,10,10,10,14,6,9,8,8,10,10,10,10,37,24,29,25,26,6,24,25,28,25,24,24,24
48,a1fade3eaab140ffaa00c9a4efc929f9,21,10,13,9,9,12,11,8,8,9,9,9,9,34,26,25,26,23,12,24,24,24,26,26,26,26
49,4c20b40883674ff5aa1d510927669033,27,15,10,17,11,11,15,13,9,16,15,15,15,36,30,23,30,26,11,28,28,23,30,30,30,30
50,c86e74bb29a746c5bb7c2e7508efb130,16,8,5,7,9,11,8,8,6,7,8,8,8,32,21,21,21,19,11,21,21,21,21,21,21,21
51,23d813a19df54aae92a97abbe0c11dfb,21,11,7,11,12,10,12,10,6,10,11,11,11,33,27,19,27,26,10,25,22,18,26,27,27,27
52,d1a30e4545c14fce8138ca875ccf4215,17,11,10,11,6,8,10,10,10,11,11,11,11,27,19,22,19,21,9,19,18,20,19,19,19,19
53,c41f46c29d6f4f1f9b60c37ffeaf7364,26,15,15,15,15,8,15,13,12,15,15,15,15,38,29,27,27,26,11,29,28,26,27,29,29,29
54,d063b7827a4d4faa8dd63c3862234a46,19,10,7,10,7,13,8,9,9,10,10,10,10,33,21,25,22,18,14,22,24,25,22,21,21,21
55,4a75e913e4fd4f7d86863dbbdd29c4df,24,14,11,14,14,8,17,13,12,14,14,14,14,30,24,21,24,25,9,25,23,23,24,24,24,24
56,fa45e2f1d8f04a8abe643bac5becdff4,19,10,8,10,9,10,9,8,7,10,10,10,10,34,24,23,23,22,14,21,20,23,23,24,24,24
57,d70a72ef31764c958a89efdba495e27f,20,10,10,11,12,11,10,10,10,11,10,10,10,32,24,21,24,21,12,24,21,22,24,24,24,24
58,671c867ca5294ce793ae0f910fe7359c,22,8,9,8,10,10,9,9,7,8,8,8,8,37,26,21,25,23,10,26,25,21,25,26,26,26
59,57ae31c408d540f7ac1441261c913369,23,12,12,12,13,11,13,11,13,13,12,12,12,33,24,24,24,24,11,23,21,23,24,24,24,24
60,1bb0ede01e914558bb92e22c32332c81,19,7,8,7,7,9,7,7,7,7,7,7,7,29,24,20,24,20,9,21,21,22,24,24,24,24
61,30461d73323942e09e6e1d55a53e83bc,23,14,10,14,12,8,13,12,13,14,14,14,14,33,23,24,24,22,9,21,22,25,24,23,23,23
62,88aa98c617cb40b9a2e3f9f9aaa2bcf1,23,8,9,8,8,9,10,11,13,8,8,8,8,36,23,24,22,17,9,26,21,24,22,23,23,23
63,5e65a3fee5f641e6b177ab86d6507eed,23,11,6,11,6,14,7,11,8,11,11,11,11,34,25,20,25,20,14,26,24,22,25,25,25,25
64,53ac4161794d4c8f91f56f297c347de2,21,11,14,11,7,9,12,12,12,11,10,10,10,31,23,21,23,22,9,25,22,21,23,24,24,24
65,577f061b67894e63b57d5c64c10b579f,31,19,14,18,17,15,19,18,14,18,19,19,19,38,34,25,34,29,15,31,30,28,34,34,34,34
66,09a8fd08446d46618d512ab6ae646fd4,22,11,13,12,7,11,12,13,14,12,11,11,11,33,24,21,24,28,11,23,23,23,24,24,24,24
67,bed1917e46074540b220d49a50863447,29,14,12,14,10,14,14,11,11,14,14,14,14,37,25,23,26,22,14,23,24,23,26,25,25,25
68,90a3ef044c6e4df190f196498a3dc435,17,8,8,8,12,7,8,8,7,8,8,8,8,32,26,19,26,22,8,26,23,19,26,26,26,26
69,228ef41998394128b656dc3062600b2f,22,11,12,10,14,11,12,12,14,10,11,11,11,35,26,27,26,25,11,25,27,26,26,26,26,26
70,ab272202d4234ce1b03bdd8dc13065da,22,7,9,8,11,7,7,6,7,8,7,7,7,34,31,25,31,23,7,24,26,24,31,31,31,31
71,ff9cecdd40884dbda402a08c3c588a28,25,17,13,17,12,8,15,14,15,17,17,17,17,35,29,20,29,27,8,29,26,22,29,29,29,29
72,c27caefbc69d494eab26b71f1d4d8a25,21,12,12,12,12,8,12,12,12,12,12,12,12,33,25,22,24,24,9,24,22,21,24,25,25,25
73,cc9b1bfcf23d47268e62aa2aa611c23d,28,10,16,11,11,10,11,11,14,11,10,10,10,38,28,24,27,29,10,26,25,22,27,27,27,27
74,b17e380ca4bf4a99a834edb38ef3ed53,24,9,9,9,13,13,8,8,9,9,9,9,9,32,24,20,25,25,13,25,24,18,25,24,24,24
75,b99189eb0e79459695b2fb8299cf1e97,21,9,10,8,10,8,9,11,11,8,8,8,8,33,23,25,24,25,8,24,25,26,24,23,23,23
76,d5dd168b556449e3916e503e8cdb3a03,25,17,13,17,12,7,17,19,15,17,17,17,17,34,27,26,26,26,7,28,26,26,26,27,27,27
77,937df90fc12d4c6e8d5ec802a5ce6f52,25,13,8,13,10,12,12,12,12,13,13,13,13,36,28,21,28,26,12,28,27,26,29,28,28,28
78,e7fa7e2c27b54904a1547a4e53cb73d0,22,12,7,11,10,10,10,10,7,11,12,12,12,38,26,25,27,26,12,24,25,26,27,26,26,26
79,6cf9282b8ed045e1b653fdd069380ed1,26,10,8,10,15,13,8,6,8,10,10,10,10,40,28,21,31,29,14,26,26,23,31,28,28,28
80,a4bae2f50f94409eb1a216b577b404b8,27,12,12,12,17,11,11,14,12,12,12,12,12,38,29,24,29,28,12,25,27,27,28,28,28,28
81,3109e39973ef44ffbcb87cc2b5b7f9c3,22,11,8,10,10,12,11,11,10,10,11,11,11,36,27,19,27,26,13,29,25,20,26,27,27,27
82,72e1ec74a10c4ec4a1f06db40581a5b6,23,16,8,16,15,11,15,15,11,16,16,16,16,30,25,18,26,22,11,25,22,20,26,25,25,25
83,4317d9c591e84a2e928dc152fbf91dbe,20,10,11,10,10,9,10,9,9,10,10,10,10,34,26,25,26,23,9,24,25,23,26,26,26,26
84,6a3c5b35a05547189da30c8623eb1c94,25,14,10,15,13,10,15,11,11,15,14,14,14,37,29,24,29,24,10,26,25,25,29,29,29,29
85,c78e2a01b9ae4f6f85e0f45af91fe889,24,14,9,14,11,9,13,13,12,14,14,14,14,38,29,21,27,31,9,27,24,22,28,29,29,29
86,41ea89e0e647471486c711302ebec501,19,9,9,8,11,7,11,10,9,8,9,9,9,31,24,22,23,24,7,25,22,23,24,24,24,24
87,2c467be71d3e48879263d404d6c1f423,26,16,12,16,13,10,17,17,13,16,16,16,16,32,27,24,27,26,10,28,27,25,27,28,28,28
88,52a0db886ea14c02ab26f82e4e953f3d,23,13,9,13,11,12,12,8,8,14,13,13,13,33,23,19,24,26,12,24,25,21,24,23,23,23
89,2230beca2c1a42ffa3d0455c1c86dee5,18,11,9,12,7,7,11,14,12,12,11,11,11,32,23,21,23,21,7,22,20,21,23,23,23,23
90,8cc0efe0d08141459daa35bb966edd24,16,12,9,12,11,5,11,10,9,12,12,12,12,37,28,31,27,26,5,30,32,32,27,28,28,28
