,id,t1_sum,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match,t3_sum,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
0,aea51b3b64294e07bd00c6f5d1c82991,21,7,10,7,11,10,8,8,10,7,7,7,7,32,17,21,17,25,10,17,19,21,17,17,17,17
1,d4acd0639a54445f803c015e1f7fa55b,18,7,12,7,6,7,8,9,11,7,7,7,7,31,15,27,15,16,7,21,23,25,15,15,15,15
2,d5b64aba6893447b987b29ac081e970d,23,17,10,18,13,10,15,12,11,18,17,17,17,32,29,23,29,26,10,27,26,24,29,29,29,29
3,40f1b91abc764b9eaf423b871ae47a10,23,5,17,5,11,8,5,6,11,5,5,5,5,37,18,29,18,24,10,18,17,25,18,18,18,18
4,eb91bb001aec49caacee7ef7d6c6c2a1,20,8,10,9,9,8,6,9,7,9,8,8,8,33,27,24,26,23,8,27,26,23,26,27,27,27
5,42eb2bfe54504f9e9ab962eb7218f64e,24,13,10,13,16,11,10,8,8,13,13,13,13,35,28,24,28,30,11,26,26,26,28,28,28,28
6,4ba3fa7f94564e9faf55b445558e8040,22,11,8,11,8,11,11,8,10,11,11,11,11,35,27,23,27,24,12,28,24,25,27,27,27,27
7,2f742c47d16741cf97b5a520f9650211,25,13,8,13,10,15,13,13,10,13,13,13,13,36,31,23,31,26,16,32,31,27,31,31,31,31
8,5d8cdae6df1441e89e606420770a16c1,28,18,12,18,16,12,16,16,14,19,18,18,18,39,36,27,36,36,13,37,37,32,36,36,36,36
9,60c0129463c344e98aaccd384dea701e,27,18,12,18,18,8,16,17,15,18,18,18,18,37,29,30,29,30,8,27,31,32,29,29,29,29
10,720c180d3ae344369ecdce7146716e84,19,13,9,13,12,10,11,10,8,13,13,13,13,35,22,32,21,17,12,19,22,27,21,22,22,22
11,15ae0d9539654893a86fa9654c698cc0,21,12,11,11,12,9,12,11,9,11,11,11,11,36,27,24,27,31,10,28,26,26,27,27,27,27
12,166f728b971d498e990b743fdcf071dc,23,6,11,7,10,10,5,7,10,7,6,6,6,32,19,26,19,22,10,18,21,23,19,19,19,19
13,c63cee1f7a7943ae9023dc7a3d65bb42,17,9,6,9,7,10,10,9,7,9,9,9,9,29,26,18,26,19,11,26,23,19,26,26,26,26
14,ddf0296ad9664afebbe1a5ea45d442a1,28,14,12,13,20,10,16,14,10,12,14,14,14,39,31,28,31,35,10,29,30,28,31,30,30,30
15,4646d5091426436d81159130217f1958,20,11,9,11,13,10,11,10,10,11,11,11,11,32,22,20,22,23,10,21,21,23,22,22,22,22
16,a3c9fbfcc0824a9d8f7019e04e044a33,27,18,12,18,19,12,17,16,12,18,18,18,18,39,35,21,36,35,12,33,29,25,36,35,35,35
17,eb9156f0bd354bdfa695f84ad8d97c2e,19,7,9,7,8,11,7,5,7,7,7,7,7,30,14,21,14,18,11,15,16,18,14,14,14,14
18,347a57446bc64d729d8da7db7bc7e68a,25,16,15,16,11,6,13,13,13,16,16,16,16,32,25,27,24,20,6,25,26,26,24,25,25,25
19,5a0a6c173b5d455d9122c056720f07cb,18,6,11,6,7,10,6,8,10,6,6,6,6,32,13,24,13,23,10,15,17,21,13,13,13,13
20,40a7600df224431e9fd071c4658b909c,24,17,18,18,14,10,17,16,15,18,17,17,17,35,24,28,25,22,10,25,24,26,25,24,24,24
21,af2df0a264e54acbb38551acbefc72ed,32,28,16,28,22,10,26,25,19,28,28,28,28,39,36,29,36,34,11,35,34,31,36,36,36,36
22,ac056d1c17bb42dfbc70552d220b12cc,25,19,12,19,13,8,18,15,14,19,19,19,19,38,29,27,29,29,8,32,28,27,29,29,29,29
23,1d4d2163bf9b4e17953acc73ce485996,15,6,6,6,6,9,6,6,5,6,6,6,6,31,18,25,18,18,11,18,22,22,18,18,18,18
24,49fd1bce6ecc4bc6a2d86718c95b10ea,23,11,17,11,13,8,11,12,15,11,11,11,11,33,18,31,18,23,8,22,25,29,18,18,18,18
25,d03800b35afb46d9a40fb3f1524c5b53,17,6,9,6,8,10,6,10,9,6,6,6,6,31,15,23,15,18,10,15,19,22,15,15,15,15
26,adb6ed53516c49f6afa97b9e273d27a6,29,24,15,23,15,9,21,19,17,23,24,24,24,37,34,30,34,33,9,34,34,32,34,34,34,34
27,1aad4a6c0f494adfbcfeab1a33a5332e,17,5,13,6,7,8,6,11,12,6,5,5,5,29,17,24,17,14,10,19,18,23,17,17,17,17
28,ab7e1fea6b7d40d780a4f7a4e192495c,22,14,14,14,17,12,12,15,14,14,14,14,14,35,21,25,21,29,12,21,24,24,21,21,21,21
29,1cf676f39baf4b72920bb7116c1871db,23,17,6,18,19,7,16,15,12,18,18,17,18,39,35,23,36,29,7,33,29,25,35,35,35,35
30,476066ca638a4296b60c856b5c3b6442,25,12,15,12,15,10,12,12,14,12,12,12,12,34,16,30,16,23,10,18,21,25,16,16,16,16
31,6f952873d4804cf58deddd1bd18f37df,20,7,11,7,7,12,8,6,11,7,7,7,7,30,17,18,18,21,12,16,17,19,18,17,17,17
32,c1b96117a34243ab87d1caf4df3ee6b9,22,9,10,10,13,10,8,8,8,10,9,9,9,34,18,20,19,26,11,16,15,18,19,18,18,18
33,5e6986b8c60040d581b9d09603f53623,22,17,9,17,16,9,16,15,10,17,17,17,17,35,26,22,26,31,9,25,24,22,26,26,26,26
34,ba1021f3bf334bfeb93e60b320819a24,22,8,11,8,11,11,8,9,9,8,8,8,8,36,17,27,17,25,12,16,22,26,17,17,17,17
35,fee0d75f83794d6383798110a64f7764,26,20,8,19,17,10,19,15,12,19,20,20,20,39,36,22,36,31,10,35,30,26,36,36,36,36
36,673aafa20cbf4183806ee724605957c3,30,19,14,19,18,11,17,15,13,19,19,19,19,38,28,29,28,27,11,28,26,27,28,28,28,28
37,cad618c98fda480ba06d51ebbcce6770,22,14,12,14,10,7,14,14,16,14,14,14,14,30,24,20,24,23,7,24,21,22,24,24,24,24
38,b269b8d85ee740ed9d4974d059ebf00f,19,6,12,6,9,9,6,8,10,6,6,6,6,32,21,23,21,17,10,23,24,24,21,21,21,21
39,3cee0085f10d4161990d5d79b2452ac3,29,23,9,23,16,7,21,19,14,23,23,23,23,41,37,24,37,34,7,37,34,27,37,37,37,37
40,1e1560bf3241464aaa1131736f4fe141,32,18,14,18,20,13,15,15,13,18,18,18,18,40,29,29,30,32,13,28,25,27,30,29,29,29
41,c95f0320507e4905abc268571409ae40,17,7,7,7,7,10,5,5,7,7,7,7,7,32,15,25,15,14,11,16,16,22,15,15,15,15
42,327481965f0b4056bc1b3414484726b3,26,17,9,16,16,7,17,15,10,16,17,17,17,35,26,25,26,28,7,26,25,25,26,25,25,25
43,cf1b6ded54834ac2ba23a390cec38104,22,14,14,14,12,14,14,14,11,14,14,14,14,39,33,23,32,24,14,29,25,20,32,33,33,33
44,e0242bfd5aad459e997e8af1d05dba4d,21,9,10,9,17,7,9,10,13,9,9,9,9,34,22,22,22,29,7,21,21,22,22,22,22,22
45,00250a4028184369b1e36c609e6a33d2,21,8,13,8,8,9,8,7,9,8,8,8,8,33,17,30,17,17,9,17,23,25,18,17,17,17
46,ace85dddb7684bf3b3175c95e3da221b,19,13,8,13,11,8,12,13,9,13,13,13,13,32,24,25,24,23,8,26,25,24,24,24,24,24
47,eb8276be1b684bc182fa25ca9d9a308c,22,17,9,17,14,8,17,16,13,17,17,17,17,35,30,21,31,24,8,30,27,25,31,30,30,30
