,id,t1_sum,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_21_linear_match,hard_agent_21_log10_match,hard_agent_21_ln_match,t3_sum,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
0,aea51b3b64294e07bd00c6f5d1c82991,24,12,9,12,16,11,6,7,8,11,12,12,12,37,20,24,22,30,11,21,21,24,23,20,20,20
1,d4acd0639a54445f803c015e1f7fa55b,32,14,12,13,9,11,19,9,13,12,14,14,14,40,29,27,29,23,11,34,23,28,28,29,29,29
2,d5b64aba6893447b987b29ac081e970d,26,16,10,15,5,8,4,11,11,14,16,16,16,36,22,24,22,11,8,16,25,22,24,22,22,22
3,40f1b91abc764b9eaf423b871ae47a10,35,15,17,12,23,10,10,17,12,13,15,15,15,41,29,28,29,37,13,23,27,24,26,29,29,29
4,eb91bb001aec49caacee7ef7d6c6c2a1,25,10,10,13,10,11,18,16,10,14,10,10,10,35,28,23,26,25,11,30,29,27,26,28,28,28
5,42eb2bfe54504f9e9ab962eb7218f64e,28,13,10,13,18,11,15,5,6,13,13,13,13,39,27,21,24,34,11,24,22,19,25,27,27,27
6,4ba3fa7f94564e9faf55b445558e8040,27,11,9,10,9,12,7,16,7,10,11,11,11,34,26,20,27,18,12,20,25,20,25,26,26,26
7,2f742c47d16741cf97b5a520f9650211,20,8,8,7,3,12,6,12,8,9,8,8,8,28,18,21,19,9,12,20,21,21,19,18,18,18
8,5d8cdae6df1441e89e606420770a16c1,23,10,11,8,8,11,6,10,11,9,10,10,10,29,25,25,22,11,12,16,18,23,21,25,25,25
9,60c0129463c344e98aaccd384dea701e,28,15,15,11,10,8,11,18,14,11,15,15,15,38,29,30,22,15,8,22,30,30,22,29,29,29
10,720c180d3ae344369ecdce7146716e84,24,12,8,12,6,13,9,7,7,12,12,12,12,36,25,26,23,23,14,20,21,23,23,25,25,25
11,15ae0d9539654893a86fa9654c698cc0,23,8,10,8,15,6,6,7,12,9,8,8,8,35,19,22,20,21,7,16,22,25,19,19,19,19
12,166f728b971d498e990b743fdcf071dc,28,13,11,13,16,10,6,11,12,13,13,13,13,40,26,26,28,32,10,23,25,24,28,26,26,26
13,c63cee1f7a7943ae9023dc7a3d65bb42,15,7,6,7,6,9,5,6,6,6,7,7,7,29,20,18,21,14,11,17,19,16,21,20,20,20
14,ddf0296ad9664afebbe1a5ea45d442a1,31,15,13,12,22,15,10,11,11,14,15,15,15,38,24,24,21,36,15,16,21,21,20,24,24,24
15,4646d5091426436d81159130217f1958,23,8,8,11,9,11,8,7,8,9,8,8,8,34,25,21,24,21,11,24,23,22,22,25,25,25
16,a3c9fbfcc0824a9d8f7019e04e044a33,26,5,8,5,5,13,6,16,8,5,5,5,5,33,17,14,15,11,13,14,22,13,15,17,17,17
17,eb9156f0bd354bdfa695f84ad8d97c2e,27,13,10,13,15,11,17,13,8,13,13,13,13,38,29,21,26,25,11,28,27,20,27,29,29,29
18,347a57446bc64d729d8da7db7bc7e68a,29,21,14,20,8,11,8,10,13,20,21,21,21,35,27,28,28,18,11,26,27,26,29,27,27,27
19,5a0a6c173b5d455d9122c056720f07cb,25,10,11,9,15,7,9,9,12,9,10,10,10,33,27,25,22,27,7,18,20,24,23,27,27,27
20,40a7600df224431e9fd071c4658b909c,28,15,19,14,3,9,15,18,18,15,15,15,15,40,26,28,27,12,9,23,31,30,28,26,26,26
21,af2df0a264e54acbb38551acbefc72ed,23,13,15,13,8,10,12,13,14,13,13,13,13,33,26,29,25,12,10,26,27,26,26,26,26,26
22,ac056d1c17bb42dfbc70552d220b12cc,31,11,10,7,5,9,19,7,12,7,11,11,11,39,25,26,23,23,9,35,27,26,23,25,25,25
23,1d4d2163bf9b4e17953acc73ce485996,30,14,6,17,11,8,10,12,7,15,14,14,14,38,33,26,34,28,8,25,31,27,34,33,33,33
24,49fd1bce6ecc4bc6a2d86718c95b10ea,28,15,17,16,13,8,13,15,19,16,15,15,15,39,26,31,27,35,8,31,31,29,26,26,26,26
25,d03800b35afb46d9a40fb3f1524c5b53,31,11,9,17,14,10,9,12,8,16,11,11,11,41,29,23,31,28,10,25,27,24,30,29,29,29
