,id,t1_sum,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match,t3_sum,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
0,aea51b3b64294e07bd00c6f5d1c82991,27,17,11,17,9,7,16,13,9,17,17,17,17,39,29,21,29,13,7,29,25,21,28,29,29,29
1,d4acd0639a54445f803c015e1f7fa55b,26,12,18,10,3,9,15,13,15,10,12,12,12,37,27,30,27,3,10,29,28,30,27,27,27,27
2,d5b64aba6893447b987b29ac081e970d,25,9,12,10,5,7,16,12,11,10,9,9,9,38,22,25,22,7,7,27,25,26,22,23,22,23
3,40f1b91abc764b9eaf423b871ae47a10,28,12,10,13,9,8,16,10,8,13,13,13,13,37,26,24,24,10,10,27,29,26,25,26,26,26
4,eb91bb001aec49caacee7ef7d6c6c2a1,26,15,12,14,3,8,21,17,12,14,15,15,15,35,29,25,29,5,8,32,27,26,29,29,29,29
5,42eb2bfe54504f9e9ab962eb7218f64e,24,10,11,10,10,6,8,13,12,11,11,11,11,37,29,26,29,11,6,16,30,28,29,30,30,30
6,4ba3fa7f94564e9faf55b445558e8040,25,9,14,8,6,12,10,10,12,8,9,9,9,37,26,29,25,7,14,26,28,26,26,26,26,26
7,2f742c47d16741cf97b5a520f9650211,27,12,13,10,7,11,12,12,11,10,12,12,12,35,21,22,20,9,11,24,22,21,20,21,21,21
8,5d8cdae6df1441e89e606420770a16c1,24,8,10,8,12,14,6,6,6,8,8,8,8,32,12,19,12,13,15,15,15,15,12,13,13,13
9,60c0129463c344e98aaccd384dea701e,28,7,17,6,12,9,8,9,13,6,7,7,7,37,15,32,14,15,9,16,21,25,14,15,15,15
10,720c180d3ae344369ecdce7146716e84,31,16,15,16,3,8,22,20,19,16,16,16,16,41,27,32,27,4,9,34,33,34,26,27,27,27
