,id,t1_sum,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match,t3_sum,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
0,aea51b3b64294e07bd00c6f5d1c82991,25,11,11,8,12,8,11,9,9,8,11,11,11,35,19,20,12,14,8,20,18,18,11,19,19,19
1,d4acd0639a54445f803c015e1f7fa55b,30,18,17,23,14,12,20,21,18,23,18,18,18,36,30,30,29,23,12,29,31,30,28,29,29,29
2,d5b64aba6893447b987b29ac081e970d,29,15,13,12,11,12,13,14,12,11,16,16,16,37,26,26,18,16,12,23,24,29,17,26,26,26
3,40f1b91abc764b9eaf423b871ae47a10,28,13,13,16,16,10,13,10,12,17,14,14,14,35,19,26,21,20,11,28,23,24,23,21,21,21
4,eb91bb001aec49caacee7ef7d6c6c2a1,28,16,13,13,10,9,11,19,16,11,17,16,17,38,27,26,23,25,9,17,29,29,19,27,27,27
5,42eb2bfe54504f9e9ab962eb7218f64e,26,16,10,15,14,11,4,15,11,15,18,18,18,35,26,26,24,22,11,18,24,24,25,27,27,27
6,4ba3fa7f94564e9faf55b445558e8040,26,9,14,13,11,9,11,11,12,11,9,9,9,37,17,27,20,17,11,17,20,22,18,18,17,17
7,2f742c47d16741cf97b5a520f9650211,24,18,13,10,5,11,12,14,16,10,19,19,19,31,24,20,15,8,11,15,23,24,16,24,24,24
8,5d8cdae6df1441e89e606420770a16c1,29,15,10,13,5,12,5,15,10,11,16,15,16,39,27,20,19,7,14,18,29,24,18,29,28,28
9,60c0129463c344e98aaccd384dea701e,30,16,17,15,9,6,18,16,13,16,17,17,17,37,27,33,22,11,6,25,30,30,22,27,27,27
10,720c180d3ae344369ecdce7146716e84,28,14,13,15,11,9,14,14,13,15,14,14,14,35,23,29,22,18,10,21,26,26,23,23,23,23
11,15ae0d9539654893a86fa9654c698cc0,24,8,10,8,7,11,14,10,8,8,9,8,8,32,18,16,10,7,12,21,17,18,9,19,19,19
12,166f728b971d498e990b743fdcf071dc,28,17,15,16,17,11,16,18,17,15,17,17,17,37,28,30,19,23,11,23,31,30,19,28,28,28
13,c63cee1f7a7943ae9023dc7a3d65bb42,19,12,8,8,6,9,10,9,9,8,12,12,12,29,21,18,13,9,11,18,21,21,13,21,21,21
14,ddf0296ad9664afebbe1a5ea45d442a1,34,17,13,11,13,14,12,17,12,12,18,17,18,39,29,23,16,17,14,25,31,24,17,30,30,30
15,4646d5091426436d81159130217f1958,26,10,9,9,6,14,13,8,9,8,9,10,10,33,19,19,19,14,14,17,20,22,19,19,19,19
16,a3c9fbfcc0824a9d8f7019e04e044a33,21,13,8,6,4,10,7,11,10,5,12,12,12,32,19,17,11,10,10,12,19,20,10,18,19,18
17,eb9156f0bd354bdfa695f84ad8d97c2e,25,16,15,15,13,8,16,17,15,16,16,16,16,33,22,28,26,19,8,24,23,26,25,22,22,22
18,347a57446bc64d729d8da7db7bc7e68a,26,17,17,19,14,10,18,16,19,19,17,17,17,33,21,23,21,24,10,23,21,24,21,21,21,21
19,5a0a6c173b5d455d9122c056720f07cb,27,9,10,10,12,13,9,9,9,11,9,9,9,34,21,20,19,15,13,22,18,17,18,21,21,21
20,40a7600df224431e9fd071c4658b909c,32,12,14,10,9,10,14,11,11,10,12,12,12,39,23,27,17,12,10,24,27,23,17,24,24,24
