,id,t1_sum,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match,t3_sum,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
0,aea51b3b64294e07bd00c6f5d1c82991,19,6,9,6,6,13,5,8,8,6,6,6,6,32,21,22,22,16,13,20,20,19,22,22,22,22
1,d4acd0639a54445f803c015e1f7fa55b,29,20,12,21,14,8,19,18,14,21,19,19,19,36,31,24,31,25,8,29,28,25,31,31,31,31
2,d5b64aba6893447b987b29ac081e970d,21,11,11,11,11,6,10,10,11,11,11,11,11,34,28,19,29,25,6,26,22,21,28,28,28,28
3,40f1b91abc764b9eaf423b871ae47a10,25,9,12,9,10,11,12,14,11,10,9,9,9,36,27,26,27,25,12,26,28,29,27,27,27,27
4,eb91bb001aec49caacee7ef7d6c6c2a1,22,8,9,8,7,12,8,8,7,8,8,8,8,35,23,21,24,22,12,23,23,24,24,23,23,23
5,42eb2bfe54504f9e9ab962eb7218f64e,20,8,13,8,7,8,9,8,10,8,8,8,8,32,25,26,24,23,8,23,27,27,24,25,25,25
6,4ba3fa7f94564e9faf55b445558e8040,23,12,10,12,9,12,13,13,10,12,12,12,12,34,25,25,26,25,13,27,28,26,26,25,25,25
7,2f742c47d16741cf97b5a520f9650211,17,12,9,12,8,7,12,9,11,12,12,12,12,27,21,18,20,19,8,19,17,19,20,21,21,21
8,5d8cdae6df1441e89e606420770a16c1,20,17,7,17,13,6,14,14,9,17,17,17,17,34,25,23,26,26,8,23,25,22,25,25,25,25
9,60c0129463c344e98aaccd384dea701e,26,14,9,14,20,8,15,13,12,15,14,14,14,36,32,26,32,30,8,28,28,26,32,32,32,32
10,720c180d3ae344369ecdce7146716e84,27,13,8,13,13,12,13,12,8,13,13,13,13,37,29,25,29,22,13,30,29,27,29,29,29,29
11,15ae0d9539654893a86fa9654c698cc0,19,7,8,7,13,8,6,7,8,7,7,7,7,30,20,23,19,22,9,19,19,21,19,19,19,19
12,166f728b971d498e990b743fdcf071dc,22,13,13,13,12,8,15,15,13,13,13,13,13,36,23,26,23,26,8,24,24,26,23,23,23,23
13,c63cee1f7a7943ae9023dc7a3d65bb42,15,7,7,7,9,8,8,9,7,7,7,7,7,30,20,17,20,25,10,20,19,17,20,20,20,20
14,ddf0296ad9664afebbe1a5ea45d442a1,23,13,11,13,16,8,13,10,12,13,13,13,13,30,24,21,25,20,8,25,23,23,25,24,24,24
15,4646d5091426436d81159130217f1958,22,12,11,11,12,8,9,9,11,11,12,12,12,32,22,17,22,23,8,22,20,18,22,22,22,22
16,a3c9fbfcc0824a9d8f7019e04e044a33,20,10,10,10,9,9,7,8,8,10,10,10,10,33,22,22,24,24,9,20,23,20,24,22,22,22
17,eb9156f0bd354bdfa695f84ad8d97c2e,26,17,12,17,14,6,16,13,12,17,17,17,17,38,33,26,33,30,6,32,29,27,33,33,33,33
18,347a57446bc64d729d8da7db7bc7e68a,27,16,13,15,13,13,18,16,13,14,16,16,16,38,33,22,31,26,13,31,29,21,31,33,33,33
19,5a0a6c173b5d455d9122c056720f07cb,24,17,11,15,11,10,15,14,10,15,17,17,17,35,28,22,30,27,10,26,23,23,30,28,28,28
20,40a7600df224431e9fd071c4658b909c,26,14,15,14,13,13,16,15,15,14,14,14,14,39,29,31,28,25,13,31,30,32,28,28,28,28
21,af2df0a264e54acbb38551acbefc72ed,24,10,10,10,16,8,12,14,12,10,10,10,10,37,22,23,21,24,9,22,23,22,22,22,22,22
22,ac056d1c17bb42dfbc70552d220b12cc,22,12,14,12,12,8,12,14,15,12,12,12,12,36,27,24,26,25,8,24,22,25,26,27,27,27
23,1d4d2163bf9b4e17953acc73ce485996,28,14,8,14,14,15,12,11,9,14,14,14,14,36,32,25,32,31,15,30,31,28,32,32,32,32
24,49fd1bce6ecc4bc6a2d86718c95b10ea,27,13,15,15,13,10,12,13,11,15,13,13,13,38,30,30,29,27,10,31,32,30,29,30,30,30
25,d03800b35afb46d9a40fb3f1524c5b53,26,14,13,13,15,10,12,13,13,13,14,14,14,37,30,25,31,26,10,30,30,25,31,30,30,30
26,adb6ed53516c49f6afa97b9e273d27a6,20,10,13,10,11,8,10,10,12,10,10,10,10,33,23,27,23,23,8,23,23,26,23,23,22,23
27,1aad4a6c0f494adfbcfeab1a33a5332e,19,12,7,12,12,11,11,10,7,12,12,12,12,38,25,25,24,26,13,26,25,21,24,25,25,25
28,ab7e1fea6b7d40d780a4f7a4e192495c,27,11,12,10,11,15,10,12,12,10,11,11,11,38,25,25,24,22,15,25,25,23,24,25,25,25
29,1cf676f39baf4b72920bb7116c1871db,23,12,12,12,12,8,11,12,12,12,12,12,12,37,25,24,27,22,9,22,24,26,27,25,25,25
30,476066ca638a4296b60c856b5c3b6442,24,14,11,15,9,12,12,12,13,15,15,15,15,36,25,26,25,25,12,25,27,27,25,25,25,25
31,6f952873d4804cf58deddd1bd18f37df,21,11,15,11,7,9,11,14,13,11,11,11,11,30,21,21,21,19,9,24,25,24,20,21,21,21
32,c1b96117a34243ab87d1caf4df3ee6b9,17,9,10,9,4,7,8,7,9,9,9,9,9,31,24,23,24,20,7,25,23,22,24,24,24,24
33,5e6986b8c60040d581b9d09603f53623,18,8,8,8,7,10,7,6,8,8,8,8,8,29,18,20,18,20,10,18,18,20,18,18,18,18
34,ba1021f3bf334bfeb93e60b320819a24,20,11,11,13,9,10,14,14,11,13,11,11,11,34,28,28,29,21,11,29,28,30,29,28,28,28
35,fee0d75f83794d6383798110a64f7764,19,8,6,8,8,11,7,5,6,8,8,8,8,31,23,25,23,20,11,21,21,22,23,23,23,23
36,673aafa20cbf4183806ee724605957c3,23,12,9,11,11,8,10,10,7,11,12,12,12,35,22,24,23,29,8,22,24,23,23,22,22,22
37,cad618c98fda480ba06d51ebbcce6770,22,9,11,9,9,11,8,9,9,9,9,9,9,29,21,19,21,18,11,22,18,18,21,21,21,21
38,b269b8d85ee740ed9d4974d059ebf00f,24,8,15,7,6,10,12,10,12,8,7,7,7,33,23,28,23,18,10,25,25,27,23,23,23,23
39,3cee0085f10d4161990d5d79b2452ac3,20,9,11,9,10,12,10,9,10,9,9,9,9,32,21,23,22,24,12,20,20,22,22,21,21,21
