,id,t1_sum,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match,t3_sum,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
0,aea51b3b64294e07bd00c6f5d1c82991,19,6,7,6,12,10,6,6,6,6,6,6,6,31,18,20,18,26,10,18,20,22,18,18,18,18
1,d4acd0639a54445f803c015e1f7fa55b,22,8,15,8,7,13,9,10,13,8,8,8,8,30,17,24,19,16,13,19,19,21,19,16,16,16
2,d5b64aba6893447b987b29ac081e970d,21,17,8,17,15,6,15,13,11,17,17,17,17,31,26,23,26,25,6,25,27,25,26,26,26,26
3,40f1b91abc764b9eaf423b871ae47a10,20,7,11,8,12,12,7,8,10,8,7,7,7,32,17,28,17,22,12,17,19,23,17,17,17,17
4,eb91bb001aec49caacee7ef7d6c6c2a1,21,7,15,6,6,10,9,10,12,6,7,7,7,33,23,27,24,20,10,26,25,24,24,23,23,23
5,42eb2bfe54504f9e9ab962eb7218f64e,20,11,9,11,13,9,9,10,9,11,11,11,11,34,25,24,27,31,9,22,23,26,27,25,25,25
6,4ba3fa7f94564e9faf55b445558e8040,21,10,13,10,8,9,9,9,11,10,10,10,10,37,28,30,28,26,10,32,27,29,28,28,28,28
7,2f742c47d16741cf97b5a520f9650211,22,17,12,17,10,5,18,19,17,17,17,17,17,35,32,24,31,30,5,31,30,28,32,32,32,32
8,5d8cdae6df1441e89e606420770a16c1,29,22,13,22,18,12,21,20,18,22,22,22,22,38,37,28,36,34,12,37,36,32,36,37,37,37
9,60c0129463c344e98aaccd384dea701e,27,17,14,17,21,11,16,19,16,17,17,17,17,36,28,29,28,34,11,28,30,31,28,28,28,28
10,720c180d3ae344369ecdce7146716e84,22,12,9,12,8,10,9,8,8,12,12,12,12,35,25,30,26,14,12,22,23,29,25,25,25,25
11,15ae0d9539654893a86fa9654c698cc0,18,7,9,7,13,5,7,7,7,8,7,7,7,35,28,24,28,29,6,31,28,27,28,29,29,29
