,id,t1_sum,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_21_linear_match,hard_agent_21_log10_match,hard_agent_21_ln_match,t3_sum,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
0,aea51b3b64294e07bd00c6f5d1c82991,28,10,5,11,19,9,6,6,5,10,10,10,10,35,23,22,24,30,9,21,20,20,24,23,23,23
1,d4acd0639a54445f803c015e1f7fa55b,26,16,12,15,8,11,16,7,12,14,16,16,16,33,25,25,25,23,11,27,26,20,25,25,25,25
2,d5b64aba6893447b987b29ac081e970d,20,11,10,14,6,10,4,7,10,13,11,11,11,31,26,24,25,11,10,19,19,23,25,26,26,26
3,40f1b91abc764b9eaf423b871ae47a10,32,17,15,17,22,13,11,10,13,16,17,17,17,41,30,28,28,34,14,25,25,25,27,30,30,30
4,eb91bb001aec49caacee7ef7d6c6c2a1,26,9,15,13,10,12,7,10,13,13,9,9,9,32,28,27,23,22,12,20,24,25,22,28,28,28
5,42eb2bfe54504f9e9ab962eb7218f64e,29,11,8,14,19,10,7,5,7,14,11,11,11,38,26,23,28,32,10,23,20,23,26,26,26,26
6,4ba3fa7f94564e9faf55b445558e8040,24,13,14,13,11,13,9,6,12,14,13,13,13,33,27,26,25,20,15,20,21,25,26,27,27,27
7,2f742c47d16741cf97b5a520f9650211,21,9,9,10,3,14,6,8,9,11,9,9,9,33,21,24,20,12,14,17,22,24,21,21,21,21
8,5d8cdae6df1441e89e606420770a16c1,24,14,11,8,7,12,7,9,12,10,14,14,14,31,26,25,23,10,13,15,19,25,22,26,26,26
9,60c0129463c344e98aaccd384dea701e,34,19,16,16,11,12,16,11,14,16,19,19,19,40,29,31,24,16,12,27,26,31,25,29,29,29
10,720c180d3ae344369ecdce7146716e84,26,16,8,13,7,12,8,7,6,12,16,16,16,36,27,29,27,25,14,24,25,26,27,27,27,27
11,15ae0d9539654893a86fa9654c698cc0,21,9,9,8,14,6,6,7,11,8,9,9,9,34,21,23,19,21,7,19,19,26,20,21,21,21
12,166f728b971d498e990b743fdcf071dc,28,11,8,11,18,9,18,7,10,10,11,11,11,41,25,27,28,31,9,35,27,30,27,25,25,25
13,c63cee1f7a7943ae9023dc7a3d65bb42,16,7,6,6,6,9,8,8,5,7,7,7,7,28,19,18,20,12,9,18,20,17,20,19,19,19
