,id,t1_sum,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match,t3_sum,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
0,aea51b3b64294e07bd00c6f5d1c82991,25,11,10,11,18,10,9,7,11,11,11,11,11,35,24,22,24,27,10,26,23,22,24,23,24,23
1,d4acd0639a54445f803c015e1f7fa55b,27,21,15,21,9,6,14,18,17,21,21,21,21,37,34,30,35,25,6,33,32,30,35,34,34,34
2,d5b64aba6893447b987b29ac081e970d,18,12,6,11,5,7,11,9,8,11,12,12,12,33,29,22,29,17,7,27,26,22,29,29,29,29
3,40f1b91abc764b9eaf423b871ae47a10,26,16,13,16,15,10,17,13,13,16,16,16,16,38,30,29,30,29,12,30,28,29,30,30,30,30
4,eb91bb001aec49caacee7ef7d6c6c2a1,33,23,12,22,14,10,20,16,13,22,23,23,23,42,34,29,34,35,10,34,32,31,34,34,34,34
5,42eb2bfe54504f9e9ab962eb7218f64e,29,19,13,20,20,9,18,16,12,20,18,18,18,37,31,29,31,33,9,30,29,30,31,31,31,31
6,4ba3fa7f94564e9faf55b445558e8040,21,13,12,13,9,7,14,12,10,12,14,13,13,35,28,27,26,18,9,27,27,26,26,28,28,28
7,2f742c47d16741cf97b5a520f9650211,21,11,8,11,4,13,8,7,9,11,11,11,11,34,26,24,26,14,13,26,24,25,26,25,26,25
8,5d8cdae6df1441e89e606420770a16c1,27,18,9,16,10,9,15,11,11,16,18,18,18,38,33,26,32,23,9,29,27,28,33,33,33,33
9,60c0129463c344e98aaccd384dea701e,22,14,10,14,9,8,13,15,13,14,13,13,13,35,29,24,28,20,8,28,27,24,28,29,29,29
10,720c180d3ae344369ecdce7146716e84,25,14,7,13,7,13,9,9,7,13,13,13,13,37,29,29,28,15,14,26,28,29,28,29,29,29
11,15ae0d9539654893a86fa9654c698cc0,24,8,9,8,10,12,7,7,8,8,8,8,8,31,21,20,21,21,12,21,21,20,21,21,21,21
12,166f728b971d498e990b743fdcf071dc,31,20,14,19,20,12,19,18,15,19,19,19,19,39,30,24,31,31,12,25,26,23,30,30,30,30
13,c63cee1f7a7943ae9023dc7a3d65bb42,16,9,7,9,8,10,9,8,7,9,9,9,9,27,21,20,21,12,11,22,22,20,21,21,21,21
14,ddf0296ad9664afebbe1a5ea45d442a1,31,22,13,23,24,12,23,18,14,22,21,21,21,40,33,30,33,38,12,33,32,31,33,33,33,33
15,4646d5091426436d81159130217f1958,26,16,13,16,9,11,16,17,16,16,16,16,16,35,30,26,30,22,11,30,29,27,31,30,30,30
