,id,t1_sum,basic_agent_Match,arch_receiver_agent_Match,Greedy Agent_Match,med_agent_Match,t3_sum,basic_agent_t3_match,arch_receiver_agent_t3_match,Greedy Agent_t3_match,med_agent_t3_match
0,aea51b3b64294e07bd00c6f5d1c82991,17,3,2,13,10,22,3,2,21,11
1,d4acd0639a54445f803c015e1f7fa55b,17,0,0,17,3,29,0,0,29,3
2,d5b64aba6893447b987b29ac081e970d,15,6,6,11,6,25,6,6,24,8
3,40f1b91abc764b9eaf423b871ae47a10,17,2,2,14,10,25,3,2,24,12
4,eb91bb001aec49caacee7ef7d6c6c2a1,14,4,4,12,6,25,5,5,23,8
5,42eb2bfe54504f9e9ab962eb7218f64e,19,6,6,14,12,28,6,6,28,12
6,4ba3fa7f94564e9faf55b445558e8040,16,5,4,14,5,29,11,10,27,6
7,2f742c47d16741cf97b5a520f9650211,18,8,8,15,7,23,12,12,21,9
8,5d8cdae6df1441e89e606420770a16c1,19,8,9,14,12,25,9,10,21,13
9,60c0129463c344e98aaccd384dea701e,21,8,7,18,13,33,12,12,32,16
10,720c180d3ae344369ecdce7146716e84,18,5,5,16,5,31,5,5,31,6
11,15ae0d9539654893a86fa9654c698cc0,12,2,2,10,7,19,10,7,17,13
12,166f728b971d498e990b743fdcf071dc,16,4,3,13,10,28,4,4,28,12
13,c63cee1f7a7943ae9023dc7a3d65bb42,11,4,3,8,6,17,5,4,16,6
14,ddf0296ad9664afebbe1a5ea45d442a1,16,3,3,11,10,22,4,4,21,12
15,4646d5091426436d81159130217f1958,17,10,10,11,7,35,27,26,24,9
16,a3c9fbfcc0824a9d8f7019e04e044a33,13,6,6,10,8,19,8,8,16,10
17,eb9156f0bd354bdfa695f84ad8d97c2e,13,1,1,12,5,25,1,1,25,5
18,347a57446bc64d729d8da7db7bc7e68a,21,9,9,14,10,29,12,14,28,10
19,5a0a6c173b5d455d9122c056720f07cb,14,2,1,13,7,21,2,1,21,7
20,40a7600df224431e9fd071c4658b909c,18,4,3,15,6,28,4,3,28,7
21,af2df0a264e54acbb38551acbefc72ed,20,8,8,14,10,27,14,14,25,13
22,ac056d1c17bb42dfbc70552d220b12cc,20,8,9,15,8,33,18,18,27,13
23,1d4d2163bf9b4e17953acc73ce485996,19,2,2,17,8,30,2,2,29,8
24,49fd1bce6ecc4bc6a2d86718c95b10ea,15,2,2,13,8,33,2,2,33,9
25,d03800b35afb46d9a40fb3f1524c5b53,13,2,2,10,7,27,3,3,27,9
26,adb6ed53516c49f6afa97b9e273d27a6,18,9,9,15,10,33,17,17,27,14
27,1aad4a6c0f494adfbcfeab1a33a5332e,15,1,1,15,5,28,1,2,27,5
28,ab7e1fea6b7d40d780a4f7a4e192495c,17,5,5,15,11,25,6,6,24,12
29,1cf676f39baf4b72920bb7116c1871db,17,9,8,14,11,23,9,8,23,11
30,476066ca638a4296b60c856b5c3b6442,17,4,4,15,8,25,5,5,24,9
31,6f952873d4804cf58deddd1bd18f37df,16,1,1,15,4,25,3,1,24,7
32,c1b96117a34243ab87d1caf4df3ee6b9,11,4,2,11,8,23,4,2,23,8
33,5e6986b8c60040d581b9d09603f53623,14,5,5,10,11,23,6,6,23,11
34,ba1021f3bf334bfeb93e60b320819a24,17,2,2,16,9,28,2,2,27,10
