,id,t1_sum,basic_agent_Match,arch_receiver_agent_Match,Greedy Agent_Match,med_agent_Match,t3_sum,basic_agent_t3_match,arch_receiver_agent_t3_match,Greedy Agent_t3_match,med_agent_t3_match
0,aea51b3b64294e07bd00c6f5d1c82991,16,7,7,10,11,30,17,17,21,25
1,d4acd0639a54445f803c015e1f7fa55b,15,7,7,12,6,31,14,15,27,16
2,d5b64aba6893447b987b29ac081e970d,20,17,17,10,13,32,29,29,23,26
3,40f1b91abc764b9eaf423b871ae47a10,22,5,5,17,11,36,15,15,29,24
4,eb91bb001aec49caacee7ef7d6c6c2a1,16,7,8,10,9,32,26,26,24,23
5,42eb2bfe54504f9e9ab962eb7218f64e,22,13,13,10,16,34,26,26,24,30
6,4ba3fa7f94564e9faf55b445558e8040,13,10,10,8,8,32,25,25,23,24
7,2f742c47d16741cf97b5a520f9650211,18,14,14,8,10,36,30,31,23,26
8,5d8cdae6df1441e89e606420770a16c1,24,19,18,12,16,38,36,36,27,36
9,60c0129463c344e98aaccd384dea701e,26,18,18,12,18,37,29,29,30,30
10,720c180d3ae344369ecdce7146716e84,17,13,13,9,12,34,18,19,32,17
11,15ae0d9539654893a86fa9654c698cc0,17,9,9,11,12,36,29,27,24,31
12,166f728b971d498e990b743fdcf071dc,18,7,7,11,10,30,17,16,26,22
13,c63cee1f7a7943ae9023dc7a3d65bb42,10,7,7,6,7,27,23,23,18,19
14,ddf0296ad9664afebbe1a5ea45d442a1,24,12,12,12,20,37,25,25,28,35
15,4646d5091426436d81159130217f1958,15,11,11,9,13,29,22,21,20,23
16,a3c9fbfcc0824a9d8f7019e04e044a33,24,18,18,12,19,37,35,36,21,35
17,eb9156f0bd354bdfa695f84ad8d97c2e,13,7,7,9,8,26,14,14,21,18
18,347a57446bc64d729d8da7db7bc7e68a,21,14,15,15,11,32,24,24,27,20
19,5a0a6c173b5d455d9122c056720f07cb,13,6,6,11,7,30,14,14,24,23
20,40a7600df224431e9fd071c4658b909c,22,17,17,18,14,34,24,24,28,22
21,af2df0a264e54acbb38551acbefc72ed,30,28,28,16,22,38,36,36,29,34
22,ac056d1c17bb42dfbc70552d220b12cc,23,20,20,12,13,37,29,28,27,29
23,1d4d2163bf9b4e17953acc73ce485996,9,5,6,6,6,29,19,18,25,18
24,49fd1bce6ecc4bc6a2d86718c95b10ea,22,7,7,17,13,32,18,18,31,23
25,d03800b35afb46d9a40fb3f1524c5b53,11,6,6,9,8,29,15,15,23,18
26,adb6ed53516c49f6afa97b9e273d27a6,28,23,23,15,15,37,34,34,30,33
27,1aad4a6c0f494adfbcfeab1a33a5332e,14,5,5,13,7,26,16,16,24,14
28,ab7e1fea6b7d40d780a4f7a4e192495c,20,13,13,14,17,33,19,19,25,29
29,1cf676f39baf4b72920bb7116c1871db,21,18,18,6,19,38,34,35,23,29
30,476066ca638a4296b60c856b5c3b6442,24,11,11,15,15,34,15,15,30,23
31,6f952873d4804cf58deddd1bd18f37df,16,6,6,11,7,26,16,15,18,21
32,c1b96117a34243ab87d1caf4df3ee6b9,17,8,8,10,13,30,16,16,20,26
33,5e6986b8c60040d581b9d09603f53623,20,16,15,9,16,36,27,26,22,31
34,ba1021f3bf334bfeb93e60b320819a24,17,8,8,11,11,34,15,15,27,25
35,fee0d75f83794d6383798110a64f7764,23,20,20,8,17,38,35,36,22,31
36,673aafa20cbf4183806ee724605957c3,26,18,19,14,18,36,28,29,29,27
37,cad618c98fda480ba06d51ebbcce6770,20,15,15,12,10,30,23,23,20,23
38,b269b8d85ee740ed9d4974d059ebf00f,15,6,6,12,9,31,19,19,23,17
39,3cee0085f10d4161990d5d79b2452ac3,28,23,23,9,16,41,37,37,24,34
40,1e1560bf3241464aaa1131736f4fe141,26,18,18,14,20,39,29,30,29,32
41,c95f0320507e4905abc268571409ae40,10,7,7,7,7,27,14,14,25,14
42,327481965f0b4056bc1b3414484726b3,23,17,16,9,16,34,25,25,25,28
