,id,t1_sum,basic_agent_Match,arch_receiver_agent_Match,Greedy Agent_Match,med_agent_Match,t3_sum,basic_agent_t3_match,arch_receiver_agent_t3_match,Greedy Agent_t3_match,med_agent_t3_match
0,aea51b3b64294e07bd00c6f5d1c82991,24,12,12,9,16,35,20,22,24,30
1,d4acd0639a54445f803c015e1f7fa55b,22,14,13,12,9,34,29,29,27,23
2,d5b64aba6893447b987b29ac081e970d,20,16,15,10,5,28,22,22,24,11
3,40f1b91abc764b9eaf423b871ae47a10,30,15,12,17,23,40,29,29,28,37
4,eb91bb001aec49caacee7ef7d6c6c2a1,20,10,13,10,10,32,28,26,23,25
5,42eb2bfe54504f9e9ab962eb7218f64e,27,13,13,10,18,38,27,24,21,34
6,4ba3fa7f94564e9faf55b445558e8040,15,11,10,9,9,29,26,27,20,18
7,2f742c47d16741cf97b5a520f9650211,11,8,7,8,3,23,18,19,21,9
8,5d8cdae6df1441e89e606420770a16c1,18,10,8,11,8,27,25,22,25,11
9,60c0129463c344e98aaccd384dea701e,23,15,11,15,10,34,29,22,30,15
10,720c180d3ae344369ecdce7146716e84,16,12,12,8,6,31,25,23,26,23
11,15ae0d9539654893a86fa9654c698cc0,20,8,8,10,15,32,19,20,22,21
12,166f728b971d498e990b743fdcf071dc,24,13,13,11,16,37,26,28,26,32
13,c63cee1f7a7943ae9023dc7a3d65bb42,12,7,7,6,6,27,20,21,18,14
14,ddf0296ad9664afebbe1a5ea45d442a1,24,15,12,13,22,37,24,21,24,36
15,4646d5091426436d81159130217f1958,19,8,11,8,9,32,25,24,21,21
16,a3c9fbfcc0824a9d8f7019e04e044a33,10,5,5,8,5,19,17,15,14,11
17,eb9156f0bd354bdfa695f84ad8d97c2e,21,13,13,10,15,34,29,26,21,25
18,347a57446bc64d729d8da7db7bc7e68a,27,21,20,14,8,34,27,28,28,18
19,5a0a6c173b5d455d9122c056720f07cb,20,10,9,11,15,31,27,22,25,27
20,40a7600df224431e9fd071c4658b909c,23,15,14,19,3,36,26,27,28,12
21,af2df0a264e54acbb38551acbefc72ed,18,13,13,15,8,32,26,25,29,12
22,ac056d1c17bb42dfbc70552d220b12cc,18,11,7,10,5,33,25,23,26,23
23,1d4d2163bf9b4e17953acc73ce485996,25,14,17,6,11,38,33,34,26,28
24,49fd1bce6ecc4bc6a2d86718c95b10ea,25,15,16,17,13,38,26,27,31,35
25,d03800b35afb46d9a40fb3f1524c5b53,26,11,17,9,14,41,29,31,23,28
26,adb6ed53516c49f6afa97b9e273d27a6,21,10,12,15,7,33,27,26,28,12
27,1aad4a6c0f494adfbcfeab1a33a5332e,20,15,14,13,7,35,30,32,26,24
28,ab7e1fea6b7d40d780a4f7a4e192495c,30,16,19,14,19,37,23,25,26,28
29,1cf676f39baf4b72920bb7116c1871db,16,12,11,8,7,27,23,23,24,11
30,476066ca638a4296b60c856b5c3b6442,28,14,14,14,15,34,28,28,28,23
31,6f952873d4804cf58deddd1bd18f37df,20,8,10,10,17,30,18,19,19,27
32,c1b96117a34243ab87d1caf4df3ee6b9,25,6,9,11,20,36,20,22,22,31
33,5e6986b8c60040d581b9d09603f53623,19,9,9,9,12,37,23,24,22,23
34,ba1021f3bf334bfeb93e60b320819a24,23,9,10,10,19,38,25,27,27,30
35,fee0d75f83794d6383798110a64f7764,13,9,6,8,5,28,24,22,20,10
36,673aafa20cbf4183806ee724605957c3,18,9,15,14,3,34,28,26,31,11
37,cad618c98fda480ba06d51ebbcce6770,18,12,14,10,9,27,23,23,20,18
38,b269b8d85ee740ed9d4974d059ebf00f,20,12,10,10,10,31,26,26,24,24
39,3cee0085f10d4161990d5d79b2452ac3,13,9,10,9,3,28,24,22,24,8
40,1e1560bf3241464aaa1131736f4fe141,24,12,12,13,14,35,29,26,27,18
41,c95f0320507e4905abc268571409ae40,18,7,11,7,9,36,23,28,25,22
42,327481965f0b4056bc1b3414484726b3,19,11,12,8,8,32,23,22,25,16
43,cf1b6ded54834ac2ba23a390cec38104,13,9,9,11,6,25,20,17,25,15
44,e0242bfd5aad459e997e8af1d05dba4d,23,10,11,8,17,33,20,23,20,28
45,00250a4028184369b1e36c609e6a33d2,26,22,21,13,9,39,35,32,30,28
46,ace85dddb7684bf3b3175c95e3da221b,16,9,9,8,8,31,23,24,22,22
