,id,t1_sum,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match,t3_sum,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
0,aea51b3b64294e07bd00c6f5d1c82991,29,20,13,20,24,11,17,16,16,19,20,20,20,39,34,29,34,38,11,31,32,30,34,34,34,34
1,d4acd0639a54445f803c015e1f7fa55b,24,18,14,15,13,11,18,18,15,15,18,18,18,38,33,32,31,36,11,30,32,31,31,33,33,33
2,d5b64aba6893447b987b29ac081e970d,26,17,11,15,6,12,15,14,13,15,18,18,18,37,32,33,30,18,12,34,33,34,30,31,32,32
3,40f1b91abc764b9eaf423b871ae47a10,32,25,20,22,25,11,22,21,23,21,25,25,25,40,36,33,36,38,14,35,35,32,36,36,36,36
4,eb91bb001aec49caacee7ef7d6c6c2a1,37,28,22,30,16,9,27,28,23,30,29,29,29,41,40,38,40,32,9,40,40,38,40,40,40,40
5,42eb2bfe54504f9e9ab962eb7218f64e,33,19,18,18,24,14,17,18,19,18,19,19,19,41,36,29,31,38,14,33,33,31,31,35,35,35
6,4ba3fa7f94564e9faf55b445558e8040,31,25,20,24,18,11,26,23,21,24,25,25,25,39,38,34,38,32,13,38,36,34,39,38,38,38
7,2f742c47d16741cf97b5a520f9650211,24,20,11,18,6,9,16,16,15,18,21,21,21,37,30,27,32,20,9,30,28,27,33,29,29,29
8,5d8cdae6df1441e89e606420770a16c1,29,22,17,18,10,6,19,20,19,18,22,22,22,39,39,33,37,17,7,35,35,35,37,38,38,38
9,60c0129463c344e98aaccd384dea701e,30,21,16,21,16,7,19,17,18,19,23,22,23,41,36,32,35,25,7,36,36,32,35,36,36,36
10,720c180d3ae344369ecdce7146716e84,36,27,24,23,15,13,23,25,25,23,27,27,27,42,41,39,40,33,15,37,41,41,40,41,41,41
11,15ae0d9539654893a86fa9654c698cc0,22,12,9,10,15,10,7,6,8,10,12,12,12,36,28,23,27,27,11,26,25,24,27,28,28,28
12,166f728b971d498e990b743fdcf071dc,26,22,17,22,19,9,22,20,19,22,22,22,22,36,32,29,34,34,9,33,31,31,34,32,32,32
13,c63cee1f7a7943ae9023dc7a3d65bb42,15,9,8,8,10,9,10,9,8,8,9,9,9,30,23,21,22,19,12,23,22,21,22,23,23,23
14,ddf0296ad9664afebbe1a5ea45d442a1,30,24,20,22,26,8,21,21,21,21,23,23,23,40,37,33,37,35,9,32,31,34,37,36,36,36
15,4646d5091426436d81159130217f1958,23,15,16,15,12,9,14,15,15,15,15,15,15,38,31,29,29,36,9,30,31,28,31,31,31,31
16,a3c9fbfcc0824a9d8f7019e04e044a33,31,26,16,26,10,11,24,24,22,25,25,25,25,41,38,34,39,23,11,36,37,36,40,38,38,38
17,eb9156f0bd354bdfa695f84ad8d97c2e,29,16,14,15,16,9,16,16,14,16,16,16,16,40,31,30,30,30,9,31,31,30,31,31,31,31
18,347a57446bc64d729d8da7db7bc7e68a,31,26,20,29,11,8,22,22,23,29,26,26,26,39,38,35,38,34,9,37,36,35,38,38,38,38
19,5a0a6c173b5d455d9122c056720f07cb,30,18,15,19,23,9,19,16,18,19,18,18,18,42,36,29,36,37,9,33,31,31,36,36,36,36
20,40a7600df224431e9fd071c4658b909c,29,22,20,20,8,11,20,21,20,20,22,22,22,41,37,36,35,22,11,34,35,37,35,36,36,36
21,af2df0a264e54acbb38551acbefc72ed,34,30,23,28,7,10,28,26,24,29,31,31,31,38,37,34,36,17,11,34,33,34,36,37,37,37
22,ac056d1c17bb42dfbc70552d220b12cc,37,31,29,27,14,7,30,29,28,28,31,31,31,41,40,39,39,36,7,41,41,40,39,40,40,40
23,1d4d2163bf9b4e17953acc73ce485996,33,30,23,28,22,10,27,24,25,28,29,29,29,41,41,39,41,40,12,40,41,39,41,41,41,41
24,49fd1bce6ecc4bc6a2d86718c95b10ea,31,20,18,21,20,9,20,21,20,19,20,20,20,39,37,33,34,35,9,37,36,34,34,36,36,36
25,d03800b35afb46d9a40fb3f1524c5b53,35,23,15,23,25,10,18,19,16,22,22,23,22,42,38,29,37,39,10,35,36,32,37,38,38,38
26,adb6ed53516c49f6afa97b9e273d27a6,32,22,22,24,12,11,23,21,22,24,20,21,20,39,38,34,39,24,11,35,35,34,39,37,38,37
27,1aad4a6c0f494adfbcfeab1a33a5332e,26,18,15,20,15,10,18,17,15,20,18,18,18,35,32,29,32,27,11,30,30,30,32,31,32,32
28,ab7e1fea6b7d40d780a4f7a4e192495c,27,16,14,17,19,5,16,18,15,15,16,16,16,42,37,32,36,35,5,34,35,33,35,37,37,37
29,1cf676f39baf4b72920bb7116c1871db,29,22,16,17,8,8,21,18,16,18,22,22,22,40,36,32,37,18,8,35,34,32,35,36,36,36
30,476066ca638a4296b60c856b5c3b6442,26,13,9,15,14,8,12,12,12,15,14,13,13,35,29,27,29,30,8,29,30,28,29,29,29,29
31,6f952873d4804cf58deddd1bd18f37df,26,18,9,16,20,8,15,13,12,16,16,16,16,36,31,24,30,35,8,29,27,27,30,30,30,30
32,c1b96117a34243ab87d1caf4df3ee6b9,27,17,13,16,17,11,16,14,12,16,16,17,16,38,31,30,32,32,11,31,31,31,32,31,31,31
33,5e6986b8c60040d581b9d09603f53623,26,14,15,14,10,15,16,17,17,13,14,14,14,37,32,32,30,25,15,30,31,32,30,32,32,32
34,ba1021f3bf334bfeb93e60b320819a24,34,23,13,22,24,13,21,17,15,23,23,23,23,37,35,32,35,34,13,35,34,32,35,35,35,35
35,fee0d75f83794d6383798110a64f7764,26,18,19,17,6,9,17,20,20,16,18,18,18,38,36,33,36,14,9,34,35,33,36,35,35,35
36,673aafa20cbf4183806ee724605957c3,24,18,15,17,8,13,16,16,15,17,17,17,17,37,31,31,31,21,13,30,32,32,32,31,31,31
37,cad618c98fda480ba06d51ebbcce6770,28,25,21,24,12,9,25,24,21,24,25,25,25,38,36,33,38,28,9,36,35,35,37,36,36,36
38,b269b8d85ee740ed9d4974d059ebf00f,25,18,17,17,17,12,18,17,17,17,18,18,18,30,26,26,26,24,12,25,26,26,26,26,26,26
39,3cee0085f10d4161990d5d79b2452ac3,29,20,17,19,8,11,18,18,17,19,20,20,20,38,36,34,36,18,12,36,35,35,36,36,36,36
40,1e1560bf3241464aaa1131736f4fe141,28,26,23,23,13,9,26,25,24,23,26,26,26,39,37,35,34,25,9,35,34,37,33,37,37,37
41,c95f0320507e4905abc268571409ae40,26,18,13,14,16,9,14,14,13,13,18,18,18,38,35,31,33,29,9,33,33,31,33,35,35,35
42,327481965f0b4056bc1b3414484726b3,27,18,13,16,16,11,18,17,15,16,18,18,18,36,33,29,31,26,11,32,31,29,31,32,33,32
43,cf1b6ded54834ac2ba23a390cec38104,29,22,17,20,10,10,21,19,19,19,22,22,22,41,38,32,38,24,10,36,37,31,37,37,38,37
44,e0242bfd5aad459e997e8af1d05dba4d,36,22,18,25,24,9,21,18,19,24,22,22,22,41,36,35,35,35,10,35,34,36,35,36,36,36
45,00250a4028184369b1e36c609e6a33d2,31,26,22,22,20,6,24,24,23,23,26,26,26,40,38,32,36,35,8,35,37,32,36,38,38,38
46,ace85dddb7684bf3b3175c95e3da221b,28,21,16,22,12,11,18,16,15,22,20,21,20,38,33,30,32,30,12,30,32,29,32,32,32,32
47,eb8276be1b684bc182fa25ca9d9a308c,26,17,15,18,9,12,15,17,17,18,17,17,17,33,28,26,29,19,12,29,28,26,29,28,28,28
48,a1fade3eaab140ffaa00c9a4efc929f9,33,25,20,24,10,10,24,22,19,24,26,25,26,42,40,37,40,29,10,38,39,37,39,40,40,40
49,4c20b40883674ff5aa1d510927669033,34,27,23,28,24,7,26,25,24,28,25,25,25,40,38,32,38,35,7,33,32,33,37,38,38,38
50,c86e74bb29a746c5bb7c2e7508efb130,27,23,16,21,8,9,22,18,17,22,22,22,22,37,34,34,34,18,9,33,35,34,34,33,33,33
51,23d813a19df54aae92a97abbe0c11dfb,34,26,24,25,25,8,23,26,23,25,26,26,26,42,40,36,40,39,9,37,37,37,39,39,39,39
52,d1a30e4545c14fce8138ca875ccf4215,27,22,17,23,13,8,19,21,20,22,21,21,21,35,33,32,32,24,9,32,34,32,32,33,33,33
53,c41f46c29d6f4f1f9b60c37ffeaf7364,29,24,23,23,13,6,26,25,23,23,24,24,24,42,39,40,38,28,7,41,40,42,38,39,39,39
54,d063b7827a4d4faa8dd63c3862234a46,36,26,20,27,13,8,26,21,21,27,24,24,24,40,37,33,37,28,9,34,33,33,37,36,37,36
55,4a75e913e4fd4f7d86863dbbdd29c4df,31,17,18,18,24,7,19,19,20,16,17,17,17,38,34,32,31,34,7,34,34,32,31,33,33,33
56,fa45e2f1d8f04a8abe643bac5becdff4,28,22,20,21,14,6,22,22,18,21,21,21,21,38,35,29,33,26,9,35,35,32,33,35,35,35
57,d70a72ef31764c958a89efdba495e27f,29,23,23,23,11,12,24,24,24,23,23,23,23,39,38,32,38,27,12,36,35,34,38,38,38,38
58,671c867ca5294ce793ae0f910fe7359c,33,29,24,27,8,8,22,22,26,25,27,27,27,38,36,34,36,22,8,36,36,36,36,36,36,36
59,57ae31c408d540f7ac1441261c913369,33,25,20,26,13,9,26,23,22,26,24,25,24,42,38,36,40,29,10,38,38,39,41,38,38,38
60,1bb0ede01e914558bb92e22c32332c81,34,29,25,31,19,5,28,27,26,30,28,28,28,41,37,35,37,32,6,37,38,36,36,37,37,37
61,30461d73323942e09e6e1d55a53e83bc,31,20,20,20,15,10,22,24,21,20,20,20,20,41,39,35,36,31,11,36,36,36,36,39,39,39
62,88aa98c617cb40b9a2e3f9f9aaa2bcf1,31,23,22,25,8,11,19,18,21,25,23,23,23,39,35,32,37,26,12,32,32,33,36,35,35,35
63,5e65a3fee5f641e6b177ab86d6507eed,32,27,27,26,16,11,29,25,28,26,27,27,27,42,34,33,35,31,11,36,37,35,36,34,34,34
64,53ac4161794d4c8f91f56f297c347de2,29,19,20,19,11,10,20,21,21,18,19,19,19,37,35,35,36,24,11,35,36,35,36,35,35,35
65,577f061b67894e63b57d5c64c10b579f,24,22,17,21,16,6,20,20,22,21,22,22,22,40,39,33,37,30,6,35,37,35,37,39,39,39
66,09a8fd08446d46618d512ab6ae646fd4,29,23,17,25,9,7,19,19,20,25,23,23,23,37,36,33,37,26,7,36,36,35,37,36,36,36
67,bed1917e46074540b220d49a50863447,29,18,20,19,11,13,19,18,20,17,18,18,18,39,32,34,33,24,13,31,32,31,32,32,32,32
68,90a3ef044c6e4df190f196498a3dc435,36,31,22,30,12,11,29,25,24,30,30,31,30,41,40,38,41,32,11,40,39,38,41,40,40,40
69,228ef41998394128b656dc3062600b2f,29,20,17,18,13,9,20,18,18,18,20,20,20,41,37,34,37,25,10,34,36,35,37,36,36,36
70,ab272202d4234ce1b03bdd8dc13065da,30,17,14,20,19,11,14,13,16,20,17,17,17,41,36,35,36,38,11,36,35,37,35,36,36,36
71,ff9cecdd40884dbda402a08c3c588a28,38,29,29,31,21,9,29,30,29,31,29,28,29,41,39,39,38,31,10,39,39,39,38,39,39,39
72,c27caefbc69d494eab26b71f1d4d8a25,35,26,15,25,28,11,18,17,17,25,25,25,25,40,37,31,38,37,13,36,36,32,38,37,37,37
73,cc9b1bfcf23d47268e62aa2aa611c23d,37,25,21,26,17,11,27,24,23,25,25,25,25,42,37,33,34,36,11,35,34,35,34,37,37,37
74,b17e380ca4bf4a99a834edb38ef3ed53,33,28,22,24,10,8,27,24,23,25,28,28,28,38,37,35,37,17,8,36,36,36,37,36,36,36
75,b99189eb0e79459695b2fb8299cf1e97,30,20,14,16,22,12,20,18,17,18,20,20,20,39,36,31,34,32,12,35,34,34,35,36,36,36
76,d5dd168b556449e3916e503e8cdb3a03,29,22,19,22,18,14,24,22,21,22,23,22,23,40,40,35,37,34,14,40,39,37,37,40,40,40
77,937df90fc12d4c6e8d5ec802a5ce6f52,35,19,17,17,27,12,15,17,18,16,19,19,19,40,35,35,35,38,12,34,36,36,35,37,37,37
78,e7fa7e2c27b54904a1547a4e53cb73d0,34,26,22,27,26,9,24,25,25,27,27,27,27,38,36,34,35,32,10,34,34,35,35,35,35,35
79,6cf9282b8ed045e1b653fdd069380ed1,33,25,17,26,24,9,23,21,18,26,25,25,25,42,39,34,39,40,10,36,38,35,39,39,39,39
80,a4bae2f50f94409eb1a216b577b404b8,32,22,20,23,22,11,22,22,21,24,22,22,22,42,40,38,40,38,11,39,40,39,40,40,40,40
81,3109e39973ef44ffbcb87cc2b5b7f9c3,31,24,20,23,21,9,25,23,21,23,24,24,24,40,36,33,34,32,11,33,36,33,34,36,36,36
82,72e1ec74a10c4ec4a1f06db40581a5b6,29,25,20,17,9,12,20,20,21,17,24,24,24,40,40,36,39,26,12,37,39,38,39,39,39,39
83,4317d9c591e84a2e928dc152fbf91dbe,25,21,14,21,15,12,16,18,15,21,21,21,21,41,35,30,32,28,12,34,34,31,32,34,34,34
84,6a3c5b35a05547189da30c8623eb1c94,30,23,23,23,13,9,23,23,22,23,23,23,23,40,38,34,37,30,9,37,38,36,37,39,38,39
85,c78e2a01b9ae4f6f85e0f45af91fe889,32,25,16,25,22,5,24,23,22,25,23,23,23,40,37,36,38,36,5,37,36,36,39,37,37,37
86,41ea89e0e647471486c711302ebec501,24,19,15,16,17,9,20,18,16,16,19,19,19,40,34,30,31,26,9,35,31,31,31,34,34,34
87,2c467be71d3e48879263d404d6c1f423,26,18,18,18,15,10,19,19,17,18,17,17,17,36,33,30,33,26,10,32,32,32,33,33,33,33
88,52a0db886ea14c02ab26f82e4e953f3d,20,12,13,11,10,7,12,12,12,11,11,11,11,34,25,27,25,25,7,26,27,25,26,25,25,25
89,2230beca2c1a42ffa3d0455c1c86dee5,25,16,16,14,13,14,12,14,16,14,15,15,15,34,27,28,27,22,14,27,28,29,26,27,27,27
90,8cc0efe0d08141459daa35bb966edd24,23,14,12,14,15,10,11,13,12,14,14,14,14,33,32,26,31,26,10,31,30,29,31,32,32,32
91,b51fcd84a0a745ee978936645e15658d,31,25,22,22,18,6,24,23,22,21,25,25,25,39,36,38,34,27,6,38,37,38,32,36,36,36
