,id,t1_sum,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match,t3_sum,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
0,aea51b3b64294e07bd00c6f5d1c82991,24,13,11,10,17,11,12,10,11,10,12,12,12,34,24,22,22,24,11,22,22,23,23,24,24,24
1,d4acd0639a54445f803c015e1f7fa55b,24,16,14,14,14,12,16,16,15,14,16,16,16,36,31,30,29,22,12,28,28,29,29,31,31,31
2,d5b64aba6893447b987b29ac081e970d,25,18,12,15,10,8,15,14,13,15,17,18,18,37,33,33,31,15,8,35,33,34,31,33,33,33
3,40f1b91abc764b9eaf423b871ae47a10,29,22,18,18,17,9,18,19,21,18,22,22,22,38,32,30,31,25,10,31,29,30,32,32,32,32
4,eb91bb001aec49caacee7ef7d6c6c2a1,37,26,26,28,22,12,26,25,26,28,27,27,27,41,39,38,39,36,12,38,38,38,39,39,39,39
5,42eb2bfe54504f9e9ab962eb7218f64e,33,19,18,20,27,10,15,18,19,20,19,19,19,40,35,31,31,38,10,33,35,32,32,34,34,34
6,4ba3fa7f94564e9faf55b445558e8040,28,22,20,20,10,8,20,20,21,20,22,22,22,38,36,32,33,16,9,34,34,33,33,36,36,36
7,2f742c47d16741cf97b5a520f9650211,27,19,12,17,5,11,15,14,14,17,19,19,19,33,30,27,30,13,11,28,29,30,30,30,30,30
8,5d8cdae6df1441e89e606420770a16c1,32,20,18,18,8,10,18,20,20,18,20,20,20,40,38,33,37,13,11,36,37,35,37,38,38,38
9,60c0129463c344e98aaccd384dea701e,26,20,17,18,11,6,18,19,19,18,20,20,20,40,33,33,33,13,6,31,33,33,32,33,33,33
10,720c180d3ae344369ecdce7146716e84,29,29,20,21,7,9,19,26,23,20,29,29,29,37,36,33,35,12,11,32,35,35,35,36,36,36
11,15ae0d9539654893a86fa9654c698cc0,19,8,8,7,10,10,6,6,7,7,8,8,8,33,24,23,24,18,11,22,22,23,23,24,24,24
