,id,t1_sum,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match,t3_sum,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
0,aea51b3b64294e07bd00c6f5d1c82991,29,18,16,18,23,12,18,18,17,18,18,18,18,39,31,30,31,37,12,31,30,30,31,32,31,31
1,d4acd0639a54445f803c015e1f7fa55b,30,18,18,18,12,12,20,18,17,18,17,17,17,40,37,34,37,32,12,35,36,35,37,37,37,37
2,d5b64aba6893447b987b29ac081e970d,22,16,11,16,7,11,16,13,11,16,16,16,16,35,33,34,33,18,11,32,33,34,33,33,33,33
3,40f1b91abc764b9eaf423b871ae47a10,32,22,21,20,22,12,21,21,23,20,22,22,22,41,36,35,37,37,14,36,35,34,36,36,36,36
4,eb91bb001aec49caacee7ef7d6c6c2a1,31,19,20,20,18,7,20,20,20,20,20,19,19,41,38,33,37,33,7,37,37,33,37,38,38,38
5,42eb2bfe54504f9e9ab962eb7218f64e,30,18,16,19,26,9,18,16,17,18,18,18,18,39,35,34,35,37,9,35,35,34,35,34,34,34
6,4ba3fa7f94564e9faf55b445558e8040,25,23,19,23,18,7,23,21,20,23,23,23,23,39,36,35,36,37,8,36,33,34,36,36,36,36
7,2f742c47d16741cf97b5a520f9650211,22,17,14,16,7,12,17,16,15,16,17,17,17,34,31,29,32,19,13,31,32,31,32,31,31,31
8,5d8cdae6df1441e89e606420770a16c1,26,21,18,22,11,6,18,18,18,22,21,21,21,39,36,34,36,21,7,36,35,34,36,36,36,36
9,60c0129463c344e98aaccd384dea701e,28,25,20,24,16,6,24,23,22,24,25,25,25,39,38,36,38,24,6,37,37,36,38,38,38,38
10,720c180d3ae344369ecdce7146716e84,37,25,22,24,14,16,22,24,22,24,25,25,25,41,41,38,41,33,16,40,41,39,41,41,41,41
11,15ae0d9539654893a86fa9654c698cc0,26,14,11,14,15,12,11,12,11,14,14,14,14,36,30,28,31,28,13,31,30,28,31,30,30,30
12,166f728b971d498e990b743fdcf071dc,27,18,16,18,18,11,19,19,16,18,18,18,18,35,30,29,30,32,11,30,31,30,30,30,30,30
13,c63cee1f7a7943ae9023dc7a3d65bb42,16,9,11,10,9,8,11,11,11,10,10,9,9,27,24,21,24,18,9,24,22,21,24,24,24,24
14,ddf0296ad9664afebbe1a5ea45d442a1,29,22,21,22,27,11,21,20,21,22,21,21,21,39,36,34,36,35,12,34,33,36,36,36,36,36
15,4646d5091426436d81159130217f1958,21,14,15,14,13,8,14,14,14,14,14,14,14,37,31,29,33,34,8,30,30,29,33,31,31,31
