,id,t1_sum,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_21_linear_match,hard_agent_21_log10_match,hard_agent_21_ln_match,t3_sum,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
0,aea51b3b64294e07bd00c6f5d1c82991,25,8,10,8,18,10,8,8,9,8,8,8,8,35,23,27,23,24,10,21,20,25,23,23,23,23
1,d4acd0639a54445f803c015e1f7fa55b,27,15,14,14,11,11,12,14,12,13,15,15,15,39,27,30,28,23,12,28,24,27,27,27,27,27
2,d5b64aba6893447b987b29ac081e970d,22,12,7,9,4,8,8,9,6,9,12,12,12,37,30,27,32,11,8,25,28,27,28,30,30,30
3,40f1b91abc764b9eaf423b871ae47a10,25,13,15,14,16,9,19,10,12,14,13,13,13,36,28,30,27,25,10,28,25,29,28,28,28,28
4,eb91bb001aec49caacee7ef7d6c6c2a1,34,18,16,18,14,10,12,14,18,18,18,18,18,39,34,32,37,28,10,32,32,32,37,34,34,34
5,42eb2bfe54504f9e9ab962eb7218f64e,33,16,13,15,22,12,17,17,16,16,16,16,16,38,29,28,29,33,12,26,28,27,30,29,29,29
6,4ba3fa7f94564e9faf55b445558e8040,24,14,15,14,9,11,10,14,15,14,14,14,14,34,26,30,29,15,12,17,17,29,28,26,26,26
7,2f742c47d16741cf97b5a520f9650211,23,13,10,15,4,10,11,8,12,15,13,13,13,31,25,22,25,12,10,25,24,25,25,25,25,25
8,5d8cdae6df1441e89e606420770a16c1,25,15,10,13,7,9,8,9,13,13,15,15,15,34,32,28,32,13,10,22,22,27,31,32,32,32
9,60c0129463c344e98aaccd384dea701e,20,11,9,8,9,8,6,9,9,8,11,11,11,39,28,28,24,12,8,24,25,29,24,28,28,28
