,id,t1_sum,basic_agent_Match,Greedy Agent_Match,dummy_agentrandom_Match,med_agent_Match,arch_receiver_agent_Match,arch_pass_agent_Match,t3_sum,basic_agent_t3_match,Greedy Agent_t3_match,dummy_agentrandom_t3_match,med_agent_t3_match,arch_receiver_agent_t3_match,arch_pass_agent_t3_match
0,aea51b3b64294e07bd00c6f5d1c82991,19,14,14,9,15,9,9,35,31,31,18,31,26,26
1,d4acd0639a54445f803c015e1f7fa55b,27,16,16,13,17,14,14,39,35,35,22,36,30,29
2,d5b64aba6893447b987b29ac081e970d,18,15,15,8,10,13,13,35,29,29,21,21,26,26
3,40f1b91abc764b9eaf423b871ae47a10,25,19,19,8,21,16,16,38,32,32,24,34,31,31
4,eb91bb001aec49caacee7ef7d6c6c2a1,29,20,20,11,19,21,21,41,38,38,23,38,39,39
5,42eb2bfe54504f9e9ab962eb7218f64e,25,19,19,13,15,15,15,36,30,30,26,32,28,28
6,4ba3fa7f94564e9faf55b445558e8040,28,20,20,10,25,20,20,40,35,35,27,40,34,34
7,2f742c47d16741cf97b5a520f9650211,25,17,17,12,13,14,15,36,29,29,21,25,29,30
8,5d8cdae6df1441e89e606420770a16c1,25,19,19,9,9,14,15,39,32,32,26,23,32,32
9,60c0129463c344e98aaccd384dea701e,23,22,22,5,13,16,15,38,35,35,24,27,32,32
10,720c180d3ae344369ecdce7146716e84,29,23,23,10,27,21,21,42,39,39,22,40,36,36
11,15ae0d9539654893a86fa9654c698cc0,17,12,12,9,8,9,9,34,28,28,24,21,27,27
12,166f728b971d498e990b743fdcf071dc,25,18,18,13,15,19,19,35,31,31,21,33,29,30
13,c63cee1f7a7943ae9023dc7a3d65bb42,11,9,9,8,9,8,8,32,22,22,22,23,20,20
14,ddf0296ad9664afebbe1a5ea45d442a1,24,20,20,9,19,18,18,37,33,33,22,32,34,33
15,4646d5091426436d81159130217f1958,25,15,15,12,17,14,15,41,32,32,20,37,29,29
16,a3c9fbfcc0824a9d8f7019e04e044a33,32,19,19,14,15,21,21,38,35,35,23,31,35,35
17,eb9156f0bd354bdfa695f84ad8d97c2e,23,15,15,12,13,13,13,36,29,29,20,30,29,29
18,347a57446bc64d729d8da7db7bc7e68a,30,21,21,13,18,21,22,37,35,35,20,35,35,36
19,5a0a6c173b5d455d9122c056720f07cb,27,15,15,12,21,15,15,42,34,34,25,35,31,30
20,40a7600df224431e9fd071c4658b909c,29,19,19,15,12,18,18,40,36,36,25,31,34,34
21,af2df0a264e54acbb38551acbefc72ed,24,19,19,10,11,19,20,35,33,33,21,22,31,31
22,ac056d1c17bb42dfbc70552d220b12cc,34,26,26,13,29,25,25,41,40,40,21,40,38,38
23,1d4d2163bf9b4e17953acc73ce485996,33,24,24,9,27,26,25,42,41,41,21,42,39,39
24,49fd1bce6ecc4bc6a2d86718c95b10ea,25,20,20,10,17,18,18,41,34,34,27,35,33,31
25,d03800b35afb46d9a40fb3f1524c5b53,27,18,18,11,21,14,15,40,32,32,21,36,28,28
26,adb6ed53516c49f6afa97b9e273d27a6,27,16,16,15,14,18,19,39,35,35,25,26,36,36
27,1aad4a6c0f494adfbcfeab1a33a5332e,27,18,18,7,21,18,18,39,30,30,24,34,29,28
28,ab7e1fea6b7d40d780a4f7a4e192495c,24,16,16,10,12,15,13,40,35,35,23,28,33,33
29,1cf676f39baf4b72920bb7116c1871db,23,16,16,10,8,14,14,38,33,33,19,21,31,30
30,476066ca638a4296b60c856b5c3b6442,19,13,13,9,8,14,14,33,29,29,21,29,26,26
31,6f952873d4804cf58deddd1bd18f37df,20,12,12,10,13,12,11,36,26,26,19,29,23,23
32,c1b96117a34243ab87d1caf4df3ee6b9,20,14,14,11,11,15,15,36,31,31,24,26,31,31
33,5e6986b8c60040d581b9d09603f53623,18,14,14,8,8,14,13,35,32,32,23,21,28,27
34,ba1021f3bf334bfeb93e60b320819a24,22,14,14,7,16,10,10,39,32,32,28,33,31,31
35,fee0d75f83794d6383798110a64f7764,22,14,14,9,11,13,14,40,31,31,23,28,32,32
36,673aafa20cbf4183806ee724605957c3,17,15,15,6,9,14,13,40,30,30,23,24,31,31
37,cad618c98fda480ba06d51ebbcce6770,25,17,17,12,19,20,20,38,34,34,24,32,33,33
38,b269b8d85ee740ed9d4974d059ebf00f,24,16,16,11,20,15,15,36,26,26,22,27,23,23
39,3cee0085f10d4161990d5d79b2452ac3,26,18,18,13,13,16,16,36,32,32,21,21,31,31
40,1e1560bf3241464aaa1131736f4fe141,30,21,21,11,16,18,18,38,35,35,19,27,31,31
41,c95f0320507e4905abc268571409ae40,22,12,12,11,14,12,11,38,32,32,20,31,35,35
42,327481965f0b4056bc1b3414484726b3,21,15,15,8,9,15,15,35,31,31,22,25,29,28
43,cf1b6ded54834ac2ba23a390cec38104,31,22,22,14,26,17,16,40,35,35,25,35,34,34
44,e0242bfd5aad459e997e8af1d05dba4d,25,14,14,6,17,16,17,40,35,35,21,32,32,34
45,00250a4028184369b1e36c609e6a33d2,26,22,22,9,25,16,17,41,35,35,25,37,35,35
46,ace85dddb7684bf3b3175c95e3da221b,26,14,14,8,23,16,16,38,29,29,23,34,31,30
47,eb8276be1b684bc182fa25ca9d9a308c,17,14,14,8,11,14,14,31,26,26,20,17,27,28
48,a1fade3eaab140ffaa00c9a4efc929f9,29,19,19,10,20,18,19,42,38,38,23,37,39,39
49,4c20b40883674ff5aa1d510927669033,26,21,21,9,22,19,18,38,32,32,19,36,31,31
50,c86e74bb29a746c5bb7c2e7508efb130,25,22,22,8,15,17,17,34,30,30,25,25,29,29
51,23d813a19df54aae92a97abbe0c11dfb,27,23,23,5,19,24,24,40,38,38,21,37,36,36
52,d1a30e4545c14fce8138ca875ccf4215,29,21,21,13,18,21,21,36,32,32,21,31,31,31
53,c41f46c29d6f4f1f9b60c37ffeaf7364,29,23,23,9,21,24,24,42,37,37,25,39,36,36
54,d063b7827a4d4faa8dd63c3862234a46,28,21,21,10,24,21,21,39,30,30,20,35,33,33
55,4a75e913e4fd4f7d86863dbbdd29c4df,23,14,14,9,17,13,12,36,33,33,22,32,30,30
56,fa45e2f1d8f04a8abe643bac5becdff4,27,20,20,12,21,20,20,39,32,32,27,37,31,30
57,d70a72ef31764c958a89efdba495e27f,29,22,22,11,21,21,22,40,32,32,21,31,35,35
58,671c867ca5294ce793ae0f910fe7359c,32,26,26,13,21,23,22,39,34,34,21,34,33,33
59,57ae31c408d540f7ac1441261c913369,28,22,22,11,15,21,20,42,37,37,22,35,38,38
60,1bb0ede01e914558bb92e22c32332c81,34,27,27,12,27,27,24,40,37,37,16,37,35,35
61,30461d73323942e09e6e1d55a53e83bc,32,19,19,12,24,16,16,40,36,36,25,39,36,36
62,88aa98c617cb40b9a2e3f9f9aaa2bcf1,26,19,19,11,16,22,21,40,35,35,24,31,33,33
63,5e65a3fee5f641e6b177ab86d6507eed,30,26,26,6,27,25,25,40,33,33,23,34,34,34
64,53ac4161794d4c8f91f56f297c347de2,25,17,17,13,16,17,16,36,35,35,22,30,35,35
65,577f061b67894e63b57d5c64c10b579f,29,21,21,9,23,17,17,40,35,35,18,35,33,34
66,09a8fd08446d46618d512ab6ae646fd4,31,16,16,17,17,16,17,38,33,33,21,35,33,33
67,bed1917e46074540b220d49a50863447,27,19,19,11,13,16,15,36,30,30,20,22,29,27
68,90a3ef044c6e4df190f196498a3dc435,34,27,27,12,27,27,27,41,39,39,22,39,37,38
69,228ef41998394128b656dc3062600b2f,28,18,18,12,19,19,19,41,35,35,24,36,35,34
70,ab272202d4234ce1b03bdd8dc13065da,23,14,14,12,13,17,15,40,35,35,22,32,35,35
71,ff9cecdd40884dbda402a08c3c588a28,37,28,28,14,24,28,27,40,39,39,17,39,39,38
72,c27caefbc69d494eab26b71f1d4d8a25,26,18,18,8,17,13,14,41,36,36,25,34,32,32
73,cc9b1bfcf23d47268e62aa2aa611c23d,30,21,21,10,16,24,25,38,36,36,20,33,35,35
74,b17e380ca4bf4a99a834edb38ef3ed53,26,23,23,8,17,18,17,38,35,35,21,26,33,33
75,b99189eb0e79459695b2fb8299cf1e97,19,16,16,6,12,13,13,36,33,33,18,27,29,29
76,d5dd168b556449e3916e503e8cdb3a03,25,20,20,7,20,20,20,41,36,36,20,38,35,35
77,937df90fc12d4c6e8d5ec802a5ce6f52,21,17,17,7,16,15,14,39,36,36,20,35,33,33
78,e7fa7e2c27b54904a1547a4e53cb73d0,30,22,22,7,22,19,19,40,33,33,23,37,32,32
79,6cf9282b8ed045e1b653fdd069380ed1,27,18,18,7,21,19,18,41,36,36,18,40,34,34
80,a4bae2f50f94409eb1a216b577b404b8,29,22,22,10,20,24,24,42,40,40,19,37,40,40
81,3109e39973ef44ffbcb87cc2b5b7f9c3,29,23,23,9,22,19,18,40,32,32,25,34,31,30
82,72e1ec74a10c4ec4a1f06db40581a5b6,26,21,21,8,18,14,13,40,36,36,20,33,33,33
83,4317d9c591e84a2e928dc152fbf91dbe,23,17,17,11,13,16,15,37,32,32,25,21,30,30
84,6a3c5b35a05547189da30c8623eb1c94,32,19,19,9,29,20,20,42,38,38,24,39,37,37
85,c78e2a01b9ae4f6f85e0f45af91fe889,29,16,16,13,23,19,19,39,31,31,19,38,33,34
86,41ea89e0e647471486c711302ebec501,19,18,18,5,11,12,13,33,30,30,18,20,26,26
