,id,t1_sum,basic_agent_Match,Greedy Agent_Match,dummy_agentrandom_Match,med_agent_Match,arch_receiver_agent_Match,arch_pass_agent_Match,t3_sum,basic_agent_t3_match,Greedy Agent_t3_match,dummy_agentrandom_t3_match,med_agent_t3_match,arch_receiver_agent_t3_match,arch_pass_agent_t3_match
0,aea51b3b64294e07bd00c6f5d1c82991,22,17,17,9,16,16,17,34,30,30,18,31,29,29
1,d4acd0639a54445f803c015e1f7fa55b,28,15,15,13,18,14,14,41,37,37,22,36,36,36
2,d5b64aba6893447b987b29ac081e970d,18,16,16,8,9,15,15,36,33,33,21,20,32,32
3,40f1b91abc764b9eaf423b871ae47a10,27,20,20,8,23,19,19,37,33,33,24,35,31,31
4,eb91bb001aec49caacee7ef7d6c6c2a1,26,19,19,11,15,18,18,37,36,36,23,33,35,35
5,42eb2bfe54504f9e9ab962eb7218f64e,24,18,18,13,15,17,17,38,33,33,26,30,31,32
6,4ba3fa7f94564e9faf55b445558e8040,29,21,21,10,26,19,19,41,35,35,27,41,34,34
7,2f742c47d16741cf97b5a520f9650211,24,16,16,12,14,15,15,36,31,31,21,25,30,30
8,5d8cdae6df1441e89e606420770a16c1,23,19,19,9,11,18,18,40,35,35,26,25,34,34
9,60c0129463c344e98aaccd384dea701e,26,24,24,5,18,23,23,40,38,38,24,28,37,37
10,720c180d3ae344369ecdce7146716e84,31,23,23,10,28,23,23,42,40,40,22,40,39,39
11,15ae0d9539654893a86fa9654c698cc0,18,14,14,9,10,14,14,35,30,30,24,22,29,29
12,166f728b971d498e990b743fdcf071dc,23,17,17,13,13,17,17,33,29,29,21,28,28,28
13,c63cee1f7a7943ae9023dc7a3d65bb42,13,10,10,8,9,10,10,34,24,24,22,23,23,23
14,ddf0296ad9664afebbe1a5ea45d442a1,24,20,20,9,19,20,20,39,32,32,22,35,34,34
15,4646d5091426436d81159130217f1958,24,14,14,12,16,15,15,40,31,31,20,38,30,29
16,a3c9fbfcc0824a9d8f7019e04e044a33,29,17,17,14,16,16,16,38,33,33,23,31,33,33
17,eb9156f0bd354bdfa695f84ad8d97c2e,22,15,15,12,13,14,14,36,29,29,20,31,28,28
18,347a57446bc64d729d8da7db7bc7e68a,29,20,20,13,16,19,19,35,32,32,20,32,32,32
19,5a0a6c173b5d455d9122c056720f07cb,26,14,14,12,20,14,14,41,34,34,25,36,33,33
20,40a7600df224431e9fd071c4658b909c,27,18,18,15,12,18,18,39,37,37,25,30,36,36
