IWD WU,IWD WB,IWD WR,IWD WG,IWD UB,IWD UR,IWD UG,IWD BR,IWD BG,IWD RG,Name,Color
3.1,2.9,0.7,1.5,9.3,6.1,4.8,1.6,7.0,3.1,Abrade,R
-1.3,1.3,-2.0,-0.6,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Adamant Will,W
-16.2,-0.6,-16.2,-16.2,-1.9,-16.2,-16.2,-2.9,-3.6,-16.2,Aim for the Head,B
-16.2,-16.2,-16.2,-16.2,-16.2,0.2,-16.2,-16.2,-16.2,-16.2,Alchemist's Gambit,UR
-1.1,-16.2,-16.2,-16.2,1.5,0.3,3.2,-16.2,-16.2,-16.2,Alchemist's Retrieval,U
3.7,3.7,4.2,3.7,3.7,3.5,3.7,1.8,3.7,3.7,Alluring Suitor,R
-1.7,-1.7,-2.3,-1.7,-1.7,0.9,-1.7,-2.1,-1.7,-1.7,Ancestral Anger,R
-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,6.4,-16.2,Ancient Lumberknot,BG
2.7,5.0,1.3,5.1,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Angelic Quartermaster,W
4.6,13.9,2.0,4.6,9.4,11.2,4.6,11.3,15.9,4.6,"Anje, Maid of Dishonor",BR
-3.7,-3.7,-3.7,-1.2,-3.7,-3.7,-0.6,-3.7,0.8,-3.7,Apprentice Sharpshooter,G
-16.2,-2.9,-16.2,-16.2,1.3,-16.2,-16.2,-2.3,-0.5,-16.2,Archghoul of Thraben,B
-4.3,-2.9,-4.9,-3.7,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Arm the Cathars,W
2.3,2.3,2.3,3.7,2.3,2.3,4.7,2.3,2.6,2.3,Ascendant Packleader,G
12.0,12.0,12.0,15.4,12.0,12.0,13.3,12.0,16.1,12.0,Avabruck Caretaker,G
2.4,2.4,-1.7,2.4,2.4,-1.2,2.4,-1.2,2.4,2.4,Ballista Watcher,R
-4.9,-4.9,-2.0,-4.9,-4.9,-2.6,-4.9,-3.4,-4.9,-4.9,Belligerent Guest,R
-2.0,-16.2,-16.2,-16.2,0.2,-1.7,-1.7,-16.2,-16.2,-16.2,Binding Geist,U
